model,asset,q_v_stat,a_hat,b_hat,loc_magnitude,scale_magnitude,scale_share,mean_raw,R,replacement
TimesFM-2.5,ETH,0.28025048941798314,-0.0048663480016441305,-1.0570228414898977,0.0048663480016441305,0.24922605470563208,0.9808481168669558,0.12115862287903334,2.313087444859699,True
TimesFM-2.5,EURUSD,0.046088000320350896,-0.0027567554858349223,-1.2654094093037855,0.0027567554858349223,0.034199383200566806,0.9254046666176927,0.015096336697514246,3.052926100140554,True
TimesFM-2.5,FTSE100,0.08992953475905024,0.006290655828964278,-0.8671473887774989,0.006290655828964278,0.0499367704181241,0.8881212203930458,0.02674495367546739,3.3624860917796546,True
TimesFM-2.5,GBPUSD,0.04370251651634241,0.002775120124674322,-0.8314293574332992,0.002775120124674322,0.026080828006937725,0.9038284892938886,0.014240695608095598,3.068847036622162,True
TimesFM-2.5,GDAXI,0.1102889788057189,0.0077449386385620485,-0.8144284726354567,0.0077449386385620485,0.05996267582591788,0.8856119994801307,0.033047693381278415,3.337267068333363,True
TimesFM-2.5,GOLD,0.07361259008841674,0.00871687409111021,-0.8231458443300848,0.00871687409111021,0.049616321650885344,0.8505675202561428,0.027214675010883108,2.7048858771592594,True
TimesFM-2.5,HSI,0.11482475667459552,0.006738952335819004,-0.8692362182713902,0.006738952335819004,0.05960005713747686,0.8984164462309058,0.031884711282019286,3.6012481235590967,True
TimesFM-2.5,IBGL,0.04469264958937667,0.005058265875973595,-0.7957928531159375,0.005058265875973595,0.035419231692294925,0.8750351138322614,0.019723450636769092,2.26596503889939,True
TimesFM-2.5,ICLN,0.1129122663333629,0.002277066520576193,-1.1046869699203967,0.002277066520576193,0.07957036549046874,0.9721791329962691,0.03780627077929705,2.98660153476958,True
TimesFM-2.5,NATGAS,0.18551795218518224,0.012955571851748497,-0.8010789752206967,0.012955571851748497,0.14323745130230034,0.917054093773633,0.07952868989809213,2.332717317774309,True
TimesFM-2.5,NIFTY,0.07131004996292749,-0.004145671695802301,-1.2340768695476378,0.004145671695802301,0.056792724028287375,0.9319694644642004,0.025421114556271704,2.805150411681474,True
TimesFM-2.5,NIKKEI,0.1033098523285004,0.004768303048614305,-0.9253983835095503,0.004768303048614305,0.06793310081864744,0.9344125038173915,0.035282620677608185,2.9280662928211885,True
TimesFM-2.5,SP500,0.10995501789983163,0.007329383931006323,-0.8143433322875858,0.007329383931006323,0.04775485337673385,0.8669422635361345,0.026320736834589572,4.177505310388328,True
TimesFM-2.5,STOXX,0.09574986611278366,0.004816587839544806,-0.9817358445128024,0.004816587839544806,0.055418446589322524,0.9200367712044258,0.02796459817930316,3.423967170879965,True
TimesFM-2.5,TLT,0.05074159943698785,0.0063576521924078155,-0.6387108738285425,0.0063576521924078155,0.03372121258399061,0.8413714503173328,0.02057789029324452,2.4658309823745985,True
TimesFM-2.5,USDJPY,0.044308593516263636,-0.00588874449264064,-1.536924129879944,0.00588874449264064,0.04024223554006579,0.8723472926769478,0.01586260900201623,2.793272752964645,True
TimesFM-2.5,WTI,0.18469060753065772,0.020094567132515513,-0.6064309543612936,0.020094567132515513,0.08837500505948899,0.8147446631674212,0.05501326080623634,3.3572016060120737,True
Moirai-2.0,ASX200,0.06600155865125266,0.0008145045318471308,-1.1371222204139022,0.0008145045318471308,0.04518217444897094,0.9822921013017744,0.021141595935594358,3.1218815671399383,True
Moirai-2.0,AUDUSD,0.058557768997454684,-0.005092383550701806,-1.4297177679601911,0.005092383550701806,0.0437869627928803,0.8958172739277959,0.018021419347663804,3.249342788588169,True
Moirai-2.0,BOVESPA,0.10458226012974818,-0.0007813870657521391,-1.1051306882902199,0.0007813870657521391,0.08179566120125452,0.9905374788497455,0.03885538397033615,2.6915770594260686,True
Moirai-2.0,BTC,0.22160544470779325,0.04004131905795771,-0.8399992337470475,0.04004131905795771,0.14723786660785482,0.7861945046610314,0.08002061300211184,2.7693544999704613,True
Moirai-2.0,FCHI,0.09599277494276562,0.005909372406078511,-0.9662195417708359,0.005909372406078511,0.060403452531745644,0.9108864324266199,0.03072060431122788,3.1247033414535346,True
Moirai-2.0,CBU0,0.019775737947347743,0.0011042993015777341,-0.9396142533773703,0.0011042993015777341,0.013454730839474004,0.9241502153042482,0.006936807571941604,2.8508413621473054,True
Moirai-2.0,DJCI,0.04584419323075885,0.013088080212408355,-0.38234533783260394,0.013088080212408355,0.029197329636366287,0.6904823611923055,0.02112158867779388,2.170489821106923,True
Moirai-2.0,ETH,0.24234882968086013,-0.03524590059071589,-1.6986734652641926,0.03524590059071589,0.25852292788505815,0.8800216456810956,0.09579629814893127,2.529835018301945,True
