module,innovation,phi,n_cal,alpha,truth,removable_loss,inner_estimation_cost,oracle_shrinkage_gain,selection_regret,grid_discretisation_gap,validation_reservation_effect,full_estimation_cost,selected_change,constant_family_gap
ar,normal,0.0,1000,0.05,none,0.0,4.53325974963077e-06,4.53325974963077e-06,1.1960858966666685e-06,0.0,8.222652408568505e-07,3.7109945087739193e-06,1.1960858966666685e-06,0.0
ar,normal,0.5,125,0.01,constant,1.4349872753942718e-05,3.226682992223817e-05,2.8247821844804768e-05,1.4382369563636397e-05,2.67675717986839e-07,1.738427960700302e-06,3.0528401961537877e-05,4.051504887127084e-06,0.0
ar,normal,0.5,125,0.01,none,0.0,3.226682992223817e-05,3.226682992223817e-05,9.7269443622064e-06,0.0,1.738427960700302e-06,3.0528401961537877e-05,9.7269443622064e-06,0.0
ar,normal,0.5,125,0.05,constant,5.222372656028037e-05,5.060653058999222e-05,3.716845188987576e-05,2.8032786268724908e-05,4.734008954074562e-07,1.1513113625621546e-05,3.9093416964370664e-05,-1.0752861591439014e-05,0.0
ar,normal,0.5,125,0.05,none,0.0,5.060653058999222e-05,5.060653058999222e-05,1.5416612980106943e-05,0.0,1.1513113625621546e-05,3.9093416964370664e-05,1.5416612980106943e-05,0.0
ar,normal,0.5,250,0.01,constant,1.4349872753942718e-05,3.3641237842923706e-05,3.1755058084177364e-05,1.0909330854334616e-05,4.997871627442591e-07,1.5861480471212915e-05,1.7779757371710788e-05,-1.5543621408617565e-06,0.0
ar,normal,0.5,250,0.01,none,0.0,3.3641237842923706e-05,3.3641237842923706e-05,6.608920351649461e-06,0.0,1.5861480471212915e-05,1.7779757371710788e-05,6.608920351649461e-06,0.0
ar,normal,0.5,250,0.05,constant,5.222372656028037e-05,3.424964518861852e-05,2.5642610103196018e-05,1.793403484645581e-05,5.528278379552847e-07,1.222782266979645e-05,2.2021822518822066e-05,-2.5682656628402058e-05,0.0
ar,normal,0.5,250,0.05,none,0.0,3.424964518861852e-05,3.424964518861852e-05,8.052864988008925e-06,0.0,1.222782266979645e-05,2.2021822518822066e-05,8.052864988008925e-06,0.0
ar,normal,0.5,500,0.01,constant,1.4349872753942718e-05,1.0747482094670061e-05,8.637896265779438e-06,6.356642821357902e-06,1.8229417752157778e-07,3.7072487626167314e-06,7.040233332053329e-06,-5.883644103694194e-06,0.0
ar,normal,0.5,500,0.01,none,0.0,1.0747482094670061e-05,1.0747482094670061e-05,2.2780080244410767e-06,0.0,3.7072487626167314e-06,7.040233332053329e-06,2.2780080244410767e-06,0.0
ar,normal,0.5,500,0.05,constant,5.222372656028037e-05,1.5179503196744492e-05,8.511154054056813e-06,1.2786051212254053e-05,2.7666375828849356e-07,4.131975641416671e-06,1.1047527555327824e-05,-3.276932620533864e-05,0.0
ar,normal,0.5,500,0.05,none,0.0,1.5179503196744492e-05,1.5179503196744492e-05,4.512821264539512e-06,0.0,4.131975641416671e-06,1.1047527555327824e-05,4.512821264539512e-06,0.0
ar,normal,0.5,1000,0.01,constant,1.4349872753942718e-05,4.61273017631326e-06,2.691624201301072e-06,4.158080976587103e-06,7.938222345357901e-08,1.4199051122448267e-06,3.1928250640684335e-06,-8.270685802343427e-06,0.0
ar,normal,0.5,1000,0.01,none,0.0,4.61273017631326e-06,4.61273017631326e-06,1.0468962759214442e-06,0.0,1.4199051122448267e-06,3.1928250640684335e-06,1.0468962759214442e-06,0.0
ar,normal,0.5,1000,0.05,constant,5.222372656028037e-05,7.640075669190228e-06,3.6704724712398895e-06,8.75469782034293e-06,2.139989908833775e-07,2.3924960208870433e-06,5.247579648303184e-06,-3.94994255419871e-05,0.0
ar,normal,0.5,1000,0.05,none,0.0,7.640075669190228e-06,7.640075669190228e-06,1.7209709969752256e-06,0.0,2.3924960208870433e-06,5.247579648303184e-06,1.7209709969752256e-06,0.0
ar,normal,0.8,125,0.01,constant,1.4349872753942718e-05,6.908885165557591e-05,6.227399509526074e-05,3.627639437501267e-05,2.4557278746355423e-07,1.8861996045432512e-05,5.0226855610143394e-05,2.8741378181385115e-05,0.0
ar,normal,0.8,125,0.01,none,0.0,6.908885165557591e-05,6.908885165557591e-05,3.509615494422038e-05,0.0,1.8861996045432512e-05,5.0226855610143394e-05,3.509615494422038e-05,0.0
ar,normal,0.8,125,0.05,constant,5.222372656028037e-05,0.00012413749246092685,0.00010471016756995134,5.4206716001388925e-05,5.489297188274673e-07,2.837511332674223e-05,9.576237913418461e-05,2.141031433208406e-05,0.0
ar,normal,0.8,125,0.05,none,0.0,0.00012413749246092685,0.00012413749246092685,4.64147732112875e-05,0.0,2.837511332674223e-05,9.576237913418461e-05,4.64147732112875e-05,0.0
ar,normal,0.8,250,0.01,constant,1.4349872753942718e-05,3.862678798236982e-05,3.4319158489537576e-05,1.3886535846054086e-05,3.910470132448188e-07,7.132713912826914e-06,3.1494074069542905e-05,3.844292584943616e-06,0.0
ar,normal,0.8,250,0.01,none,0.0,3.862678798236982e-05,3.862678798236982e-05,1.0685158045832442e-05,0.0,7.132713912826914e-06,3.1494074069542905e-05,1.0685158045832442e-05,0.0
ar,normal,0.8,250,0.05,constant,5.222372656028037e-05,7.565309979731383e-05,6.02871838561669e-05,2.847994457307459e-05,5.696094231234256e-07,2.1751828342281105e-05,5.3901271455032726e-05,-8.377866046058845e-06,0.0
ar,normal,0.8,250,0.05,none,0.0,7.565309979731383e-05,7.565309979731383e-05,1.9040602114703464e-05,0.0,2.1751828342281105e-05,5.3901271455032726e-05,1.9040602114703464e-05,0.0
ar,normal,0.8,500,0.01,constant,1.4349872753942718e-05,2.1809056812426807e-05,1.7720981898580597e-05,9.264604588825033e-06,1.7525801441600881e-07,5.339368188101784e-06,1.646968862432502e-05,-9.971932512714787e-07,0.0
ar,normal,0.8,500,0.01,none,0.0,2.1809056812426807e-05,2.1809056812426807e-05,6.442768140704636e-06,0.0,5.339368188101784e-06,1.646968862432502e-05,6.442768140704636e-06,0.0
ar,normal,0.8,500,0.05,constant,5.222372656028037e-05,4.007072565461891e-05,2.7524897245580554e-05,1.880616391849855e-05,3.9284786691190727e-07,1.2625353938158306e-05,2.7445371716460607e-05,-2.087173423274346e-05,0.0
ar,normal,0.8,500,0.05,none,0.0,4.007072565461891e-05,4.007072565461891e-05,1.0833531298386143e-05,0.0,1.2625353938158306e-05,2.7445371716460607e-05,1.0833531298386143e-05,0.0
ar,normal,0.8,1000,0.01,constant,1.4349872753942718e-05,1.0814611382694905e-05,6.831014980600183e-06,5.03826729613319e-06,1.1998274045325125e-07,3.6599323274941674e-06,7.154679055200737e-06,-5.328009055714807e-06,0.0
ar,normal,0.8,1000,0.01,none,0.0,1.0814611382694905e-05,1.0814611382694905e-05,2.345938831120417e-06,0.0,3.6599323274941674e-06,7.154679055200737e-06,2.345938831120417e-06,0.0
ar,normal,0.8,1000,0.05,constant,5.222372656028037e-05,1.876333553216954e-05,9.729255424315248e-06,1.3501969349869121e-05,2.732055315715939e-07,5.231217935270696e-06,1.3532117596898846e-05,-2.9687677102556954e-05,0.0
ar,normal,0.8,1000,0.05,none,0.0,1.876333553216954e-05,1.876333553216954e-05,4.94586814494978e-06,0.0,5.231217935270696e-06,1.3532117596898846e-05,4.94586814494978e-06,0.0
ar,t5,0.0,125,0.01,constant,7.1529571777347654e-06,7.517639620024782e-05,7.197190255736174e-05,1.393077606549304e-05,1.195636024438897e-06,-8.24737297020334e-06,8.342376917045116e-05,9.982312530644356e-06,0.0
ar,t5,0.0,125,0.01,none,0.0,7.517639620024781e-05,7.517639620024781e-05,1.2794911909715342e-05,0.0,-8.24737297020334e-06,8.342376917045116e-05,1.2794911909715342e-05,0.0
ar,t5,0.0,125,0.05,constant,4.220057634851562e-05,4.6681075311938966e-05,3.7667482995018584e-05,2.3339774750574738e-05,5.323454724347111e-07,9.052793901996954e-06,3.762828140994201e-05,-9.847209281020505e-06,0.0
ar,t5,0.0,125,0.05,none,0.0,4.6681075311938966e-05,4.6681075311938966e-05,1.0827196936695672e-05,0.0,9.052793901996954e-06,3.762828140994201e-05,1.0827196936695672e-05,0.0
ar,t5,0.0,250,0.01,constant,7.1529571777347654e-06,9.4349004145196e-05,9.167804416571712e-05,1.8136709683190802e-05,1.9284702578576313e-06,5.670603643296925e-05,3.764296771222674e-05,1.3654712484934908e-05,0.0
ar,t5,0.0,250,0.01,none,0.0,9.434900414519597e-05,9.434900414519597e-05,1.721509211833847e-05,0.0,5.670603643296924e-05,3.764296771222674e-05,1.721509211833847e-05,0.0
ar,t5,0.0,250,0.05,constant,4.220057634851562e-05,3.0833260958108e-05,2.5812957614507242e-05,1.564275865404006e-05,5.913303710390994e-07,1.1353759108123867e-05,1.9479501849984134e-05,-2.1537514350874803e-05,0.0
ar,t5,0.0,250,0.05,none,0.0,3.0833260958108e-05,3.0833260958108e-05,7.792363386990741e-06,0.0,1.1353759108123867e-05,1.9479501849984134e-05,7.792363386990741e-06,0.0
ar,t5,0.0,500,0.01,constant,7.1529571777347654e-06,2.081305743357542e-05,1.930731424134689e-05,6.240309460513286e-06,2.765112256232548e-07,9.649490793081422e-06,1.1163566640494e-05,5.930954750070504e-07,0.0
ar,t5,0.0,500,0.01,none,0.0,2.081305743357542e-05,2.081305743357542e-05,4.684328803914084e-06,0.0,9.649490793081422e-06,1.1163566640494e-05,4.684328803914084e-06,0.0
ar,t5,0.0,500,0.05,constant,4.220057634851562e-05,1.2697433912941e-05,8.74587706682649e-06,1.022948938643303e-05,2.770523156771635e-07,4.073203207934464e-06,8.624230705006535e-06,-2.8019530115968088e-05,0.0
ar,t5,0.0,500,0.05,none,0.0,1.2697433912941e-05,1.2697433912941e-05,3.2098742272509832e-06,0.0,4.073203207934464e-06,8.624230705006535e-06,3.2098742272509832e-06,0.0
ar,t5,0.0,1000,0.01,constant,7.1529571777347654e-06,7.337504378340256e-06,5.643641772765832e-06,3.0873497177306793e-06,7.413013529488613e-08,2.2670068878260928e-06,5.0704974905141625e-06,-2.371744854429663e-06,0.0
ar,t5,0.0,1000,0.01,none,0.0,7.337504378340256e-06,7.337504378340256e-06,1.4639175621917838e-06,0.0,2.2670068878260928e-06,5.0704974905141625e-06,1.4639175621917838e-06,0.0
ar,t5,0.0,1000,0.05,constant,4.220057634851562e-05,5.690338631849306e-06,2.879613049618559e-06,5.996496861197884e-06,1.9795801652281418e-07,1.019934810429118e-06,4.670403821420188e-06,-3.339335390508699e-05,0.0
ar,t5,0.0,1000,0.05,none,0.0,5.690338631849306e-06,5.690338631849306e-06,1.51261603774168e-06,0.0,1.019934810429118e-06,4.670403821420188e-06,1.51261603774168e-06,0.0
ar,t5,0.5,125,0.01,constant,7.1529571777347654e-06,7.289636322401067e-05,6.934136194521895e-05,1.6922667466774917e-05,1.1516451864712785e-06,-2.9697669927926874e-06,7.586613021680337e-05,1.3324711567831887e-05,0.0
ar,t5,0.5,125,0.01,none,0.0,7.289636322401067e-05,7.289636322401067e-05,1.644030261713706e-05,0.0,-2.9697669927926874e-06,7.586613021680337e-05,1.644030261713706e-05,0.0
ar,t5,0.5,125,0.05,constant,4.220057634851562e-05,6.5255322669276e-05,5.261810411525672e-05,2.7713925632349913e-05,6.291120104272331e-07,1.3496554827412618e-05,5.175876784186338e-05,-1.8494321621464224e-06,0.0
ar,t5,0.5,125,0.05,none,0.0,6.5255322669276e-05,6.5255322669276e-05,1.8932025362051812e-05,0.0,1.3496554827412618e-05,5.175876784186338e-05,1.8932025362051812e-05,0.0
ar,t5,0.5,250,0.01,constant,7.1529571777347654e-06,0.0001009936604806291,9.817153043607749e-05,1.5018448215767655e-05,1.8492760162545519e-06,5.9733529372303695e-05,4.126013110832542e-05,1.0687621082584515e-05,0.0
ar,t5,0.5,250,0.01,none,0.0,0.0001009936604806291,0.0001009936604806291,1.3951238307143298e-05,0.0,5.973352937230369e-05,4.126013110832542e-05,1.3951238307143298e-05,0.0
ar,t5,0.5,250,0.05,constant,4.220057634851562e-05,4.5617777944307755e-05,3.706668348852625e-05,1.7894057970479974e-05,5.872779069277822e-07,1.7434111812738684e-05,2.8183666131569068e-05,-1.5755423922254146e-05,0.0
ar,t5,0.5,250,0.05,none,0.0,4.5617777944307755e-05,4.5617777944307755e-05,1.0186918205445168e-05,0.0,1.7434111812738684e-05,2.8183666131569068e-05,1.0186918205445168e-05,0.0
ar,t5,0.5,500,0.01,constant,7.1529571777347654e-06,2.3571733882773177e-05,2.1704902881816076e-05,6.25572696400638e-06,3.0151123307258636e-07,1.0107920637188778e-05,1.3463813245584398e-05,9.69600787228712e-07,0.0
ar,t5,0.5,500,0.01,none,0.0,2.3571733882773177e-05,2.3571733882773177e-05,4.642215727081566e-06,0.0,1.0107920637188778e-05,1.3463813245584398e-05,4.642215727081566e-06,0.0
ar,t5,0.5,500,0.05,constant,4.220057634851562e-05,1.9153676303707374e-05,1.2196537487879233e-05,1.226355125026098e-05,2.9019523006088314e-07,5.429184725749744e-06,1.372449157795763e-05,-2.2979886282426502e-05,0.0
ar,t5,0.5,500,0.05,none,0.0,1.9153676303707374e-05,1.9153676303707374e-05,5.5843727802069405e-06,0.0,5.429184725749744e-06,1.372449157795763e-05,5.5843727802069405e-06,0.0
ar,t5,0.5,1000,0.01,constant,7.1529571777347654e-06,9.114876766647265e-06,7.205066522732402e-06,3.5300050545423065e-06,9.574723047348772e-08,2.9911820461400494e-06,6.123694720507216e-06,-1.7131418792775949e-06,0.0
ar,t5,0.5,1000,0.01,none,0.0,9.114876766647265e-06,9.114876766647265e-06,1.9644259187897337e-06,0.0,2.9911820461400494e-06,6.123694720507216e-06,1.9644259187897337e-06,0.0
ar,t5,0.5,1000,0.05,constant,4.220057634851562e-05,9.618625392486917e-06,5.216235145489741e-06,9.091476512796403e-06,2.1363363466081086e-07,3.0438827273587772e-06,6.57474266512814e-06,-2.870670958872204e-05,0.0
ar,t5,0.5,1000,0.05,none,0.0,9.618625392486917e-06,9.618625392486917e-06,2.131592920978076e-06,0.0,3.0438827273587772e-06,6.57474266512814e-06,2.131592920978076e-06,0.0
ar,t5,0.8,125,0.01,constant,7.1529571777347654e-06,0.00011227475090746329,0.0001079156089657612,4.9535391967180893e-05,6.815599805382976e-07,1.8774159657959074e-05,9.350059124950421e-05,4.67415767311482e-05,0.0
ar,t5,0.8,125,0.01,none,0.0,0.00011227475090746327,0.00011227475090746327,5.0272114746121786e-05,0.0,1.8774159657959074e-05,9.350059124950421e-05,5.0272114746121786e-05,0.0
ar,t5,0.8,125,0.05,constant,4.220057634851562e-05,0.0001488240762071941,0.00013158228176012135,5.656203081048196e-05,9.782763922358012e-07,2.8453579672191538e-05,0.00012037049653500256,3.160324890903907e-05,0.0
ar,t5,0.8,125,0.05,none,0.0,0.0001488240762071941,0.0001488240762071941,5.15288478887235e-05,0.0,2.8453579672191538e-05,0.00012037049653500256,5.15288478887235e-05,0.0
ar,t5,0.8,250,0.01,constant,7.1529571777347654e-06,9.311256799405028e-05,8.947609395694492e-05,1.8255589817520532e-05,1.2655944435118072e-06,2.5819859457251317e-05,6.729270853679897e-05,1.4739106676891129e-05,0.0
ar,t5,0.8,250,0.01,none,0.0,9.311256799405028e-05,9.311256799405028e-05,1.815757040334339e-05,0.0,2.5819859457251317e-05,6.729270853679897e-05,1.815757040334339e-05,0.0
ar,t5,0.8,250,0.05,constant,4.220057634851562e-05,9.919812259691653e-05,8.515889278893549e-05,2.9012724404864296e-05,8.447326726911059e-07,3.0369372257541676e-05,6.882875033937486e-05,8.513778643297214e-07,0.0
ar,t5,0.8,250,0.05,none,0.0,9.919812259691653e-05,9.919812259691653e-05,2.329668927681368e-05,0.0,3.036937225754168e-05,6.882875033937486e-05,2.329668927681368e-05,0.0
ar,t5,0.8,500,0.01,constant,7.1529571777347654e-06,4.5200007515605936e-05,4.2070162563423296e-05,1.15803076961789e-05,5.740692174847308e-07,1.4879287272656243e-05,3.032072024294969e-05,7.557195470626767e-06,0.0
ar,t5,0.8,500,0.01,none,0.0,4.5200007515605936e-05,4.5200007515605936e-05,1.115591987615123e-05,0.0,1.4879287272656243e-05,3.032072024294969e-05,1.115591987615123e-05,0.0
ar,t5,0.8,500,0.05,constant,4.220057634851562e-05,5.049221457884095e-05,3.869330228273579e-05,1.9179706205983795e-05,4.511814550245256e-07,1.6672715772573488e-05,3.3819498806267466e-05,-1.1221957846426664e-05,0.0
ar,t5,0.8,500,0.05,none,0.0,5.049221457884095e-05,5.049221457884095e-05,1.357361303114507e-05,0.0,1.6672715772573488e-05,3.3819498806267466e-05,1.357361303114507e-05,0.0
ar,t5,0.8,1000,0.01,constant,7.1529571777347654e-06,2.0556487367926826e-05,1.7576282594247583e-05,5.104969896195855e-06,1.5287626705459777e-07,7.065345349499947e-06,1.3491142018426878e-05,9.322174921403281e-07,0.0
ar,t5,0.8,1000,0.01,none,0.0,2.0556487367926826e-05,2.0556487367926826e-05,4.288643496414114e-06,0.0,7.065345349499947e-06,1.3491142018426878e-05,4.288643496414114e-06,0.0
ar,t5,0.8,1000,0.05,constant,4.220057634851562e-05,2.3480496995020454e-05,1.4238977073244842e-05,1.276940401022068e-05,3.312510090060206e-07,6.560100218461972e-06,1.6920396776558485e-05,-2.0189652416519327e-05,0.0
ar,t5,0.8,1000,0.05,none,0.0,2.3480496995020454e-05,2.3480496995020454e-05,6.079859797468619e-06,0.0,6.560100218461972e-06,1.6920396776558485e-05,6.079859797468619e-06,0.0
garch,normal,0.0,125,0.01,constant,1.7022185544859642e-05,2.6762188331846096e-05,2.3094034363110006e-05,1.1576142971472401e-05,4.034065076956191e-07,-1.4709300900987054e-06,2.82331184219448e-05,-1.7778886046511512e-06,-5.421010862427522e-20
garch,normal,0.0,125,0.01,none,0.0,2.6762188331846035e-05,2.6762188331846035e-05,5.3984198166092045e-06,0.0,-1.4709300900987046e-06,2.823311842194474e-05,5.3984198166092045e-06,0.0
garch,normal,0.0,125,0.01,state,5.747794736089775e-06,3.035997198020575e-05,2.84436851237524e-05,7.59759454141809e-06,5.012147585302634e-07,-3.6082359627899207e-06,3.3968207942995665e-05,3.7660866617816645e-06,3.1162718644153677e-06
garch,normal,0.0,125,0.05,constant,6.120841142794389e-05,3.3142447917879506e-05,2.403682303393214e-05,2.6475689690354886e-05,5.602125738276469e-07,4.9913270722775624e-06,2.8151120845601943e-05,-2.5627096853641637e-05,2.168404344971009e-19
garch,normal,0.0,125,0.05,none,0.0,3.314244791787972e-05,3.314244791787972e-05,8.201374197060544e-06,0.0,4.991327072277562e-06,2.8151120845602163e-05,8.201374197060544e-06,0.0
garch,normal,0.0,125,0.05,state,2.0147091640758877e-05,4.9473389948851176e-05,4.41800850654503e-05,1.7915072667048577e-05,4.634531665456323e-07,5.5913673534449794e-06,4.3882022595406196e-05,3.061285909690571e-06,1.1952070412957335e-05
garch,normal,0.0,250,0.01,constant,1.7022185544859642e-05,2.9891115940826285e-05,2.826913788625496e-05,1.0089304128618383e-05,5.382833299596504e-07,1.5925376188169304e-05,1.3965739752656976e-05,-5.310903361669936e-06,-5.421010862427522e-20
garch,normal,0.0,250,0.01,none,0.0,2.9891115940826224e-05,2.9891115940826224e-05,6.139220052597682e-06,0.0,1.5925376188169304e-05,1.396573975265692e-05,6.139220052597682e-06,0.0
garch,normal,0.0,250,0.01,state,5.747794736089775e-06,3.5194571785693746e-05,3.3901487247645415e-05,8.525343857917177e-06,7.433919508365371e-07,1.6864017111176147e-05,1.8330554674517602e-05,4.070633659875739e-06,3.1162718644153677e-06
garch,normal,0.0,250,0.05,constant,6.120841142794389e-05,2.3997530371131488e-05,1.950672706914162e-05,1.503767066542887e-05,5.768451488349299e-07,8.519904743567682e-06,1.5477625627563804e-05,-4.167993746052516e-05,2.168404344971009e-19
garch,normal,0.0,250,0.05,none,0.0,2.39975303711317e-05,2.39975303711317e-05,5.424228280207247e-06,0.0,8.519904743567685e-06,1.5477625627564018e-05,5.424228280207247e-06,0.0
garch,normal,0.0,250,0.05,state,2.0147091640758877e-05,4.048442901047497e-05,3.7583578899873035e-05,1.3988531151900729e-05,4.4342953268784257e-07,1.4289187056553193e-05,2.6195241953921775e-05,-3.2577103782562117e-06,1.1952070412957335e-05
garch,normal,0.0,500,0.01,constant,1.7022185544859642e-05,9.57869126446793e-06,8.03265465332197e-06,5.560760528917656e-06,2.0451609816177296e-07,4.129336462820414e-06,5.449354801647517e-06,-9.915388404796026e-06,-5.421010862427522e-20
garch,normal,0.0,500,0.01,none,0.0,9.578691264467873e-06,9.578691264467873e-06,1.590700779713412e-06,0.0,4.129336462820412e-06,5.449354801647462e-06,1.590700779713412e-06,0.0
garch,normal,0.0,500,0.01,state,5.747794736089775e-06,1.3215773840349873e-05,1.239050211170814e-05,4.010034087590028e-06,1.8077166824006988e-07,5.942363469591611e-06,7.273410370758262e-06,-9.124889198580149e-07,3.1162718644153677e-06
garch,normal,0.0,500,0.05,constant,6.120841142794389e-05,9.058818744667143e-06,5.991805301891988e-06,8.930719553255901e-06,2.995387200092768e-07,2.9166467074494627e-06,6.142172037217682e-06,-4.921067843191283e-05,2.168404344971009e-19
garch,normal,0.0,500,0.05,none,0.0,9.058818744667358e-06,9.058818744667358e-06,2.4496865128351497e-06,0.0,2.9166467074494614e-06,6.142172037217897e-06,2.4496865128351497e-06,0.0
garch,normal,0.0,500,0.05,state,2.0147091640758877e-05,1.7757778944135806e-05,1.563506535304251e-05,8.734530219113444e-06,2.798511667596662e-07,5.721392436646573e-06,1.2036386507489232e-05,-9.289847830552131e-06,1.1952070412957335e-05
garch,normal,0.0,1000,0.01,constant,1.7022185544859642e-05,3.768193357439912e-06,2.2391426192088e-06,4.00617152535362e-06,9.544481984118341e-08,1.0698915859767658e-06,2.6983017714631464e-06,-1.1486963281274911e-05,-5.421010862427522e-20
garch,normal,0.0,1000,0.01,none,0.0,3.768193357439857e-06,3.768193357439857e-06,7.488761086868248e-07,0.0,1.0698915859767658e-06,2.6983017714630914e-06,7.488761086868248e-07,0.0
garch,normal,0.0,1000,0.01,state,5.747794736089775e-06,5.30198483548436e-06,4.514916266620549e-06,2.615477864644406e-06,7.190130822675248e-08,1.2488916538176779e-06,4.053093181666682e-06,-2.3452483025815577e-06,3.1162718644153677e-06
garch,normal,0.0,1000,0.05,constant,6.120841142794389e-05,4.634093220003059e-06,2.346408403162139e-06,4.91412391408615e-06,2.3891983655198026e-07,1.3851916062528067e-06,3.2489016137502524e-06,-5.400660269701682e-05,2.168404344971009e-19
garch,normal,0.0,1000,0.05,none,0.0,4.634093220003275e-06,4.634093220003275e-06,1.2092683636990175e-06,0.0,1.3851916062528083e-06,3.2489016137504667e-06,1.2092683636990175e-06,0.0
garch,normal,0.0,1000,0.05,state,2.0147091640758877e-05,1.0487013589558247e-05,9.205786539976127e-06,5.638022188639526e-06,2.3797379771576956e-07,2.7206961792906444e-06,7.766317410267603e-06,-1.3227842402537228e-05,1.1952070412957335e-05
garch,t5,0.0,125,0.01,constant,8.148502670904173e-06,7.987379797722034e-05,7.635116023904973e-05,1.2526573587309133e-05,1.22895852155125e-06,-9.353776293996928e-06,8.922757427121728e-05,7.900708654575578e-06,0.0
garch,t5,0.0,125,0.01,none,0.0,7.987379797722034e-05,7.987379797722034e-05,1.0902102188386447e-05,0.0,-9.353776293996928e-06,8.922757427121728e-05,1.0902102188386447e-05,0.0
garch,t5,0.0,125,0.01,state,3.4787528924410554e-06,8.417413141168048e-05,8.212444816421215e-05,1.2966166150548802e-05,8.233546470505162e-07,-8.690158196778005e-06,9.286428960845848e-05,1.1537096505576076e-05,3.074837019503016e-06
garch,t5,0.0,125,0.05,constant,4.8121818656023535e-05,4.508941538142823e-05,3.6210993387258046e-05,2.651338469672721e-05,7.048672421557075e-07,4.107946759709153e-06,4.098146862171908e-05,-1.2730011965126147e-05,0.0
garch,t5,0.0,125,0.05,none,0.0,4.5089415381428237e-05,4.5089415381428237e-05,1.3916835518652446e-05,0.0,4.1079467597091495e-06,4.0981468621719086e-05,1.3916835518652446e-05,0.0
garch,t5,0.0,125,0.05,state,2.0727724033459167e-05,6.311989196035633e-05,5.5772709575692245e-05,2.3206143430870853e-05,7.100155190565308e-07,7.171729774799159e-06,5.594816218555717e-05,9.825601782075761e-06,1.798463099453415e-05
