model,asset,method,DQ,p_DQ,DQ_rank
Moirai-1.1,SP500,Isotonic,133.85134214240344,1.9846428010289632e-26,6
Moirai-1.1,SP500,Hist-Quantile,,,5
Moirai-1.1,SP500,aci,52.37984766439704,1.5639887834894064e-09,6
Moirai-1.1,SP500,rolling,13.061940644071612,0.04206280199678421,6
Moirai-1.1,SP500,gamlss,7.019275994411114,0.31906824586225485,6
Moirai-1.1,SP500,gbm,36.801980954777754,1.9245157485205673e-06,6
Moirai-1.1,STOXX,Raw,26.78748501415731,0.0001587011877762139,6
Moirai-1.1,STOXX,Conformal,15.94976432078892,0.014026157699061076,6
Moirai-1.1,STOXX,Scale,11.71479190587137,0.06864240669763355,6
Moirai-1.1,STOXX,QR-Residual,15.949764320788944,0.014026157699060958,6
Moirai-1.1,STOXX,Isotonic,12.93501749782625,0.04407955880846382,6
Moirai-1.1,STOXX,Hist-Quantile,,,5
Moirai-1.1,STOXX,aci,31.843674556432685,1.7482880264834565e-05,6
Moirai-1.1,STOXX,rolling,22.69870630268461,0.0009039312340515509,6
Moirai-1.1,STOXX,gamlss,0.8451905780826308,0.9908068780031131,6
Moirai-1.1,STOXX,gbm,28.139088884294328,8.846122773815218e-05,6
Moirai-1.1,TLT,Raw,57.15289985688008,1.701232857726807e-10,6
Moirai-1.1,TLT,Conformal,58.94270755822068,7.378611885439708e-11,6
Moirai-1.1,TLT,Scale,58.942707558220604,7.37861188543998e-11,6
Moirai-1.1,TLT,QR-Residual,79.42747762485133,4.6909010975020715e-15,6
Moirai-1.1,TLT,Isotonic,75.74293638043565,2.6986686571243332e-14,6
Moirai-1.1,TLT,Hist-Quantile,,,5
Moirai-1.1,TLT,aci,59.88746457774025,4.7442877460411824e-11,6
Moirai-1.1,TLT,rolling,47.245025029307925,1.6719514209570835e-08,6
Moirai-1.1,TLT,gamlss,5.8495501551617375,0.4402530423418859,6
Moirai-1.1,TLT,gbm,65.57716714332216,3.2884352836801577e-12,6
Moirai-1.1,UNG,Raw,18.516110455846157,0.005063904095816268,6
Moirai-1.1,UNG,Conformal,11.737483644641577,0.06808808715676747,6
Moirai-1.1,UNG,Scale,11.737483644641582,0.06808808715676733,6
Moirai-1.1,UNG,QR-Residual,22.36502903033718,0.001039575319977585,6
Moirai-1.1,UNG,Isotonic,31.929956754486135,1.68298775735234e-05,6
Moirai-1.1,UNG,Hist-Quantile,,,5
Moirai-1.1,UNG,aci,6.42215850166799,0.37759627986383704,6
Moirai-1.1,UNG,rolling,7.773942269755162,0.25513713403306154,6
Moirai-1.1,UNG,gamlss,18.421116357176622,0.005261628773565221,6
Moirai-1.1,UNG,gbm,215.8804230603548,7.862212577159783e-44,6
Moirai-1.1,USDJPY,Raw,30.49500817828752,3.164306097541708e-05,6
Moirai-1.1,USDJPY,Conformal,14.284070264752799,0.026619000456993978,6
Moirai-1.1,USDJPY,Scale,14.556952641341447,0.023997164689075062,6
Moirai-1.1,USDJPY,QR-Residual,30.361332350447935,3.355358118782943e-05,6
Moirai-1.1,USDJPY,Isotonic,45.01206983458943,4.654438316674949e-08,6
