model,asset,variant,n_cal,n_original_test,gap,memory_proxy,rho,qV,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
GARCH-N,ASX200,Full proxy,4540,1946,263,250,0.47567648463138473,0.0035527055428165224,1683,26,0.015448603683897801,0.037509996999816136,0.06410087420055793,0.020701750026229777,4.327104772378103,3.4279693075306454,0.00033585136438644216,0.023632311303223186,Green
Hist-Sim,ASX200,Contiguous,4540,1946,0,250,0.5176403679737304,0.0026695887990744287,1946,18,0.009249743062692703,0.7362045131729624,9.799397761776113e-06,5.3715378337966814e-05,0.11349068110873617,19.55013176376778,0.0004345170081743482,0.030274415668377838,Green
Hist-Sim,ASX200,Logarithmic,4540,1946,15,250,0.5176403679737304,0.0026695887990744287,1931,18,0.009321595028482652,0.7618391942102553,1.0114212527650501e-05,5.596474626666048e-05,0.09184929481491366,19.489727898023943,0.00043553981313581994,0.03029120672479791,Green
Hist-Sim,ASX200,Full proxy,4540,1946,265,250,0.5176403679737304,0.0026695887990744287,1681,16,0.009518143961927425,0.8413496854757847,5.97517689249782e-06,3.47232443785662e-05,0.040066976118192654,20.496135480791054,0.0004603666363523449,0.031102607079643328,Green
EWMA,ASX200,Contiguous,4540,1946,0,600,0.48876649917518167,0.0033615911817502855,1946,34,0.017471736896197326,0.0027385201743440634,0.1413220068385143,0.0038152827796019743,8.973975987429352,2.1635050003689003,0.000348378822945174,0.023700201556369486,Yellow
EWMA,ASX200,Logarithmic,4540,1946,13,600,0.48876649917518167,0.0033615911817502855,1933,34,0.01758923952405587,0.0024567887832535515,0.14312756467838608,0.0034886052895717833,9.172498938342194,2.1440075679308848,0.0003486995807856565,0.023674558665120762,Yellow
EWMA,ASX200,Full proxy,4540,1946,613,600,0.48876649917518167,0.0033615911817502855,1333,21,0.015753938484621154,0.051440035182333484,0.3382468535777935,0.094848318872169,3.7938878576203425,0.9170647560316354,0.00028331023178285815,0.021415973382925505,Green
Moirai-1.1,AUDUSD,Contiguous,3335,1430,0,512,0.17112421627861304,0.0008843846966506176,1430,7,0.0048951048951048955,0.031295376939228334,0.7929197661759546,0.0951023364050731,4.636686187087145,0.0689172966246332,0.00022927477290406382,0.019164942532248968,Green
Moirai-1.1,AUDUSD,Logarithmic,3335,1430,6,512,0.17112421627861304,0.0008843846966506176,1424,7,0.0049157303370786515,0.03244000684875322,0.7924915042339478,0.09806246708770777,4.57509184678759,0.06920932144163316,0.00022929749160505077,0.019142634112304335,Green
Moirai-1.1,AUDUSD,Full proxy,3335,1430,518,512,0.17112421627861304,0.0008843846966506176,912,4,0.0043859649122807015,0.05521517468591109,0.8510075134948684,0.15638590192203214,3.675575931190531,0.03528126100419371,0.00023316265176809005,0.018684555194735823,Green
Lag-Llama,AUDUSD,Contiguous,3335,1430,0,512,0.14391492678647236,0.004876360535021048,1430,9,0.006293706293706294,0.13061433271927603,0.7355402029202034,0.3013037080747289,2.2851877811432733,0.11408527086172171,0.00022455631318324057,0.019206147150135106,Green
Lag-Llama,AUDUSD,Logarithmic,3335,1430,5,512,0.14391492678647236,0.004876360535021048,1425,9,0.00631578947368421,0.13379315285523458,0.7350908950173278,0.30690719224978164,2.2479313604933857,0.11448840445406461,0.0002247189789531209,0.019207079886132714,Green
Lag-Llama,AUDUSD,Full proxy,3335,1430,517,512,0.14391492678647236,0.004876360535021048,913,5,0.00547645125958379,0.1329630283993358,0.8143705284003725,0.3146338273212566,2.2575644677167563,0.05512707083801871,0.00023019177311607767,0.01882704913721168,Green
GJR-GARCH,AUDUSD,Contiguous,3518,1509,0,250,0.4789213228287039,0.0028530408162919883,1509,6,0.003976143141153081,0.007421859519936649,0.8266941376772773,0.027107892875013983,7.1679244742922705,0.04793621270975734,0.0002090706344435824,0.01738023478360589,Green
GJR-GARCH,AUDUSD,Logarithmic,3518,1509,13,250,0.4789213228287039,0.0028530408162919883,1496,6,0.004010695187165776,0.008102620261228672,0.8259513007956065,0.029319484880058158,7.0106512107604395,0.048354731261539996,0.00020942614355703008,0.017392078319217595,Green
GJR-GARCH,AUDUSD,Full proxy,3518,1509,263,250,0.4789213228287039,0.0028530408162919883,1246,5,0.0040128410914927765,0.01571783495349998,0.8408509715700836,0.05301153840751771,5.83416867673035,0.04032268991417709,0.00021819712772073554,0.017779925876689133,Green
GJR-GARCH-t,AUDUSD,Contiguous,3518,1509,0,250,0.49533968206875223,0.0021036390339184974,1509,8,0.005301524188204109,0.043906758297636926,0.7701953420488126,0.1258406559678707,4.06014387718314,0.08533373788120002,0.00020739179936812805,0.017141893430714667,Green
GJR-GARCH-t,AUDUSD,Logarithmic,3518,1509,13,250,0.49533968206875223,0.0021036390339184974,1496,8,0.0053475935828877,0.04721692299868566,0.7692213621981085,0.13373958123821428,3.9376418173931356,0.0860797696559672,0.00020767085845456156,0.0171454796962523,Green
GJR-GARCH-t,AUDUSD,Full proxy,3518,1509,263,250,0.49533968206875223,0.0021036390339184974,1246,6,0.004815409309791332,0.040792757838571,0.8095059074681505,0.11986879980559936,4.184603331285272,0.058111607274923927,0.00021593045777900375,0.017475033018466715,Green
GARCH-N,AUDUSD,Contiguous,3518,1509,0,250,0.5111071008447879,0.0033569738350275324,1509,5,0.0033134526176275677,0.0024174395710071937,0.8552750617861019,0.009875883060384333,9.202052235619636,0.033266861093636635,0.0002109648800644325,0.017934620323771067,Green
GARCH-N,AUDUSD,Logarithmic,3518,1509,14,250,0.5111071008447879,0.0033569738350275324,1495,5,0.0033444816053511705,0.002679182519755418,0.8546038247093576,0.010847790622494647,9.014008051268148,0.03357964672002822,0.00021108318800663043,0.017927619216911026,Green
GARCH-N,AUDUSD,Full proxy,3518,1509,264,250,0.5111071008447879,0.0033569738350275324,1245,4,0.00321285140562249,0.005013981834746788,0.8723737939335251,0.019252822786988096,7.874388685057811,0.025806496369369825,0.00021881860476474896,0.01824521662344473,Green
Hist-Sim,AUDUSD,Contiguous,3518,1509,0,250,0.6825743858863762,0.003529304245843131,1509,9,0.005964214711729622,0.08845578387893746,0.7423491021239206,0.22198102946779114,2.902254009878572,0.10807269733932401,0.0002213666592432033,0.01852151333389137,Green
Hist-Sim,AUDUSD,Logarithmic,3518,1509,24,250,0.6825743858863762,0.003529304245843131,1485,9,0.006060606060606061,0.09976524500661778,0.7403364054635333,0.24425031099048491,2.7092922396313845,0.10983118999550356,0.0002209292328099038,0.01844378036072882,Green
Hist-Sim,AUDUSD,Full proxy,3518,1509,274,250,0.6825743858863762,0.003529304245843131,1235,9,0.0072874493927125505,0.3140887921833467,0.7161144915973603,0.5639301386599727,1.0134037178677175,0.13224608769321833,0.0002269865723479656,0.018265810975528086,Green
EWMA,AUDUSD,Contiguous,3518,1509,0,600,0.5305259911569837,0.002947321969043638,1509,8,0.005301524188204109,0.043906758297636926,0.7701953420488126,0.1258406559678707,4.06014387718314,0.08533373788120002,0.00020854018579880652,0.01727311395188356,Green
EWMA,AUDUSD,Logarithmic,3518,1509,15,600,0.5305259911569837,0.002947321969043638,1494,8,0.00535475234270415,0.04774603687895997,0.7690704175810187,0.13499073009132861,3.9189026346563463,0.08619570312662006,0.00020881048067901268,0.017271030753462164,Green
EWMA,AUDUSD,Full proxy,3518,1509,615,600,0.5305259911569837,0.002947321969043638,894,3,0.003355704697986577,0.020506693348905716,0.8869111526108211,0.06759434728268705,5.368237081615464,0.020224757400868043,0.00021869476336695132,0.016410476342725272,Green
Moirai-1.1,BOVESPA,Contiguous,4265,1829,0,512,0.10322471749287757,0.0034528117841090243,1829,16,0.008747949699289229,0.5823871900016334,0.12878500070452625,0.2712429595848798,0.30239125139103873,2.307089408432489,0.0005921469394419345,0.038074242348197236,Green
Moirai-1.1,BOVESPA,Logarithmic,4265,1829,5,512,0.10322471749287757,0.0034528117841090243,1824,16,0.008771929824561403,0.590301850330801,0.12918282035757156,0.2736008096278824,0.28987311858431575,2.3022971495594504,0.0005928012800456886,0.038074690585070715,Green
Moirai-1.1,BOVESPA,Full proxy,4265,1829,517,512,0.10322471749287757,0.0034528117841090243,1312,7,0.005335365853658537,0.06235532042651849,0.7839756399147426,0.1695887661678753,3.4736038548918966,0.07515373517976798,0.0003757710124012836,0.03440719503307629,Green
Lag-Llama,BOVESPA,Contiguous,4265,1829,0,512,0.07154457332052792,0.011544224795620783,1829,14,0.007654455986878075,0.29298884122381047,0.642028367091741,0.5163514046700102,1.1058362885098543,0.2160991684600333,0.0005128812027508068,0.040514545640066145,Green
Lag-Llama,BOVESPA,Logarithmic,4265,1829,4,512,0.07154457332052792,0.011544224795620783,1825,14,0.007671232876712329,0.2971430038818949,0.6416607380994441,0.5211201923644235,1.0869723914388745,0.21657674519664738,0.000513321970974065,0.040533709429376175,Green
Lag-Llama,BOVESPA,Full proxy,4265,1829,516,512,0.07154457332052792,0.011544224795620783,1313,5,0.003808073115003808,0.009881554105847063,0.8449307032196336,0.03518306122048245,6.656125414687564,0.038255640365520094,0.0003923860754468317,0.037045156821371605,Green
GJR-GARCH,BOVESPA,Contiguous,4449,1907,0,250,0.29644279637136983,0.004546748674657625,1907,21,0.01101206082852648,0.662063689371668,0.49394830751522023,0.7193046376432184,0.1910264408083222,0.4679141885719389,0.0004340389645038627,0.03357570403886111,Green
GJR-GARCH,BOVESPA,Logarithmic,4449,1907,8,250,0.29644279637136983,0.004546748674657625,1899,21,0.011058451816745656,0.6485239856672897,0.49302922983990705,0.7125983565444903,0.20776608596339852,0.4699085782237944,0.0004341628049871008,0.0335663438845107,Green
GJR-GARCH,BOVESPA,Full proxy,4449,1907,258,250,0.29644279637136983,0.004546748674657625,1649,18,0.010915706488781079,0.712663123932253,0.5283551363024281,0.7659849267139537,0.13563148214509058,0.3975540925634675,0.0004444263646337513,0.03375666311077787,Green
GJR-GARCH-t,BOVESPA,Contiguous,4449,1907,0,250,0.30759510136243884,0.002827942892720328,1907,23,0.012060828526481384,0.38097133957028506,0.4535024142244237,0.5144153562788447,0.7675651777979988,0.5618833296163643,0.0004434191488006116,0.03303254266902813,Green
GJR-GARCH-t,BOVESPA,Logarithmic,4449,1907,8,250,0.30759510136243884,0.002827942892720328,1899,23,0.012111637704054766,0.37069987646301483,0.4525405595474985,0.5052009802866333,0.8013170777385525,0.5642808184904595,0.00044360783953911,0.0330234277095581,Green
GJR-GARCH-t,BOVESPA,Full proxy,4449,1907,258,250,0.30759510136243884,0.002827942892720328,1649,20,0.01212856276531231,0.40054897405663015,0.48329773931002706,0.5493358727514137,0.7066776162968988,0.491412852631953,0.00045524506190583274,0.03320574087033215,Green
GARCH-N,BOVESPA,Contiguous,4449,1907,0,250,0.3604513247496261,0.004717618008296034,1907,19,0.009963293130571578,0.9871385574405782,0.5362020497891187,0.8257674208408321,0.00025985845958950704,0.3826243774247189,0.00045747996209372516,0.03367957929310956,Green
GARCH-N,BOVESPA,Logarithmic,4449,1907,10,250,0.3604513247496261,0.004717618008296034,1897,19,0.010015814443858724,0.9944780390081605,0.5351182163360979,0.825013592769574,4.789756987295252e-05,0.3846629358278335,0.0004577809806109214,0.03366529072982767,Green
GARCH-N,BOVESPA,Full proxy,4449,1907,260,250,0.3604513247496261,0.004717618008296034,1647,16,0.009714632665452338,0.9069001516669098,0.575165678102341,0.8488300257563092,0.013677162013733812,0.31411547388339045,0.0004714774917539354,0.033827512173897914,Green
Hist-Sim,BOVESPA,Contiguous,4449,1907,0,250,0.3967155512144966,0.004153906258618216,1907,17,0.008914525432616675,0.6274283797778917,0.00027407533925768936,0.001185424770410081,0.23556423068415278,13.239743994481444,0.0006513259123093155,0.044528763237304134,Green
Hist-Sim,BOVESPA,Logarithmic,4449,1907,10,250,0.3967155512144966,0.004153906258618216,1897,17,0.008961518186610437,0.6435565620196506,0.0002785691775314324,0.0012166051758469455,0.21412079544879203,13.20926108801686,0.000652785672643129,0.04458535459591925,Green
Hist-Sim,BOVESPA,Full proxy,4449,1907,260,250,0.3967155512144966,0.004153906258618216,1647,16,0.009714632665452338,0.9069001516669098,0.00028570279397630824,0.0013770988283892953,0.013677162013733812,13.161875420011654,0.0006935722669846229,0.045924276209049576,Green
EWMA,BOVESPA,Contiguous,4449,1907,0,600,0.413110682257171,0.0033029658715502883,1907,21,0.01101206082852648,0.662063689371668,0.49394830751522023,0.7193046376432184,0.1910264408083222,0.4679141885719389,0.0004744504081986025,0.032660545407653806,Green
EWMA,BOVESPA,Logarithmic,4449,1907,11,600,0.413110682257171,0.0033029658715502883,1896,21,0.011075949367088608,0.6434662310044232,0.4926832969491183,0.7100292256928284,0.21423742907577026,0.470660864616832,0.000474913888965975,0.03264568251613118,Green
EWMA,BOVESPA,Full proxy,4449,1907,611,600,0.413110682257171,0.0033029658715502883,1296,10,0.007716049382716049,0.38928583829978647,0.6931994431576534,0.6386443284671519,0.7411715777106194,0.15564359435971653,0.0003252922268040376,0.028300412708957348,Green
Moirai-1.1,BTC,Contiguous,2697,1157,0,512,0.0037879275140243313,0.022615959169785052,1157,5,0.00432152117545376,0.028661408519726355,0.834897807269137,0.08931029871759874,4.787836317968869,0.043440623160321934,0.0008814007113353803,0.08068820158975859,Green
Moirai-1.1,BTC,Logarithmic,2697,1157,2,512,0.0037879275140243313,0.022615959169785052,1155,5,0.004329004329004329,0.029044505731731316,0.8347562472185468,0.09033368176328979,4.764973540940641,0.043516238298948906,0.0008811481498730556,0.08066592509434826,Green
Moirai-1.1,BTC,Full proxy,2697,1157,514,512,0.0037879275140243313,0.022615959169785052,643,2,0.003110419906687403,0.03996314940971369,0.910979220366694,0.12051582260777481,4.21944843310137,0.012500020345076024,0.0008967314915817732,0.08156738991090903,Green
Lag-Llama,BTC,Contiguous,2697,1157,0,512,-0.0015552046059808726,0.03686595187484931,1157,5,0.00432152117545376,0.028661408519726355,0.834897807269137,0.08931029871759874,4.787836317968869,0.043440623160321934,0.0010086504822327572,0.09420779321988565,Green
Lag-Llama,BTC,Logarithmic,2697,1157,2,512,-0.0015552046059808726,0.03686595187484931,1155,5,0.004329004329004329,0.029044505731731316,0.8347562472185468,0.09033368176328979,4.764973540940641,0.043516238298948906,0.001008895389463471,0.09423663954969322,Green
Lag-Llama,BTC,Full proxy,2697,1157,514,512,-0.0015552046059808726,0.03686595187484931,643,3,0.004665629860031105,0.12901845884416255,0.8667118440386719,0.3115416908882072,2.304275103599089,0.0281691175665415,0.0010179334534312495,0.09323927402636951,Green
GJR-GARCH,BTC,Contiguous,2881,1235,0,250,0.3654403873852407,0.02507170271158031,1235,4,0.0032388663967611335,0.005407057340520289,0.871860502055599,0.02060936863430553,7.738002730976989,0.026016306019549518,0.0008592852552913726,0.07894505650357124,Green
GJR-GARCH,BTC,Logarithmic,2881,1235,9,250,0.3654403873852407,0.02507170271158031,1226,4,0.0032626427406199023,0.005786213146700561,0.8713932050459421,0.021906835543025326,7.615705058130123,0.0262080730865506,0.0008597245592266947,0.07885635611489329,Green
GJR-GARCH,BTC,Full proxy,2881,1235,259,250,0.3654403873852407,0.02507170271158031,976,3,0.0030737704918032786,0.010853768911438308,0.8917557681078968,0.03862671624630114,6.489103674460516,0.01851854791983243,0.000878628293959433,0.08006226590971781,Green
GJR-GARCH-t,BTC,Contiguous,2881,1235,0,250,0.44679740262892254,0.01733364807188921,1235,5,0.004048582995951417,0.01694641372174122,0.8401498967771958,0.05662530616141864,5.701914982003203,0.04068359473556882,0.0009028277811813907,0.08525854660055698,Green
GJR-GARCH-t,BTC,Logarithmic,2881,1235,11,250,0.44679740262892254,0.01733364807188921,1224,5,0.004084967320261438,0.018265983760450424,0.8394394752595628,0.060461139420740745,5.570457869478126,0.04105101841719261,0.0009024045147911027,0.08511050590496072,Green
GJR-GARCH-t,BTC,Full proxy,2881,1235,261,250,0.44679740262892254,0.01733364807188921,974,4,0.004106776180698152,0.03605445652761788,0.8557988607987981,0.10928725614387837,4.394527142009892,0.03302382959883232,0.0009191984871261151,0.08598166211760412,Green
GARCH-N,BTC,Contiguous,2881,1235,0,250,0.3511609803534542,0.026128660671875747,1235,3,0.0024291497975708503,0.0013440283815787065,0.9037523491385383,0.005811943448981595,10.28105825393104,0.01462227280075723,0.0008742122061343992,0.08013475957548301,Green
GARCH-N,BTC,Logarithmic,2881,1235,9,250,0.3511609803534542,0.026128660671875747,1226,3,0.0024469820554649264,0.0014476456339789436,0.9034002983157507,0.006223578122532337,10.14409058784927,0.014729965696446357,0.0008746588328325986,0.08004456721504097,Green
GARCH-N,BTC,Full proxy,2881,1235,259,250,0.3511609803534542,0.026128660671875747,976,3,0.0030737704918032786,0.010853768911438308,0.8917557681078968,0.03862671624630114,6.489103674460516,0.01851854791983243,0.0008996303300023865,0.08107368511808541,Green
Hist-Sim,BTC,Contiguous,2881,1235,0,250,0.11983994307720237,0.01278862557021071,1235,8,0.006477732793522267,0.18362657027456283,0.7466058006318333,0.3921089137728586,1.7680259644246448,0.10440530862558717,0.0008599610676727986,0.07369873980342614,Green
Hist-Sim,BTC,Logarithmic,2881,1235,5,250,0.11983994307720237,0.01278862557021071,1230,8,0.0065040650406504065,0.1880737148350281,0.7461053396356002,0.3990223203364394,1.732642991030592,0.10483285489753769,0.000859269588798419,0.07353399682329156,Green
Hist-Sim,BTC,Full proxy,2881,1235,255,250,0.11983994307720237,0.01278862557021071,980,7,0.007142857142857143,0.3434632268128829,0.750843133111011,0.6070507856301519,0.8974617328369163,0.10082391679505065,0.0008839735557804403,0.07429419228548617,Green
EWMA,BTC,Contiguous,2881,1235,0,600,0.414089981235812,0.031255280070011465,1235,3,0.0024291497975708503,0.0013440283815787065,0.9037523491385383,0.005811943448981595,10.28105825393104,0.01462227280075723,0.0009207674912012458,0.08510693008512013,Green
EWMA,BTC,Logarithmic,2881,1235,10,600,0.414089981235812,0.031255280070011465,1225,3,0.0024489795918367346,0.0014596313254902045,0.9033609426405136,0.006271015632414523,10.128891879653054,0.014742029574705384,0.0009218606599122067,0.08507596217526178,Green
EWMA,BTC,Full proxy,2881,1235,610,600,0.414089981235812,0.031255280070011465,625,2,0.0032,0.04627960463833947,0.9097057552803509,0.13640526038982592,3.9713881783197404,0.012861758497471953,0.0009176214577454974,0.08253335784091458,Green
Moirai-1.1,CBU0,Contiguous,2356,1010,0,512,0.27595387325061577,0.0017485311191558367,1010,5,0.0049504950495049506,0.07386406954046992,0.8234099063002225,0.19742486681729232,3.194993373727436,0.04980100266800491,0.0001592076763572924,0.014678149412188035,Green
Moirai-1.1,CBU0,Logarithmic,2356,1010,7,512,0.27595387325061577,0.0017485311191558367,1003,5,0.004985044865403789,0.07714670810663235,0.8228013185331076,0.20452185522105576,3.124010213850127,0.05015066157592685,0.00015925639321163663,0.014654813962187931,Green
Moirai-1.1,CBU0,Full proxy,2356,1010,519,512,0.27595387325061577,0.0017485311191558367,491,2,0.004073319755600814,0.13405738209479526,0.8981196454270575,0.32282777063500695,2.244879143122304,0.01639348851559319,0.0001342320915358896,0.012565625894302115,Green
Lag-Llama,CBU0,Contiguous,2356,1010,0,512,0.06136089019502464,0.0023487151044527532,1010,10,0.009900990099009901,0.9747302503771117,0.6545566015677375,0.9042915462726526,0.0010033836031890508,0.20020354368755022,0.0001553079526828479,0.013070609150500104,Green
Lag-Llama,CBU0,Logarithmic,2356,1010,4,512,0.06136089019502464,0.0023487151044527532,1006,10,0.009940357852882704,0.9848163316347003,0.6539081155549971,0.9042175498294952,0.0003621810520296753,0.20100840909969975,0.00015558052659197123,0.013072297651121025,Green
Lag-Llama,CBU0,Full proxy,2356,1010,516,512,0.06136089019502464,0.0023487151044527532,494,4,0.008097165991902834,0.6602353650364234,0.7980950668011645,0.8786759486197346,0.1932378142067679,0.06544040260148876,0.0001325736413642494,0.01103032174930025,Green
GJR-GARCH,CBU0,Contiguous,2539,1089,0,250,0.3174576186141115,0.0010147657816070698,1089,10,0.009182736455463728,0.7834383198789742,0.6666620985269827,0.877626193049653,0.07553763056566898,0.18553141791143446,0.000133300040577787,0.012256331569796785,Green
GJR-GARCH,CBU0,Logarithmic,2539,1089,8,250,0.3174576186141115,0.0010147657816070698,1081,10,0.009250693802035153,0.801997258793024,0.6654937028617738,0.8825848257661167,0.06288214095266675,0.18691860893855505,0.00013313340238917302,0.012242192020685098,Green
GJR-GARCH,CBU0,Full proxy,2539,1089,258,250,0.3174576186141115,0.0010147657816070698,831,9,0.010830324909747292,0.8123635706661962,0.65688932341768,0.8808778610038941,0.056348305598771686,0.19732429325901535,0.0001202318767232412,0.010801071622129114,Green
GJR-GARCH-t,CBU0,Contiguous,2539,1089,0,250,0.34723527585638475,0.0009858385455030934,1089,5,0.004591368227731864,0.04474963800144741,0.8298703101331666,0.13040515752099902,4.028049941739685,0.04616821572096086,0.00013650657646151505,0.012803691526113384,Green
GJR-GARCH-t,CBU0,Logarithmic,2539,1089,9,250,0.34723527585638475,0.0009858385455030934,1080,5,0.004629629629629629,0.047422811878040684,0.8291699060136827,0.13690891034391328,3.930323821587688,0.046555102993707465,0.00013638147858168696,0.012787789190894482,Green
GJR-GARCH-t,CBU0,Full proxy,2539,1089,259,250,0.34723527585638475,0.0009858385455030934,830,4,0.004819277108433735,0.09528301933389642,0.8438691921204642,0.24395270830476704,2.7827737510355552,0.03878803075892279,0.0001233982833015754,0.011408877837298794,Green
GARCH-N,CBU0,Contiguous,2539,1089,0,250,0.17546056879976835,0.0010085254312473665,1089,10,0.009182736455463728,0.7834383198789742,0.6666620985269827,0.877626193049653,0.07553763056566898,0.18553141791143446,0.000133095306018086,0.012273514468185082,Green
GARCH-N,CBU0,Logarithmic,2539,1089,5,250,0.17546056879976835,0.0010085254312473665,1084,10,0.00922509225092251,0.7950132621568681,0.6659332872360108,0.8807798005480053,0.06749926565314346,0.18639598816906755,0.00013303554821308844,0.012265936484368354,Green
GARCH-N,CBU0,Full proxy,2539,1089,255,250,0.17546056879976835,0.0010085254312473665,834,9,0.01079136690647482,0.8205895913018421,0.6574745676500005,0.8833630272783781,0.051432215948888915,0.19660585094737826,0.00012005547881999699,0.01085338518909335,Green
Hist-Sim,CBU0,Contiguous,2539,1089,0,250,0.345808123941649,0.0015421177875764793,1089,6,0.005509641873278237,0.10360719900599814,0.7964371534664778,0.2572177752795753,2.64912057743558,0.06654377911924314,0.00014510499906846602,0.013078165660559476,Green
Hist-Sim,CBU0,Logarithmic,2539,1089,9,250,0.345808123941649,0.0015421177875764793,1080,6,0.005555555555555556,0.10904023295711891,0.7956040615980436,0.267780061578947,2.568076668265469,0.06710193403846176,0.0001452802739790051,0.013087422536658549,Green
Hist-Sim,CBU0,Full proxy,2539,1089,259,250,0.345808123941649,0.0015421177875764793,830,4,0.004819277108433735,0.09528301933389642,0.8438691921204642,0.24395270830476704,2.7827737510355552,0.03878803075892279,0.00013659378276435484,0.012663520096161575,Green
EWMA,CBU0,Contiguous,2539,1089,0,600,0.4618986722708139,0.0009791190697737793,1089,13,0.011937557392102846,0.532906000485665,0.5749766664486975,0.7035356559237775,0.38884717159992466,0.3144262685924275,0.00013739331439441938,0.011589593594123338,Green
EWMA,CBU0,Logarithmic,2539,1089,12,600,0.4618986722708139,0.0009791190697737793,1077,13,0.012070566388115135,0.5083442802764659,0.5728265764464562,0.6854190598425295,0.4374737816633747,0.317975941494808,0.00013723377878759675,0.011564619096114977,Green
EWMA,CBU0,Full proxy,2539,1089,612,600,0.4618986722708139,0.0009791190697737793,477,4,0.008385744234800839,0.7155061304628383,0.7945711466687807,0.9045493989998955,0.1328393001673247,0.0677974217006252,0.00010009085110558932,0.008870812226392893,Green
Moirai-1.1,DJCI,Contiguous,1782,765,0,512,0.08588285603127184,0.006236567538119572,765,9,0.011764705882352941,0.6331982714358182,0.0029521271894870555,0.010756065752025614,0.22774857918593572,8.83682227589135,0.000398658060904859,0.030869313990780016,Green
Moirai-1.1,DJCI,Logarithmic,1782,765,4,512,0.08588285603127184,0.006236567538119572,761,9,0.011826544021024968,0.6225703684840513,0.002985205682957913,0.010787361902172747,0.24227141857696344,8.81648863003727,0.00039895726849165845,0.030842614891194116,Green
