target	kind	producer
sections_r8/numbers_windows	generated	../research/r8_window_sweep/displays.py
sections_r8/tab_windows_sweep	generated	../research/r8_window_sweep/displays.py
sections_r8/supp_finance	authored	sections_r8/supp_finance.tex
sections_r8/numbers_ten_benchmarks	generated	../research/r8_ten_benchmarks/displays.py
sections_r8/tab_ten_benchmarks	generated	../research/r8_ten_benchmarks/displays.py
sections_r8/numbers_es	generated	../research/r8_es_fz0/displays.py
sections_r8/tab_es	generated	../research/r8_es_fz0/displays.py
sections_r8/coverage	authored	sections_r8/coverage.tex
sections_r8/tab_ten_strong_complete	generated	editorial/render_tables.py
sections_r8/tab_controlled_dimensions	generated	editorial/render_tables.py
sections_r9/appendix	authored	sections_r9/appendix.tex
sections_r9/contiguous_coverage	authored	sections_r9/contiguous_coverage.tex
sections_r9/contiguous_proof	authored	sections_r9/contiguous_proof.tex
sections_r9/coverage	authored	sections_r9/coverage.tex
sections_r9/deployment	authored	sections_r9/deployment.tex
sections_r9/discussion	authored	sections_r9/discussion.tex
sections_r9/external	authored	sections_r9/external.tex
sections_r9/information	authored	sections_r9/information.tex
sections_r9/information_proof	authored	sections_r9/information_proof.tex
sections_r9/introduction	authored	sections_r9/introduction.tex
sections_r9/methodology	authored	sections_r9/methodology.tex
sections_r9/montecarlo	authored	sections_r9/montecarlo.tex
sections_r9/optimism_proof	authored	sections_r9/optimism_proof.tex
sections_r9/proofs	authored	sections_r9/proofs.tex
sections_r9/regime	authored	sections_r9/regime.tex
sections_r9/results	authored	sections_r9/results.tex
sections_r9/risk	authored	sections_r9/risk.tex
sections_r9/risk_proofs	authored	sections_r9/risk_proofs.tex
sections_r9/shape_cost	authored	sections_r9/shape_cost.tex
sections_r9/shape_design	authored	sections_r9/shape_design.tex
sections_r9/shape_proof	authored	sections_r9/shape_proof.tex
sections_r9/supp_coverage	authored	sections_r9/supp_coverage.tex
sections_r9/supp_external2	authored	sections_r9/supp_external2.tex
sections_r9/supp_finance	authored	sections_r9/supp_finance.tex
sections_r9/supp_optimism	authored	sections_r9/supp_optimism.tex
sections_r9/supp_partial	authored	sections_r9/supp_partial.tex
sections_r9/supp_power	authored	sections_r9/supp_power.tex
sections_r9/supp_regime	authored	sections_r9/supp_regime.tex
sections_r9/supp_sensitivities	authored	sections_r9/supp_sensitivities.tex
sections_r9/supp_specs	authored	sections_r9/supp_specs.tex
sections_r9/theory	authored	sections_r9/theory.tex
sections_r8/numbers_es975	generated	../research/r9_es975/displays.py
sections_r8/tab_es975	generated	../research/r9_es975/displays.py
sections_r8/numbers_primary	generated	../research/r9_primary_figure/displays.py
