model,asset,method,law,n_test,qV,VaR1_mean,ES975_mean,zone,multiplier,component,multiplier_hi,component_hi
EWMA,AUDUSD,Static,normal,1430,0.002621876015672755,0.017019107623946955,0.01708999947621543,Green,1.5,0.025634999214323145,1.5,0.025634999214323145
Moirai-1.1,BOVESPA,Raw,draws,1829,0.0034528117841090243,0.034621430564088215,0.03857121840614302,Yellow,1.7,0.06557107129044314,1.92,0.07405673933979459
Moirai-1.1,BOVESPA,Static,draws,1829,0.0034528117841090243,0.038074242348197236,0.04202403019025204,Green,1.5,0.06303604528537807,1.5,0.06303604528537807
Lag-Llama,BOVESPA,Raw,draws,1829,0.011544224795620783,0.028970320844445365,0.032698369125823884,Red,2.0,0.06539673825164777,2.0,0.06539673825164777
Lag-Llama,BOVESPA,Static,draws,1829,0.011544224795620783,0.040514545640066145,0.04424259392144467,Green,1.5,0.066363890882167,1.5,0.066363890882167
GJR-GARCH,BOVESPA,Raw,normal,1829,0.00463888376866866,0.028909845602582772,0.029054675193516635,Yellow,1.7,0.04939294782897828,1.92,0.055784976371551935
GJR-GARCH,BOVESPA,Static,normal,1829,0.00463888376866866,0.03354872937125143,0.033693558962185295,Green,1.5,0.050540338443277946,1.5,0.050540338443277946
GJR-GARCH-t,BOVESPA,Raw,student,1829,0.002973458626881989,0.030075925218764486,0.030651615689215362,Yellow,1.7,0.052107746671666115,1.92,0.058851102123293496
GJR-GARCH-t,BOVESPA,Static,student,1829,0.002973458626881989,0.03304938384564648,0.033625074316097354,Green,1.5,0.050437611474146035,1.5,0.050437611474146035
GARCH-N,BOVESPA,Raw,normal,1829,0.004678515002263531,0.028835557174805317,0.02898079010972364,Yellow,1.7,0.049267343186530185,1.92,0.05564311701066939
GARCH-N,BOVESPA,Static,normal,1829,0.004678515002263531,0.03351407217706885,0.03365930511198717,Green,1.5,0.050488957667980755,1.5,0.050488957667980755
Hist-Sim,BOVESPA,Raw,window,1829,0.003487835575226368,0.040718548109994576,0.04116890292918044,Green,1.5,0.061753354393770665,1.5,0.061753354393770665
Hist-Sim,BOVESPA,Static,window,1829,0.003487835575226368,0.044206383685220944,0.04465673850440682,Green,1.5,0.06698510775661023,1.5,0.06698510775661023
EWMA,BOVESPA,Raw,normal,1829,0.0033029658715502883,0.02929156605085888,0.029435797485740874,Yellow,1.7,0.05004085572575948,1.92,0.05651673117262248
EWMA,BOVESPA,Static,normal,1829,0.0033029658715502883,0.03259453192240917,0.032738763357291166,Green,1.5,0.049108145035936746,1.5,0.049108145035936746
Moirai-1.1,BTC,Raw,draws,1157,0.022615959169785052,0.05807224241997355,0.06407749582284879,Red,2.0,0.12815499164569757,2.0,0.12815499164569757
Moirai-1.1,BTC,Static,draws,1157,0.022615959169785052,0.08068820158975859,0.08669345499263384,Green,1.5,0.13004018248895077,1.5,0.13004018248895077
Lag-Llama,BTC,Raw,draws,1157,0.03686595187484931,0.05734184134503635,0.06648143548296254,Red,2.0,0.13296287096592507,2.0,0.13296287096592507
Lag-Llama,BTC,Static,draws,1157,0.03686595187484931,0.09420779321988565,0.10334738735781185,Green,1.5,0.15502108103671777,1.5,0.15502108103671777
GJR-GARCH,BTC,Raw,normal,1157,0.02438574718451586,0.05364889238217529,0.053917547732383116,Red,2.0,0.10783509546476623,2.0,0.10783509546476623
GJR-GARCH,BTC,Static,normal,1157,0.02438574718451586,0.07803463956669116,0.07830329491689897,Green,1.5,0.11745494237534845,1.5,0.11745494237534845
GJR-GARCH-t,BTC,Raw,student,1157,0.01656075204089323,0.06758239376303442,0.073929377736644,Green,1.5,0.11089406660496601,1.5,0.11089406660496601
GJR-GARCH-t,BTC,Static,student,1157,0.01656075204089323,0.08414314580392765,0.09049012977753722,Green,1.5,0.13573519466630582,1.5,0.13573519466630582
GARCH-N,BTC,Raw,normal,1157,0.025419725136944446,0.05380034916665657,0.05407090346022513,Red,2.0,0.10814180692045026,2.0,0.10814180692045026
GARCH-N,BTC,Static,normal,1157,0.025419725136944446,0.07922007430360102,0.07949062859716957,Green,1.5,0.11923594289575436,1.5,0.11923594289575436
Hist-Sim,BTC,Raw,window,1157,0.009930128792116966,0.06012213037229675,0.06501593190550183,Green,1.5,0.09752389785825274,1.5,0.09752389785825274
Hist-Sim,BTC,Static,window,1157,0.009930128792116966,0.07005225916441371,0.07494606069761882,Green,1.5,0.11241909104642822,1.5,0.11241909104642822
EWMA,BTC,Raw,normal,1157,0.031255280070011465,0.05401370526347577,0.05427966831235877,Yellow,1.7,0.0922754361310099,1.92,0.10421696315972882
EWMA,BTC,Static,normal,1157,0.031255280070011465,0.08526898533348723,0.08553494838237023,Green,1.5,0.12830242257355534,1.5,0.12830242257355534
Moirai-1.1,CBU0,Raw,draws,1010,0.0017485311191558367,0.012929618293032198,0.014073140045664836,Green,1.5,0.021109710068497253,1.5,0.021109710068497253
Moirai-1.1,CBU0,Static,draws,1010,0.0017485311191558367,0.014678149412188035,0.015821671164820673,Green,1.5,0.02373250674723101,1.5,0.02373250674723101
Lag-Llama,CBU0,Raw,draws,1010,0.0023487151044527532,0.010721894046047351,0.01220643241011012,Red,2.0,0.02441286482022024,2.0,0.02441286482022024
Lag-Llama,CBU0,Static,draws,1010,0.0023487151044527532,0.013070609150500104,0.014555147514562874,Green,1.5,0.02183272127184431,1.5,0.02183272127184431
GJR-GARCH,CBU0,Raw,normal,1010,0.0009797167868971536,0.010951167965194152,0.011005033687383647,Green,1.5,0.01650755053107547,1.5,0.01650755053107547
GJR-GARCH,CBU0,Static,normal,1010,0.0009797167868971536,0.011930884752091305,0.011984750474280801,Green,1.5,0.017977125711421203,1.5,0.017977125711421203
GJR-GARCH-t,CBU0,Raw,student,1010,0.0009689526970720229,0.011527869355063945,0.011731695633060335,Green,1.5,0.017597543449590504,1.5,0.017597543449590504
GJR-GARCH-t,CBU0,Static,student,1010,0.0009689526970720229,0.012496822052135967,0.012700648330132357,Green,1.5,0.019050972495198534,1.5,0.019050972495198534
GARCH-N,CBU0,Raw,normal,1010,0.0008719025978752119,0.010986923055124396,0.0110408167258506,Green,1.5,0.016561225088775902,1.5,0.016561225088775902
GARCH-N,CBU0,Static,normal,1010,0.0008719025978752119,0.011858825652999606,0.01191271932372581,Green,1.5,0.017869078985588715,1.5,0.017869078985588715
Hist-Sim,CBU0,Raw,window,1010,0.0015942762732092499,0.011548135837281058,0.011861787371620377,Green,1.5,0.017792681057430565,1.5,0.017792681057430565
Hist-Sim,CBU0,Static,window,1010,0.0015942762732092499,0.013142412110490312,0.01345606364482963,Green,1.5,0.020184095467244444,1.5,0.020184095467244444
EWMA,CBU0,Raw,normal,1010,0.000953552217514495,0.010287695979319878,0.010338352511311056,Yellow,1.7,0.017575199269228795,1.92,0.019849636821717226
EWMA,CBU0,Static,normal,1010,0.000953552217514495,0.011241248196834374,0.01129190472882555,Green,1.5,0.016937857093238327,1.5,0.016937857093238327
Moirai-1.1,DJCI,Raw,draws,765,0.006236567538119572,0.02463274645266044,0.02743197026731921,Green,1.5,0.04114795540097881,1.5,0.04114795540097881
Moirai-1.1,DJCI,Static,draws,765,0.006236567538119572,0.030869313990780016,0.033668537805438783,Green,1.5,0.050502806708158175,1.5,0.050502806708158175
Lag-Llama,DJCI,Raw,draws,765,0.01148957549145414,0.020194303551786186,0.022259429031313442,Red,2.0,0.044518858062626884,2.0,0.044518858062626884
Lag-Llama,DJCI,Static,draws,765,0.01148957549145414,0.03168387904324032,0.03374900452276758,Green,1.5,0.05062350678415137,1.5,0.05062350678415137
GJR-GARCH,DJCI,Raw,normal,765,0.005790209629512627,0.019130359390041176,0.01922603110391181,Yellow,1.7,0.032684252876650076,1.92,0.03691397971951067
GJR-GARCH,DJCI,Static,normal,765,0.005790209629512627,0.0249205690195538,0.025016240733424438,Green,1.5,0.037524361100136655,1.5,0.037524361100136655
GJR-GARCH-t,DJCI,Raw,student,765,0.004358149306233308,0.02011397098955411,0.020501854832917266,Yellow,1.7,0.03485315321595935,1.92,0.03936356127920115
GJR-GARCH-t,DJCI,Static,student,765,0.004358149306233308,0.02447212029578742,0.024860004139150575,Green,1.5,0.037290006208725864,1.5,0.037290006208725864
GARCH-N,DJCI,Raw,normal,765,0.005590566164652259,0.019827615645568064,0.019926762887599307,Yellow,1.7,0.03387549690891882,1.92,0.03825938474419067
GARCH-N,DJCI,Static,normal,765,0.005590566164652259,0.025418181810220323,0.025517329052251566,Green,1.5,0.03827599357837735,1.5,0.03827599357837735
Hist-Sim,DJCI,Raw,window,765,0.0023462858191845206,0.0228875440321462,0.02419341348324032,Green,1.5,0.03629012022486048,1.5,0.03629012022486048
Hist-Sim,DJCI,Static,window,765,0.0023462858191845206,0.025233829851330724,0.02653969930242484,Green,1.5,0.03980954895363726,1.5,0.03980954895363726
EWMA,DJCI,Raw,normal,765,0.004670991584510686,0.020122763587042146,0.020221847912574992,Yellow,1.7,0.034377141451377484,1.92,0.038825947992143985
EWMA,DJCI,Static,normal,765,0.004670991584510686,0.024793755171552835,0.024892839497085678,Green,1.5,0.03733925924562852,1.5,0.03733925924562852
Moirai-1.1,ETH,Raw,draws,812,0.015849058234102834,0.08633602422772185,0.09477482940341013,Yellow,1.7,0.1611172099857972,1.92,0.18196767245454745
Moirai-1.1,ETH,Static,draws,812,0.015849058234102834,0.1021850824618247,0.11062388763751295,Green,1.5,0.16593583145626942,1.5,0.16593583145626942
Lag-Llama,ETH,Raw,draws,812,0.04453995647374273,0.08136083768371015,0.09301038225754876,Red,2.0,0.18602076451509753,2.0,0.18602076451509753
Lag-Llama,ETH,Static,draws,812,0.04453995647374273,0.1259007941574529,0.1375503387312915,Green,1.5,0.20632550809693723,1.5,0.20632550809693723
GJR-GARCH,ETH,Raw,normal,812,0.023798624918001457,0.0838491832756443,0.08426377427895344,Yellow,1.7,0.14324841627422086,1.92,0.1617864466155906
GJR-GARCH,ETH,Static,normal,812,0.023798624918001457,0.10764780819364576,0.10806239919695489,Green,1.5,0.16209359879543234,1.5,0.16209359879543234
GJR-GARCH-t,ETH,Raw,student,812,0.001699754749949517,0.10040940629544158,0.1083801473536011,Green,1.5,0.16257022103040164,1.5,0.16257022103040164
GJR-GARCH-t,ETH,Static,student,812,0.001699754749949517,0.10210916104539113,0.11007990210355059,Green,1.5,0.1651198531553259,1.5,0.1651198531553259
GARCH-N,ETH,Raw,normal,812,0.033337430460484874,0.0830607789549473,0.08347325482876247,Yellow,1.7,0.1419045332088962,1.92,0.16026864927122395
GARCH-N,ETH,Static,normal,812,0.033337430460484874,0.11639820941543219,0.11681068528924733,Green,1.5,0.175216027933871,1.5,0.175216027933871
Hist-Sim,ETH,Raw,window,812,0.012226974320976802,0.0921316036380168,0.10012764225284103,Yellow,1.7,0.17021699182982974,1.92,0.19224507312545477
Hist-Sim,ETH,Static,window,812,0.012226974320976802,0.10435857795899361,0.11235461657381783,Green,1.5,0.16853192486072674,1.5,0.16853192486072674
EWMA,ETH,Raw,normal,812,0.025180158822611,0.08130874476165946,0.08170910836478895,Yellow,1.7,0.1389054842201412,1.92,0.15688148806039479
EWMA,ETH,Static,normal,812,0.025180158822611,0.10648890358427048,0.10688926718739997,Green,1.5,0.16033390078109994,1.5,0.16033390078109994
Moirai-1.1,EURUSD,Raw,draws,1617,9.055353342029421e-05,0.012779024235717607,0.014128077430322296,Green,1.5,0.021192116145483445,1.5,0.021192116145483445
Moirai-1.1,EURUSD,Static,draws,1617,9.055353342029421e-05,0.012869577769137901,0.014218630963742592,Green,1.5,0.021327946445613886,1.5,0.021327946445613886
Lag-Llama,EURUSD,Raw,draws,1617,0.003313760396643108,0.010374339054044607,0.011783875410255544,Red,2.0,0.023567750820511088,2.0,0.023567750820511088
Lag-Llama,EURUSD,Static,draws,1617,0.003313760396643108,0.013688099450687717,0.015097635806898652,Green,1.5,0.02264645371034798,1.5,0.02264645371034798
GJR-GARCH,EURUSD,Raw,normal,1617,0.0011376805799971444,0.010407840074589093,0.010459095754620396,Yellow,1.7,0.01778046278285467,1.92,0.020081463848871158
GJR-GARCH,EURUSD,Static,normal,1617,0.0011376805799971444,0.011545520654586236,0.011596776334617542,Green,1.5,0.01739516450192631,1.5,0.01739516450192631
GJR-GARCH-t,EURUSD,Raw,student,1617,0.0005758082990429004,0.01116926318643067,0.011439951291971433,Green,1.5,0.01715992693795715,1.5,0.01715992693795715
GJR-GARCH-t,EURUSD,Static,student,1617,0.0005758082990429004,0.01174507148547357,0.012015759591014332,Green,1.5,0.018023639386521496,1.5,0.018023639386521496
GARCH-N,EURUSD,Raw,normal,1617,0.001178861966459454,0.01053157857338077,0.010583419511612844,Green,1.5,0.015875129267419266,1.5,0.015875129267419266
GARCH-N,EURUSD,Static,normal,1617,0.001178861966459454,0.011710440539840224,0.011762281478072298,Green,1.5,0.017643422217108448,1.5,0.017643422217108448
Hist-Sim,EURUSD,Raw,window,1617,0.0020480026079692567,0.01105706988161589,0.011716716019209731,Green,1.5,0.017575074028814596,1.5,0.017575074028814596
Hist-Sim,EURUSD,Static,window,1617,0.0020480026079692567,0.013105072489585149,0.01376471862717899,Green,1.5,0.020647077940768484,1.5,0.020647077940768484
EWMA,EURUSD,Raw,normal,1617,0.001161688375266607,0.010249920393349866,0.010300390918660534,Yellow,1.7,0.017510664561722906,1.92,0.019776750563828226
EWMA,EURUSD,Static,normal,1617,0.001161688375266607,0.011411608768616471,0.011462079293927141,Green,1.5,0.017193118940890713,1.5,0.017193118940890713
Moirai-1.1,FCHI,Raw,draws,1891,0.0026687430785957283,0.029889231083101025,0.03373759991072201,Yellow,1.7,0.057353919848227415,1.92,0.06477619182858627
Moirai-1.1,FCHI,Static,draws,1891,0.0026687430785957283,0.03255797416169675,0.03640634298931774,Green,1.5,0.05460951448397661,1.5,0.05460951448397661
Lag-Llama,FCHI,Raw,draws,1891,0.011473754550927237,0.024632858860078412,0.028152015591823332,Red,2.0,0.056304031183646665,2.0,0.056304031183646665
Lag-Llama,FCHI,Static,draws,1891,0.011473754550927237,0.03610661341100565,0.03962577014275057,Green,1.5,0.05943865521412586,1.5,0.05943865521412586
GJR-GARCH,FCHI,Raw,normal,1891,0.0037917885938070217,0.024338973785269592,0.024460607414913623,Red,2.0,0.048921214829827246,2.0,0.048921214829827246
GJR-GARCH,FCHI,Static,normal,1891,0.0037917885938070217,0.028130762379076614,0.028252396008720638,Yellow,1.7,0.04802907321482508,1.92,0.05424460033674362
GJR-GARCH-t,FCHI,Raw,student,1891,0.003367686494404269,0.027169261881006067,0.028395041162069836,Yellow,1.7,0.04827156997551872,1.92,0.054518479031174086
GJR-GARCH-t,FCHI,Static,student,1891,0.003367686494404269,0.030536948375410336,0.03176272765647411,Green,1.5,0.04764409148471116,1.5,0.04764409148471116
GARCH-N,FCHI,Raw,normal,1891,0.004444379891923238,0.02410390282697908,0.024225826913667627,Red,2.0,0.04845165382733525,2.0,0.04845165382733525
GARCH-N,FCHI,Static,normal,1891,0.004444379891923238,0.028548282718902317,0.02867020680559086,Yellow,1.7,0.048739351569504465,1.92,0.05504679706673445
Hist-Sim,FCHI,Raw,window,1891,0.0034909479247534694,0.03210040176848638,0.034823185745542516,Yellow,1.7,0.05919941576742228,1.92,0.06686051663144163
Hist-Sim,FCHI,Static,window,1891,0.0034909479247534694,0.03559134969323985,0.03831413367029598,Green,1.5,0.057471200505443965,1.5,0.057471200505443965
EWMA,FCHI,Raw,normal,1891,0.004045214724465257,0.024647370770199392,0.024768734224993233,Red,2.0,0.049537468449986466,2.0,0.049537468449986466
EWMA,FCHI,Static,normal,1891,0.004045214724465257,0.02869258549466465,0.02881394894945849,Yellow,1.7,0.04898371321407943,1.92,0.0553227819829603
Moirai-1.1,FTSE100,Raw,draws,1867,0.0026007913080551767,0.024783812764354634,0.028043350012026163,Yellow,1.7,0.047673695020444475,1.92,0.05384323202309023
Moirai-1.1,FTSE100,Static,draws,1867,0.0026007913080551767,0.027384604072409814,0.03064414132008134,Green,1.5,0.04596621198012201,1.5,0.04596621198012201
Lag-Llama,FTSE100,Raw,draws,1867,0.007335534961002081,0.02042112222991646,0.023279807951508854,Red,2.0,0.04655961590301771,2.0,0.04655961590301771
Lag-Llama,FTSE100,Static,draws,1867,0.007335534961002081,0.027756657190918545,0.03061534291251093,Green,1.5,0.0459230143687664,1.5,0.0459230143687664
GJR-GARCH,FTSE100,Raw,normal,1867,0.0041582940495613445,0.0196695364066568,0.01976760799180289,Red,2.0,0.03953521598360578,2.0,0.03953521598360578
GJR-GARCH,FTSE100,Static,normal,1867,0.0041582940495613445,0.02382783045621814,0.023925902041364237,Green,1.5,0.03588885306204635,1.5,0.03588885306204635
GJR-GARCH-t,FTSE100,Raw,student,1867,0.003231881794197875,0.021649887726664062,0.02248808227117396,Yellow,1.7,0.03822973986099573,1.92,0.043177117960654
GJR-GARCH-t,FTSE100,Static,student,1867,0.003231881794197875,0.024881769520861942,0.025719964065371834,Green,1.5,0.03857994609805775,1.5,0.03857994609805775
GARCH-N,FTSE100,Raw,normal,1867,0.004564949567890915,0.019835988011908327,0.01993592562527466,Red,2.0,0.03987185125054932,2.0,0.03987185125054932
GARCH-N,FTSE100,Static,normal,1867,0.004564949567890915,0.024400937579799244,0.024500875193165576,Green,1.5,0.036751312789748365,1.5,0.036751312789748365
Hist-Sim,FTSE100,Raw,window,1867,0.0035712851660659843,0.026250615428953263,0.02962881614472463,Yellow,1.7,0.05036898744603187,1.92,0.05688732699787129
Hist-Sim,FTSE100,Static,window,1867,0.0035712851660659843,0.029821900595019248,0.03320010131079062,Green,1.5,0.049800151966185924,1.5,0.049800151966185924
EWMA,FTSE100,Raw,normal,1867,0.00422610796102995,0.020371886845391717,0.020472197851838507,Red,2.0,0.040944395703677014,2.0,0.040944395703677014
EWMA,FTSE100,Static,normal,1867,0.00422610796102995,0.024597994806421664,0.024698305812868457,Yellow,1.7,0.041987119881876374,1.92,0.04742074716070743
Moirai-1.1,GBPUSD,Raw,draws,1621,0.0004990875901830939,0.014940556009313844,0.016785116300439575,Green,1.5,0.02517767445065936,1.5,0.02517767445065936
Moirai-1.1,GBPUSD,Static,draws,1621,0.0004990875901830939,0.015439643599496936,0.017284203890622667,Green,1.5,0.025926305835934,1.5,0.025926305835934
Lag-Llama,GBPUSD,Raw,draws,1621,0.0038322324321658306,0.01205561885187077,0.013635091885923187,Red,2.0,0.027270183771846375,2.0,0.027270183771846375
Lag-Llama,GBPUSD,Static,draws,1621,0.0038322324321658306,0.0158878512840366,0.01746732431808902,Green,1.5,0.02620098647713353,1.5,0.02620098647713353
GJR-GARCH,GBPUSD,Raw,normal,1621,0.0022003397038179683,0.01173209661333158,0.011789861340581239,Red,2.0,0.023579722681162478,2.0,0.023579722681162478
GJR-GARCH,GBPUSD,Static,normal,1621,0.0022003397038179683,0.01393243631714955,0.013990201044399207,Green,1.5,0.02098530156659881,1.5,0.02098530156659881
GJR-GARCH-t,GBPUSD,Raw,student,1621,0.0013689089721948067,0.012476990617043479,0.01277121892006175,Yellow,1.7,0.021711072164104974,1.92,0.024520740326518558
GJR-GARCH-t,GBPUSD,Static,student,1621,0.0013689089721948067,0.013845899589238287,0.014140127892256556,Green,1.5,0.021210191838384834,1.5,0.021210191838384834
GARCH-N,GBPUSD,Raw,normal,1621,0.0024262253935986074,0.011813264842925055,0.011871753291425705,Red,2.0,0.02374350658285141,2.0,0.02374350658285141
GARCH-N,GBPUSD,Static,normal,1621,0.0024262253935986074,0.014239490236523664,0.014297978685024311,Green,1.5,0.021446968027536466,1.5,0.021446968027536466
Hist-Sim,GBPUSD,Raw,window,1621,0.001553736925067592,0.012924137659992608,0.014328207910805562,Yellow,1.7,0.024357953448369454,1.92,0.027510159188746677
Hist-Sim,GBPUSD,Static,window,1621,0.001553736925067592,0.014477874585060198,0.015881944835873154,Green,1.5,0.02382291725380973,1.5,0.02382291725380973
EWMA,GBPUSD,Raw,normal,1621,0.0022484531674269222,0.011589119049637437,0.01164618377832573,Yellow,1.7,0.01979851242315374,1.92,0.0223606728543854
EWMA,GBPUSD,Static,normal,1621,0.0022484531674269222,0.013837572217064359,0.01389463694575265,Green,1.5,0.020841955418628974,1.5,0.020841955418628974
Moirai-1.1,GDAXI,Raw,draws,1878,0.0026189098706347457,0.029867933924300982,0.03372417340299097,Yellow,1.7,0.05733109478508465,1.92,0.06475041293374266
Moirai-1.1,GDAXI,Static,draws,1878,0.0026189098706347457,0.03248684379493573,0.03634308327362572,Green,1.5,0.054514624910438576,1.5,0.054514624910438576
Lag-Llama,GDAXI,Raw,draws,1878,0.011119647333617318,0.025474469223219894,0.02912149870100692,Red,2.0,0.05824299740201384,2.0,0.05824299740201384
Lag-Llama,GDAXI,Static,draws,1878,0.011119647333617318,0.03659411655683721,0.04024114603462423,Green,1.5,0.06036171905193635,1.5,0.06036171905193635
GJR-GARCH,GDAXI,Raw,normal,1878,0.0040148606040901445,0.025203307113903832,0.02532938706675227,Red,2.0,0.05065877413350454,2.0,0.05065877413350454
GJR-GARCH,GDAXI,Static,normal,1878,0.0040148606040901445,0.02921816771799398,0.029344247670842413,Yellow,1.7,0.0498852210404321,1.92,0.05634095552801743
GJR-GARCH-t,GDAXI,Raw,student,1878,0.0023315191430670033,0.02812340765509556,0.02944804684306053,Yellow,1.7,0.0500616796332029,1.92,0.056540249938676214
GJR-GARCH-t,GDAXI,Static,student,1878,0.0023315191430670033,0.030454926798162568,0.031779565986127536,Yellow,1.7,0.05402526217641681,1.92,0.061016766693364866
GARCH-N,GDAXI,Raw,normal,1878,0.004617603470004564,0.02517718164067971,0.025304596833835374,Red,2.0,0.05060919366767075,2.0,0.05060919366767075
GARCH-N,GDAXI,Static,normal,1878,0.004617603470004564,0.02979478511068427,0.02992220030383994,Yellow,1.7,0.05086774051652789,1.92,0.05745062458337268
Hist-Sim,GDAXI,Raw,window,1878,0.002626482766103805,0.03268572665592927,0.03509247460751708,Yellow,1.7,0.05965720683277903,1.92,0.06737755124643278
Hist-Sim,GDAXI,Static,window,1878,0.002626482766103805,0.035312209422033065,0.03771895737362088,Green,1.5,0.05657843606043132,1.5,0.05657843606043132
EWMA,GDAXI,Raw,normal,1878,0.004016338491091811,0.025545555590415395,0.025671341700016566,Red,2.0,0.05134268340003313,2.0,0.05134268340003313
EWMA,GDAXI,Static,normal,1878,0.004016338491091811,0.029561894081507202,0.029687680191108377,Yellow,1.7,0.050469056324884236,1.92,0.05700034596692808
Moirai-1.1,GLD,Raw,draws,1490,0.0035025168441501133,0.027483980572488683,0.03063529956000763,Yellow,1.7,0.05208000925201297,1.92,0.058819775155214644
Moirai-1.1,GLD,Static,draws,1490,0.0035025168441501133,0.030986497416638798,0.03413781640415775,Green,1.5,0.051206724606236625,1.5,0.051206724606236625
Lag-Llama,GLD,Raw,draws,1490,0.008594590549568966,0.023352640792908733,0.026778619075106497,Red,2.0,0.053557238150212995,2.0,0.053557238150212995
Lag-Llama,GLD,Static,draws,1490,0.008594590549568966,0.0319472313424777,0.03537320962467547,Yellow,1.7,0.060134456361948294,1.92,0.0679165624793769
GJR-GARCH,GLD,Raw,normal,1490,0.004357036505982983,0.02354629018138072,0.023665815259219927,Red,2.0,0.04733163051843985,2.0,0.04733163051843985
GJR-GARCH,GLD,Static,normal,1490,0.004357036505982983,0.0279033266873637,0.028022851765202913,Green,1.5,0.04203427764780437,1.5,0.04203427764780437
