model,asset,alpha,n11_static,n_viol_static,p_ind_static,p_joint_static,p_ind_roll,p_ind_raw
Chronos-Small,BTC,0.01,0,1,,,,0.3812428420326881
Chronos-Small,ETH,0.01,0,3,,,0.11527654708886326,0.9678586589057332
Chronos-Small,EURUSD,0.01,0,4,,,,0.047920426733504495
Chronos-Small,GBPUSD,0.01,0,9,,,0.11097855516028443,0.8246664622395341
Chronos-Small,USDJPY,0.01,0,14,,,,0.7132049934675174
Chronos-Small,AUDUSD,0.01,0,1,,,,0.06200916012312496
Chronos-Mini,SP500,0.01,1,18,0.16943941495496784,0.388465893894412,0.003056941513390865,0.6366876245305474
Chronos-Mini,STOXX,0.01,1,7,0.022758640584019774,0.005147687875765472,6.27150657006581e-06,0.31735381527373197
Chronos-Mini,GDAXI,0.01,0,9,,,2.00660062331659e-05,0.5126339389311045
Chronos-Mini,FCHI,0.01,2,16,0.006422791194671151,0.020223600650496,1.1891078486203632e-05,0.028314028994417706
Chronos-Mini,FTSE100,0.01,3,21,0.0012666938633518754,0.004594770574524842,0.00020512412883189057,0.6193520121569615
Chronos-Mini,ICLN,0.01,0,8,,,,0.02814050978235294
Chronos-Mini,NIKKEI,0.01,2,15,0.005299278223623749,0.016413765687291693,0.002766792967124565,0.20544150197190103
Chronos-Mini,HSI,0.01,2,13,0.002727558684295639,0.005391892002048038,0.006980676038358058,0.45757615511584926
Chronos-Mini,BOVESPA,0.01,1,8,0.02562731301681953,0.0024848868508681177,0.09647409824295161,0.17471104952919858
Chronos-Mini,NIFTY,0.01,0,5,,,,0.14030738971672285
Chronos-Mini,ASX200,0.01,2,19,0.014120488067457804,0.0486194992472877,0.0004553774515693165,0.04737582970388288
Chronos-Mini,CBU0,0.01,0,29,,,,0.7654097099516954
Chronos-Mini,TLT,0.01,2,32,0.1561171437540576,0.0009502005566414118,0.0022828375568111348,0.6608481796912601
Chronos-Mini,IBGL,0.01,0,11,,,,0.17567029537552747
Chronos-Mini,DJCI,0.01,1,19,0.5429508517037069,0.0006205807516517226,0.16072047538100387,0.7652958186979476
Chronos-Mini,GOLD,0.01,1,14,0.09795517690166289,0.1669495771112519,0.2755716418717843,0.0014878777644556918
Chronos-Mini,WTI,0.01,6,42,0.00034113659551615605,8.798389350417324e-09,0.005299278223623749,0.82375471353604
Chronos-Mini,NATGAS,0.01,3,48,0.18715995435597643,7.543966118461753e-09,,0.07971649166923722
Chronos-Mini,BTC,0.01,0,1,,,,0.11868352376088509
Chronos-Mini,ETH,0.01,0,3,,,0.11527654708886326,0.1998146243989617
Chronos-Mini,EURUSD,0.01,0,4,,,,0.644537193659513
Chronos-Mini,GBPUSD,0.01,0,8,,,0.1303082811025149,0.6876909178520513
Chronos-Mini,USDJPY,0.01,0,16,,,,0.4302455377414063
Chronos-Mini,AUDUSD,0.01,0,1,,,,0.0016413403561580386
TimesFM-2.5,SP500,0.01,1,6,0.012560531032555389,0.00016243483462774488,6.446121346037614e-06,
TimesFM-2.5,STOXX,0.01,0,0,,,0.0007087921415949161,
TimesFM-2.5,GDAXI,0.01,2,5,2.391156221781543e-05,1.2672922777845486e-07,1.0687983831303427e-09,
TimesFM-2.5,FCHI,0.01,3,8,1.3060004174780815e-06,1.7387504636090512e-07,2.893199280151748e-08,
TimesFM-2.5,FTSE100,0.01,2,7,0.00013621871066438196,6.764927398150711e-06,1.434318552817615e-09,
TimesFM-2.5,ICLN,0.01,0,4,,,,0.12966060085324438
TimesFM-2.5,NIKKEI,0.01,0,4,,,1.3534327457653816e-06,0.19796715899721862
TimesFM-2.5,HSI,0.01,0,2,,,0.0007105261303109733,0.22069260436938898
TimesFM-2.5,BOVESPA,0.01,4,11,1.1836322000302602e-07,1.6840978400711748e-07,0.15138929212971974,
TimesFM-2.5,NIFTY,0.01,0,2,,,,0.15077042184799128
TimesFM-2.5,ASX200,0.01,4,14,1.1778121837835442e-06,4.248342672985572e-06,4.56730399833738e-07,
TimesFM-2.5,CBU0,0.01,12,73,0.007438621307520932,0.0,,0.08703327203810551
TimesFM-2.5,TLT,0.01,8,48,4.747925177150947e-05,3.405054016525355e-13,0.006311586728270369,0.07484198109765883
TimesFM-2.5,IBGL,0.01,6,36,0.00042225945683305177,4.6565096223361024e-10,,
TimesFM-2.5,DJCI,0.01,8,22,3.9533832318916495e-08,7.645883925988528e-12,0.23671453305479784,
TimesFM-2.5,GOLD,0.01,1,7,0.018871545277205137,0.0009158017250027184,0.0025464489888120667,0.1506534066510946
TimesFM-2.5,WTI,0.01,13,26,0.0,0.0,9.073601158260391e-05,0.15350067542695356
TimesFM-2.5,NATGAS,0.01,42,141,5.551115123125783e-16,0.0,,0.3643970216096838
TimesFM-2.5,BTC,0.01,0,0,,,,
TimesFM-2.5,ETH,0.01,0,0,,,0.011407046389963038,
TimesFM-2.5,EURUSD,0.01,0,0,,,0.002685637320434031,0.04355181466582192
TimesFM-2.5,GBPUSD,0.01,1,3,0.0025537541621265536,3.880143271128844e-06,2.2646527563452423e-05,0.17393452858666691
TimesFM-2.5,USDJPY,0.01,0,3,,,0.05089852410170459,
TimesFM-2.5,AUDUSD,0.01,0,1,,,,
Moirai-2.0,SP500,0.01,1,9,0.033334123097785384,0.005682656551452503,0.0008514718989007797,
Moirai-2.0,STOXX,0.01,0,1,,,0.0004019209466614715,
Moirai-2.0,GDAXI,0.01,2,6,6.19935109318348e-05,1.057819402516813e-06,3.6390557234255994e-11,
Moirai-2.0,FCHI,0.01,3,8,1.3060004174780815e-06,1.7387504636090512e-07,2.147613309411156e-09,
Moirai-2.0,FTSE100,0.01,2,11,0.0011907038995184749,0.0009302479016710663,1.2206715771512222e-07,
Moirai-2.0,ICLN,0.01,0,1,,,,0.27333506489988524
Moirai-2.0,NIKKEI,0.01,2,5,2.5967433579410226e-05,2.2984081227139797e-07,6.970696786456898e-08,0.39616558077994835
Moirai-2.0,HSI,0.01,1,4,0.00471847354033228,6.752211873184422e-06,0.0004950696047634207,0.39335334287528967
Moirai-2.0,BOVESPA,0.01,12,16,0.0,0.0,1.36610778337376e-05,
Moirai-2.0,NIFTY,0.01,0,2,,,,
Moirai-2.0,ASX200,0.01,9,17,3.3306690738754696e-16,3.1086244689504383e-15,2.3451774966432026e-09,
Moirai-2.0,CBU0,0.01,25,112,0.00039962227573486775,0.0,0.06768038378608554,0.08703327203810551
Moirai-2.0,TLT,0.01,9,46,2.3213801197963235e-06,1.6464607455191071e-13,0.004621243050443091,0.16845332680490344
Moirai-2.0,IBGL,0.01,8,57,0.0044671538903106045,0.0,,
Moirai-2.0,DJCI,0.01,5,14,1.61509724661002e-06,6.073010362372955e-07,0.0016588214601196416,
Moirai-2.0,GOLD,0.01,2,6,6.750102725239238e-05,1.8730136028821676e-06,0.0025464489888120667,0.2094103635532285
Moirai-2.0,WTI,0.01,9,21,7.893685705084863e-14,5.631051180898794e-13,1.3534327457653816e-06,0.028595727711782204
Moirai-2.0,NATGAS,0.01,31,132,1.2464976828496788e-09,0.0,,0.033797231983324405
Moirai-2.0,BTC,0.01,0,0,,,,0.49938228003687013
Moirai-2.0,ETH,0.01,0,2,,,0.011407046389963038,
Moirai-2.0,EURUSD,0.01,0,0,,,0.2519770223611051,0.3762770876377869
Moirai-2.0,GBPUSD,0.01,1,3,0.0025537541621265536,3.880143271128844e-06,2.2646527563452423e-05,0.1109785551602881
Moirai-2.0,USDJPY,0.01,1,3,0.0021103017817601932,2.6215972903642637e-07,0.02053477079951027,
Moirai-2.0,AUDUSD,0.01,0,1,,,,
Moirai-1.1,SP500,0.01,1,27,0.41641961457574395,0.11288134682053674,0.21533958721154134,0.31722493869139834
Moirai-1.1,STOXX,0.01,0,8,,,0.08241578757492773,0.23847031027044263
Moirai-1.1,GDAXI,0.01,0,23,,,,
Moirai-1.1,FCHI,0.01,1,27,0.40888848648010767,0.12992621755184264,0.14572123745853038,0.5805691262215775
Moirai-1.1,FTSE100,0.01,0,17,,,,0.3822406891520349
Moirai-1.1,ICLN,0.01,0,6,,,,
Moirai-1.1,NIKKEI,0.01,1,12,0.06813092387713748,0.06616452461010991,0.08224291255504912,0.4981961222011485
Moirai-1.1,HSI,0.01,0,8,,,,
Moirai-1.1,BOVESPA,0.01,1,18,0.17261179044766717,0.39449153358079325,,0.27154663822220126
Moirai-1.1,NIFTY,0.01,0,5,,,,
Moirai-1.1,ASX200,0.01,2,29,0.08451799613849287,0.015712790947792654,0.014120488067457804,0.2883797316388933
Moirai-1.1,CBU0,0.01,0,3,,,,
Moirai-1.1,TLT,0.01,0,12,,,,
Moirai-1.1,IBGL,0.01,0,9,,,,
Moirai-1.1,DJCI,0.01,0,14,,,,
Moirai-1.1,GOLD,0.01,0,31,,,,
Moirai-1.1,WTI,0.01,1,32,0.607695936770821,0.008039461946090731,0.11490202674616667,0.6454659134196631
Moirai-1.1,NATGAS,0.01,0,27,,,,
Moirai-1.1,BTC,0.01,0,6,,,,
Moirai-1.1,ETH,0.01,0,10,,,,
Moirai-1.1,EURUSD,0.01,0,23,,,,
Moirai-1.1,GBPUSD,0.01,0,20,,,,
Moirai-1.1,USDJPY,0.01,0,19,,,,
Moirai-1.1,AUDUSD,0.01,0,8,,,,
Lag-Llama,SP500,0.01,0,19,,,,0.6009660414331252
Lag-Llama,STOXX,0.01,0,4,,,,0.31112133616014426
Lag-Llama,GDAXI,0.01,0,18,,,,0.5789150893210515
Lag-Llama,FCHI,0.01,0,18,,,,0.6474933063608459
Lag-Llama,FTSE100,0.01,1,17,0.14777694624736704,0.3337127420700694,0.14777694624736704,0.21043777621153925
Lag-Llama,ICLN,0.01,0,6,,,,
Lag-Llama,NIKKEI,0.01,0,13,,,,0.9600111887002213
Lag-Llama,HSI,0.01,0,14,,,,
Lag-Llama,BOVESPA,0.01,0,18,,,,
Lag-Llama,NIFTY,0.01,0,14,,,,0.9408832365117378
Lag-Llama,ASX200,0.01,0,27,,,,0.18124671897951716
Lag-Llama,CBU0,0.01,0,12,,,,
Lag-Llama,TLT,0.01,0,18,,,,
Lag-Llama,IBGL,0.01,0,12,,,,
Lag-Llama,DJCI,0.01,0,11,,,,
Lag-Llama,GOLD,0.01,0,21,,,,0.1577260554119846
Lag-Llama,WTI,0.01,1,21,0.24811534561269877,0.38427040055418016,0.17500944538153873,0.7777859247849646
Lag-Llama,NATGAS,0.01,0,20,,,,
Lag-Llama,BTC,0.01,0,3,,,,
Lag-Llama,ETH,0.01,0,4,,,,
Lag-Llama,EURUSD,0.01,0,16,,,,
Lag-Llama,GBPUSD,0.01,0,18,,,,
Lag-Llama,USDJPY,0.01,0,19,,,,
Lag-Llama,AUDUSD,0.01,0,8,,,,
GJR-GARCH,SP500,0.01,0,27,,,,
GJR-GARCH,STOXX,0.01,1,19,0.22530557789525207,0.35038151426902975,,
GJR-GARCH,GDAXI,0.01,1,32,0.5607457159510842,0.02362792268398095,,
GJR-GARCH,FCHI,0.01,0,31,,,,
GJR-GARCH,FTSE100,0.01,1,20,0.2044930757372213,0.4379654953141211,0.10550756258507865,
GJR-GARCH,ICLN,0.01,0,8,,,0.16822693552514356,
GJR-GARCH,NIKKEI,0.01,1,18,0.16667598091147307,0.38157162715225845,0.06484645855689308,0.042127705450773045
GJR-GARCH,HSI,0.01,0,15,,,,
GJR-GARCH,BOVESPA,0.01,1,41,0.9138538619637915,4.579250340475127e-05,0.10792916349208004,
GJR-GARCH,NIFTY,0.01,0,13,,,,
GJR-GARCH,ASX200,0.01,3,34,0.022945104026255714,0.0006514961135942743,0.08976547776039057,
GJR-GARCH,CBU0,0.01,0,1,,,,
GJR-GARCH,TLT,0.01,0,14,,,,
GJR-GARCH,IBGL,0.01,1,7,0.026580230531271565,0.015561834606234504,,
GJR-GARCH,DJCI,0.01,9,22,2.5790758417798543e-10,2.873257187729905e-13,,
GJR-GARCH,GOLD,0.01,1,19,0.18892380979837953,0.41881863573526845,0.10957995610422244,
GJR-GARCH,WTI,0.01,2,21,0.02141772969159006,0.06022115457983135,0.00030104453156287736,0.0035411671317711058
GJR-GARCH,NATGAS,0.01,0,14,,,,
GJR-GARCH,BTC,0.01,0,4,,,,
GJR-GARCH,ETH,0.01,0,5,,,,
GJR-GARCH,EURUSD,0.01,0,21,,,,
GJR-GARCH,GBPUSD,0.01,0,22,,,0.21229180252849922,
GJR-GARCH,USDJPY,0.01,1,27,0.3848059605677837,0.1984389338976419,,
GJR-GARCH,AUDUSD,0.01,0,7,,,0.12055784420524507,
GARCH-N,SP500,0.01,1,22,0.2547066667929422,0.41763771166703945,0.07590646653175781,0.8639196915481089
GARCH-N,STOXX,0.01,1,16,0.15216063844149297,0.35811040708499453,0.0777527202919236,0.07406378336313657
GARCH-N,GDAXI,0.01,3,32,0.01572678552097595,0.001514450960685143,0.14010885358985592,0.03634011756681044
GARCH-N,FCHI,0.01,4,33,0.0019746075641146055,0.000150560879160766,0.20167795905738695,0.018827934243248245
GARCH-N,FTSE100,0.01,1,27,0.39651225156769765,0.1623838835914987,0.10550756258507865,0.0030817103234429544
GARCH-N,ICLN,0.01,0,10,,,,
GARCH-N,NIKKEI,0.01,2,24,0.03786912365126072,0.05461195867153046,0.09311991260422159,0.0413662936844873
GARCH-N,HSI,0.01,1,19,0.187341386502205,0.41765824122464223,0.12621589159310254,0.003688744847320402
GARCH-N,BOVESPA,0.01,0,23,,,0.07723876317819645,0.5753433750914012
GARCH-N,NIFTY,0.01,0,12,,,,
GARCH-N,ASX200,0.01,3,35,0.027225436908294376,0.00041530906106945764,0.010189817692328518,0.017118581744042793
GARCH-N,CBU0,0.01,0,9,,,,
GARCH-N,TLT,0.01,0,19,,,,
GARCH-N,IBGL,0.01,1,6,0.018263788734022457,0.005558857217907276,0.09635884992540289,0.18811271086961545
GARCH-N,DJCI,0.01,1,9,0.08835424108351964,0.21143930815462375,,0.43347996803400834
GARCH-N,GOLD,0.01,1,16,0.1272939914692982,0.26219315772754503,0.23690508137450628,0.9627463256145964
GARCH-N,WTI,0.01,2,25,0.045017864360821,0.047446129670085324,0.008475381540747784,0.0733711078134911
GARCH-N,NATGAS,0.01,0,18,,,,
GARCH-N,BTC,0.01,0,4,,,,
GARCH-N,ETH,0.01,0,6,,,,0.39595804706961024
GARCH-N,EURUSD,0.01,0,14,,,,
GARCH-N,GBPUSD,0.01,0,14,,,,0.7255570191098781
GARCH-N,USDJPY,0.01,0,21,,,,
GARCH-N,AUDUSD,0.01,0,5,,,,0.30364126005377234
Hist-Sim,SP500,0.01,2,26,0.050146014713332354,0.04600613908450679,0.004262036532655666,0.0021105728931382073
Hist-Sim,STOXX,0.01,5,17,2.626257373794516e-07,1.673486415887382e-06,0.25285537178199713,8.763966689806502e-06
Hist-Sim,GDAXI,0.01,4,23,9.372257429696162e-05,0.00034128005133127193,0.3053417345748842,3.076465605711398e-06
Hist-Sim,FCHI,0.01,4,25,0.0001892240517742394,0.0004392187590976926,0.006790322264030091,1.4998018279976932e-05
Hist-Sim,FTSE100,0.01,3,20,0.0008083942966171653,0.0035830183327593135,0.0011150648209163894,7.394650603731456e-06
Hist-Sim,ICLN,0.01,0,11,,,0.16822693552514356,
Hist-Sim,NIKKEI,0.01,2,14,0.0035371246291540093,0.007753017387856609,0.00486772148382808,0.0010676187946631055
Hist-Sim,HSI,0.01,2,19,0.013665466318434683,0.047628793091878174,0.0004338488874604529,0.04443201105453087
Hist-Sim,BOVESPA,0.01,3,17,0.00028975831628264004,0.0012927087381175983,0.15190890336928453,7.020893253084637e-05
Hist-Sim,NIFTY,0.01,0,7,,,,
Hist-Sim,ASX200,0.01,4,20,2.75052304282708e-05,0.00014899529858036775,0.4280752518947143,0.0026374519534507757
Hist-Sim,CBU0,0.01,0,8,,,,
Hist-Sim,TLT,0.01,3,20,0.0011387208065349874,0.003962463081351064,0.01000962836164243,0.004824161265357563
Hist-Sim,IBGL,0.01,0,11,,,,
Hist-Sim,DJCI,0.01,1,15,0.29060298653204675,0.037751384037765234,0.11358328561025288,0.3355189365546112
Hist-Sim,GOLD,0.01,1,22,0.26287711702693006,0.38831680625963705,0.18892380979837953,0.5470650205477567
Hist-Sim,WTI,0.01,2,21,0.02141772969159006,0.06022115457983135,0.045017864360821,0.06199072897509261
Hist-Sim,NATGAS,0.01,2,34,0.15548238222607114,0.0018985999983022195,,0.2138626021190151
Hist-Sim,BTC,0.01,0,5,,,,
Hist-Sim,ETH,0.01,1,13,0.19072293419019115,0.14362491829344082,,0.08641487027510175
Hist-Sim,EURUSD,0.01,0,18,,,,
Hist-Sim,GBPUSD,0.01,1,15,0.12335312944021037,0.2804000419222007,0.021592951761009394,0.13290067058512167
Hist-Sim,USDJPY,0.01,0,25,,,0.35480185396675024,0.03479944123530854
Hist-Sim,AUDUSD,0.01,0,9,,,0.16426910544849604,
EWMA,SP500,0.01,2,29,0.0785831765652496,0.02180066920698487,0.16167955626602026,0.46778439952276474
EWMA,STOXX,0.01,2,24,0.05240064669735711,0.023473991463477395,,0.011042886369589722
EWMA,GDAXI,0.01,1,34,0.6323255566018305,0.00834642552732523,0.15979579299075597,0.09228327914866097
EWMA,FCHI,0.01,4,36,0.003992128942652107,4.9377368449343706e-05,0.20167795905738695,0.013736464743178467
EWMA,FTSE100,0.01,3,29,0.008762407367849723,0.003459450999868663,0.010200994050265755,0.0019638150384743147
EWMA,ICLN,0.01,0,10,,,,
EWMA,NIKKEI,0.01,1,18,0.16667598091147307,0.38157162715225845,0.1093793649940723,0.9421891085277028
EWMA,HSI,0.01,2,16,0.006379286781988847,0.019931413417646038,,0.017239383858772994
EWMA,BOVESPA,0.01,0,20,,,,
EWMA,NIFTY,0.01,0,13,,,,
EWMA,ASX200,0.01,2,36,0.1817248988369189,0.001041133594302246,0.18188620912184483,0.03708582635801516
EWMA,CBU0,0.01,0,12,,,,
EWMA,TLT,0.01,0,24,,,,
EWMA,IBGL,0.01,0,5,,,,0.2160191339404317
EWMA,DJCI,0.01,1,10,0.11358328561025288,0.20952064117498592,,0.3832202456092374
EWMA,GOLD,0.01,0,17,,,,
EWMA,WTI,0.01,2,31,0.10841600703642484,0.007954285637672753,0.008475381540747784,0.10737667569438414
EWMA,NATGAS,0.01,0,21,,,,
EWMA,BTC,0.01,0,3,,,,
EWMA,ETH,0.01,0,6,,,,0.06984558799018337
EWMA,EURUSD,0.01,0,19,,,,
EWMA,GBPUSD,0.01,0,18,,,,0.6460922837948258
EWMA,USDJPY,0.01,0,19,,,,
EWMA,AUDUSD,0.01,0,8,,,,
