model,n_est,max_depth,lr,n_test,viol,pi_hat,kupiec_p,TL,QS,width,best_iter
GJR-GARCH-t,100,5,0.01,1902,23,0.012092534174553101,0.37453480021221885,Green,0.00044578322743227825,0.029295208425643992,100
GARCH-N,100,5,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.00046204921512397416,0.029868676244331163,100
Hist-Sim,100,5,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.00047411369776824224,0.03009970179865571,100
EWMA,100,5,0.01,1902,23,0.012092534174553101,0.37453480021221885,Green,0.0004803833120820174,0.029402624421120918,100
Chronos-Small-A,100,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.00046217082432266685,0.03011732142700661,95
Chronos-Mini-A,100,5,0.01,1824,18,0.009868421052631578,0.9548626135239969,Green,0.00046341614511315307,0.029745508872662488,100
Chronos-Small,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00045285618087534553,0.027964731804424135,24
Chronos-Mini,100,5,0.05,1824,23,0.012609649122807017,0.2816914868524555,Green,0.0004587701619252545,0.028306717942280107,24
TimesFM-2.5,100,5,0.05,1824,25,0.013706140350877192,0.13204636054365415,Green,0.0004582083703481505,0.02805561686902306,27
Moirai-2.0,100,5,0.05,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004709671432893677,0.028305678933526555,23
Moirai-1.1,100,5,0.05,1824,18,0.009868421052631578,0.9548626135239969,Green,0.00046577411817116775,0.029629481178730457,19
Lag-Llama,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00047234452487365217,0.02941011270452336,20
GJR-GARCH,100,5,0.05,1902,42,0.022082018927444796,4.929215707050183e-06,Yellow,0.00044301871471548796,0.02366526506332273,60
GJR-GARCH-t,100,5,0.05,1902,36,0.01892744479495268,0.0004957486068168926,Yellow,0.0004420381145865628,0.02384459851863154,61
GARCH-N,100,5,0.05,1902,31,0.01629863301787592,0.011391850681011673,Yellow,0.0004574413719364963,0.02652600828715416,37
Hist-Sim,100,5,0.05,1902,26,0.013669821240799159,0.12760586028236054,Green,0.0004555493758997652,0.027628702252017988,35
EWMA,100,5,0.05,1902,32,0.016824395373291272,0.006431124925583176,Yellow,0.000471127825179845,0.026791637330812124,33
Chronos-Small-A,100,5,0.05,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004509598447896468,0.029358770480384478,21
Chronos-Mini-A,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.0004600817935376718,0.029406333830286308,20
Chronos-Small,500,3,0.01,1824,30,0.01644736842105263,0.011337864099790318,Yellow,0.0004355808479548022,0.025929551991390666,340
Chronos-Mini,500,3,0.01,1824,30,0.01644736842105263,0.011337864099790318,Yellow,0.00044059339686545074,0.025890675919576625,380
TimesFM-2.5,500,3,0.01,1824,24,0.013157894736842105,0.19607628987637782,Green,0.00044944149653989446,0.028358151872452726,165
Moirai-2.0,500,3,0.01,1824,24,0.013157894736842105,0.19607628987637782,Green,0.0004510551502649522,0.028180112440858305,164
Moirai-1.1,500,3,0.01,1824,27,0.014802631578947368,0.05433300784199768,Green,0.00043183221413938027,0.026770838176679274,290
Lag-Llama,500,3,0.01,1824,27,0.014802631578947368,0.05433300784199768,Green,0.0004407206047127469,0.027064893794584585,265
GJR-GARCH,500,3,0.01,1902,33,0.017350157728706624,0.0035297881228083527,Yellow,0.0004148348056442198,0.025571583246111404,493
GJR-GARCH-t,500,3,0.01,1902,35,0.01840168243953733,0.0009794634574257222,Yellow,0.00042311527649103314,0.0252363406401553,500
GARCH-N,500,3,0.01,1902,27,0.014195583596214511,0.08364884095615,Green,0.0004336561436830715,0.028015296944199613,231
Hist-Sim,500,3,0.01,1902,27,0.014195583596214511,0.08364884095615,Green,0.000447946989273834,0.027856778284769027,265
EWMA,500,3,0.01,1902,31,0.01629863301787592,0.011391850681011673,Yellow,0.0004568306374517878,0.02629946026082547,360
Chronos-Small-A,500,3,0.01,1824,23,0.012609649122807017,0.2816914868524555,Green,0.00044618318033969344,0.028628520193109002,155
Chronos-Mini-A,500,3,0.01,1824,23,0.012609649122807017,0.2816914868524555,Green,0.00044763411194462244,0.02891708448722626,148
Chronos-Small,500,3,0.05,1824,27,0.014802631578947368,0.05433300784199768,Green,0.00043317012086451553,0.02636240673005899,60
Chronos-Mini,500,3,0.05,1824,29,0.015899122807017545,0.019707544877046956,Green,0.0004397299812041945,0.02630915161701524,55
TimesFM-2.5,500,3,0.05,1824,26,0.01425438596491228,0.08607270366772923,Green,0.0004412509288195567,0.028059897930737022,36
Moirai-2.0,500,3,0.05,1824,24,0.013157894736842105,0.19607628987637782,Green,0.0004522555599299643,0.028531657798608907,29
Moirai-1.1,500,3,0.05,1824,29,0.015899122807017545,0.019707544877046956,Green,0.0004306919546472224,0.026645784270008768,62
Lag-Llama,500,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00044083867268401974,0.027137588113047933,54
GJR-GARCH,500,3,0.05,1902,39,0.02050473186119874,5.5151437254652436e-05,Yellow,0.0004164941468868719,0.024929623615149187,135
GJR-GARCH-t,500,3,0.05,1902,36,0.01892744479495268,0.0004957486068168926,Yellow,0.00043172763586629226,0.02492752234263944,157
GARCH-N,500,3,0.05,1902,26,0.013669821240799159,0.12760586028236054,Green,0.00043703227203462753,0.02859302302123552,36
Hist-Sim,500,3,0.05,1902,28,0.014721345951629864,0.05316109913172806,Green,0.00045671892128085233,0.027617901681937406,48
EWMA,500,3,0.05,1902,30,0.015772870662460567,0.019607226817063506,Green,0.0004544191131938662,0.027350390639457534,46
Chronos-Small-A,500,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.0004352351065201255,0.026375538438900514,55
Chronos-Mini-A,500,3,0.05,1824,27,0.014802631578947368,0.05433300784199768,Green,0.0004267061021193119,0.027332692432337664,45
Chronos-Small,500,5,0.01,1824,26,0.01425438596491228,0.08607270366772923,Green,0.0004497568736615752,0.026474143580717684,175
Chronos-Mini,500,5,0.01,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00044673506518949874,0.02643445173495866,180
TimesFM-2.5,500,5,0.01,1824,23,0.012609649122807017,0.2816914868524555,Green,0.000465197783328819,0.028415308224574765,125
Moirai-2.0,500,5,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046527802964889343,0.028634623122363798,121
Moirai-1.1,500,5,0.01,1824,27,0.014802631578947368,0.05433300784199768,Green,0.0004507484752097561,0.02630697927146913,181
Lag-Llama,500,5,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00047065540491199136,0.029481477724907303,105
GJR-GARCH,500,5,0.01,1902,49,0.02576235541535226,8.061794898317487e-09,Yellow,0.0004509100419605092,0.02302533319218,395
GJR-GARCH-t,500,5,0.01,1902,39,0.02050473186119874,5.5151437254652436e-05,Yellow,0.00044058247393985076,0.02436166783257475,259
GARCH-N,500,5,0.01,1902,31,0.01629863301787592,0.011391850681011673,Yellow,0.00045399172841113186,0.027229881832460952,175
Hist-Sim,500,5,0.01,1902,28,0.014721345951629864,0.05316109913172806,Green,0.00046814691141999667,0.026767259244439217,209
EWMA,500,5,0.01,1902,33,0.017350157728706624,0.0035297881228083527,Yellow,0.0004766082021952768,0.026176694173005596,190
Chronos-Small-A,500,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.00046217082432266685,0.03011732142700661,95
Chronos-Mini-A,500,5,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046016200804908583,0.02902817083567189,115
Chronos-Small,500,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00045285618087534553,0.027964731804424135,24
Chronos-Mini,500,5,0.05,1824,23,0.012609649122807017,0.2816914868524555,Green,0.0004587701619252545,0.028306717942280107,24
TimesFM-2.5,500,5,0.05,1824,25,0.013706140350877192,0.13204636054365415,Green,0.0004582083703481505,0.02805561686902306,27
Moirai-2.0,500,5,0.05,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004709671432893677,0.028305678933526555,23
Moirai-1.1,500,5,0.05,1824,18,0.009868421052631578,0.9548626135239969,Green,0.00046577411817116775,0.029629481178730457,19
Lag-Llama,500,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00047234452487365217,0.02941011270452336,20
GJR-GARCH,500,5,0.05,1902,42,0.022082018927444796,4.929215707050183e-06,Yellow,0.00044301871471548796,0.02366526506332273,60
GJR-GARCH-t,500,5,0.05,1902,36,0.01892744479495268,0.0004957486068168926,Yellow,0.0004420381145865628,0.02384459851863154,61
GARCH-N,500,5,0.05,1902,31,0.01629863301787592,0.011391850681011673,Yellow,0.0004574413719364963,0.02652600828715416,37
Hist-Sim,500,5,0.05,1902,26,0.013669821240799159,0.12760586028236054,Green,0.0004555493758997652,0.027628702252017988,35
EWMA,500,5,0.05,1902,32,0.016824395373291272,0.006431124925583176,Yellow,0.000471127825179845,0.026791637330812124,33
Chronos-Small-A,500,5,0.05,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004509598447896468,0.029358770480384478,21
Chronos-Mini-A,500,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.0004600817935376718,0.029406333830286308,20
