model,asset,n_cal,rho,gap,fallback,truncated
Moirai-2.0,WTI,4132,0.4323347008898305,10,False,False
Moirai-1.1,ASX200,4276,0.23679404837108614,6,False,False
Moirai-1.1,AUDUSD,3252,0.1778746974412359,5,False,False
Moirai-1.1,BOVESPA,4186,0.10473948537851194,5,False,False
Moirai-1.1,BTC,2581,-0.0053132849586975395,8,True,False
Moirai-1.1,CBU0,2277,0.19253318587526616,5,False,False
Moirai-1.1,DJCI,1617,0.010134558526280918,5,False,False
Moirai-1.1,ETH,1776,-0.016849414636823823,8,True,False
Moirai-1.1,EURUSD,3689,0.08898042454153458,5,False,False
Moirai-1.1,FCHI,4330,0.19828387707055073,6,False,False
Moirai-1.1,FTSE100,4275,0.21377038760361883,6,False,False
Moirai-1.1,GBPUSD,3698,0.12668817170269545,5,False,False
Moirai-1.1,GDAXI,4299,0.21772557757893793,6,False,False
Moirai-1.1,GOLD,4127,0.01907912160738475,5,False,False
Moirai-1.1,HSI,4160,0.23715233755024476,6,False,False
Moirai-1.1,IBGL,2860,0.011630562072436566,5,False,False
Moirai-1.1,ICLN,2762,0.09328503286321692,5,False,False
Moirai-1.1,NATGAS,4131,0.018274808098633633,5,False,False
Moirai-1.1,NIFTY,2818,0.11661335968956849,5,False,False
Moirai-1.1,NIKKEI,4134,0.08922104508987155,5,False,False
Moirai-1.1,SP500,4254,0.27143150086050793,7,False,False
Moirai-1.1,STOXX,3495,0.16302357182763705,5,False,False
Moirai-1.1,TLT,3803,0.0782962624196402,5,False,False
Moirai-1.1,USDJPY,4403,0.030368155776650963,5,False,False
Moirai-1.1,WTI,4132,0.11009477807644209,5,False,False
Lag-Llama,ASX200,4276,0.16861385052361694,5,False,False
Lag-Llama,AUDUSD,3252,0.1298830761289015,5,False,False
Lag-Llama,BOVESPA,4186,0.07382598370209256,5,False,False
Lag-Llama,BTC,2581,-0.014202313519322054,8,True,False
Lag-Llama,CBU0,2277,0.027731347736595434,5,False,False
Lag-Llama,DJCI,1617,0.0560675359969203,5,False,False
Lag-Llama,ETH,1776,-0.01434152539432778,8,True,False
Lag-Llama,EURUSD,3689,0.3000833328134826,7,False,False
Lag-Llama,FCHI,4330,0.16511861753569843,5,False,False
Lag-Llama,FTSE100,4275,0.18829890156728293,6,False,False
Lag-Llama,GBPUSD,3698,0.12519252449765317,5,False,False
Lag-Llama,GDAXI,4299,0.1837066029166108,5,False,False
Lag-Llama,GOLD,4127,0.03733057693410744,5,False,False
Lag-Llama,HSI,4160,0.24592660430365748,6,False,False
Lag-Llama,IBGL,2860,-0.02218026282768529,8,True,False
Lag-Llama,ICLN,2762,0.0771707331178296,5,False,False
Lag-Llama,NATGAS,4131,0.07860290952533369,5,False,False
Lag-Llama,NIFTY,2818,0.11717772208066551,5,False,False
Lag-Llama,NIKKEI,4134,0.08383612832892551,5,False,False
Lag-Llama,SP500,4254,0.18239043632919907,5,False,False
Lag-Llama,STOXX,3495,0.12480664335165732,5,False,False
Lag-Llama,TLT,3803,0.10894177294310564,5,False,False
Lag-Llama,USDJPY,4403,0.0755455403637998,5,False,False
Lag-Llama,WTI,4132,0.12225580977847814,5,False,False
GJR-GARCH,ASX200,4459,0.45640951786789385,11,False,False
GJR-GARCH,AUDUSD,3436,0.48079237371259437,12,False,False
GJR-GARCH,BOVESPA,4369,0.2983620526449647,7,False,False
GJR-GARCH,BTC,2765,0.36529639006650155,8,False,False
GJR-GARCH,CBU0,2460,0.31935002858393896,7,False,False
GJR-GARCH,DJCI,1800,0.1307469840509515,5,False,False
GJR-GARCH,ETH,1959,0.2506125247141103,6,False,False
GJR-GARCH,EURUSD,3873,0.4891587573523074,12,False,False
GJR-GARCH,FCHI,4513,0.4638198045112643,11,False,False
GJR-GARCH,FTSE100,4459,0.4791459897078454,12,False,False
GJR-GARCH,GBPUSD,3881,0.26866365644638607,7,False,False
GJR-GARCH,GDAXI,4482,0.4771715915654861,12,False,False
GJR-GARCH,GOLD,4311,0.3260131628882947,8,False,False
GJR-GARCH,HSI,4344,0.4744767913443028,12,False,False
GJR-GARCH,IBGL,3043,0.25808124424645446,6,False,False
GJR-GARCH,ICLN,2946,0.42219989830328075,10,False,False
GJR-GARCH,NATGAS,4314,0.37818108527718525,9,False,False
GJR-GARCH,NIFTY,3001,0.5945402866391238,16,False,False
GJR-GARCH,NIKKEI,4317,0.4154651896982946,10,False,False
GJR-GARCH,SP500,4438,0.5109282600561347,13,False,False
GJR-GARCH,STOXX,3678,0.4873573583810437,12,False,False
GJR-GARCH,TLT,3987,0.3820543684148193,9,False,False
GJR-GARCH,USDJPY,4587,0.46098173703325307,11,False,False
GJR-GARCH,WTI,4316,0.3851731664040302,9,False,False
GJR-GARCH-t,ASX200,4459,0.4530248007886136,11,False,False
GJR-GARCH-t,AUDUSD,3436,0.4972548335577507,12,False,False
GJR-GARCH-t,BOVESPA,4369,0.30988375250133415,8,False,False
GJR-GARCH-t,BTC,2765,0.4489357787248383,10,False,False
GJR-GARCH-t,CBU0,2460,0.35098761410742263,8,False,False
GJR-GARCH-t,DJCI,1800,0.20458000462529308,5,False,False
GJR-GARCH-t,ETH,1959,0.35417978488691076,8,False,False
GJR-GARCH-t,EURUSD,3873,0.5892515146052084,16,False,False
GJR-GARCH-t,FCHI,4513,0.47524382126138753,12,False,False
GJR-GARCH-t,FTSE100,4459,0.4957636533381714,12,False,False
GJR-GARCH-t,GBPUSD,3881,0.39606831644216417,9,False,False
GJR-GARCH-t,GDAXI,4482,0.4785205865751646,12,False,False
GJR-GARCH-t,GOLD,4311,0.4158125686402406,10,False,False
GJR-GARCH-t,HSI,4344,0.4781607727673626,12,False,False
GJR-GARCH-t,IBGL,3043,0.30217687168025764,7,False,False
GJR-GARCH-t,ICLN,2946,0.48293979641116935,11,False,False
GJR-GARCH-t,NATGAS,4314,0.42966900259790963,10,False,False
GJR-GARCH-t,NIFTY,3001,0.6051744040096724,16,False,False
GJR-GARCH-t,NIKKEI,4317,0.4248108719325754,10,False,False
GJR-GARCH-t,SP500,4438,0.5354783818110188,14,False,False
GJR-GARCH-t,STOXX,3678,0.5097399748734592,13,False,False
GJR-GARCH-t,TLT,3987,0.39499076799142674,9,False,False
GJR-GARCH-t,USDJPY,4587,0.5186591905934076,13,False,False
GJR-GARCH-t,WTI,4316,0.414987478260467,10,False,False
GARCH-N,ASX200,4459,0.4690223087812644,12,False,False
GARCH-N,AUDUSD,3436,0.5195609400533099,13,False,False
GARCH-N,BOVESPA,4369,0.35449455079272807,9,False,False
GARCH-N,BTC,2765,0.38301762829917957,9,False,False
GARCH-N,CBU0,2460,0.32696315563700573,7,False,False
GARCH-N,DJCI,1800,0.24033828324932494,6,False,False
GARCH-N,ETH,1959,0.2867295082206549,7,False,False
GARCH-N,EURUSD,3873,0.502476881391133,13,False,False
GARCH-N,FCHI,4513,0.5029288511619142,13,False,False
GARCH-N,FTSE100,4459,0.528902631575367,14,False,False
GARCH-N,GBPUSD,3881,0.3051609099661958,7,False,False
GARCH-N,GDAXI,4482,0.5230163256247194,13,False,False
GARCH-N,GOLD,4311,0.3367996676521294,8,False,False
GARCH-N,HSI,4344,0.5335790151362824,14,False,False
GARCH-N,IBGL,3043,0.27906131025989234,7,False,False
GARCH-N,ICLN,2946,0.43436519162062026,10,False,False
GARCH-N,NATGAS,4314,0.33455031012492115,8,False,False
GARCH-N,NIFTY,3001,0.5940171419589795,16,False,False
GARCH-N,NIKKEI,4317,0.43834274404506673,11,False,False
GARCH-N,SP500,4438,0.5412800862554368,14,False,False
GARCH-N,STOXX,3678,0.5265165790346839,13,False,False
GARCH-N,TLT,3987,0.3531813219000607,8,False,False
GARCH-N,USDJPY,4587,0.5010401611917598,13,False,False
GARCH-N,WTI,4316,0.41964727122067214,10,False,False
Hist-Sim,ASX200,4459,0.5188601268744641,13,False,False
Hist-Sim,AUDUSD,3436,0.6847154989511031,22,False,False
Hist-Sim,BOVESPA,4369,0.39755701013945055,10,False,False
Hist-Sim,BTC,2765,0.11919064569630716,5,False,False
Hist-Sim,CBU0,2460,0.3582432894390931,8,False,False
Hist-Sim,DJCI,1800,0.2951002804938985,7,False,False
Hist-Sim,ETH,1959,0.22640435286517915,6,False,False
Hist-Sim,EURUSD,3873,0.5905846115694746,16,False,False
Hist-Sim,FCHI,4513,0.4446890308685265,11,False,False
Hist-Sim,FTSE100,4459,0.5269972669945479,14,False,False
Hist-Sim,GBPUSD,3881,0.449152839676959,11,False,False
Hist-Sim,GDAXI,4482,0.46672959624058263,12,False,False
Hist-Sim,GOLD,4311,0.3176628715170136,8,False,False
Hist-Sim,HSI,4344,0.5147712000922751,13,False,False
Hist-Sim,IBGL,3043,0.3694808003200212,9,False,False
Hist-Sim,ICLN,2946,0.7602967290358914,30,False,False
Hist-Sim,NATGAS,4314,0.19670690650439845,6,False,False
Hist-Sim,NIFTY,3001,0.6352505843361165,18,False,False
Hist-Sim,NIKKEI,4317,0.5442562454251725,14,False,False
Hist-Sim,SP500,4438,0.6132171872065856,18,False,False
Hist-Sim,STOXX,3678,0.5360406124252745,14,False,False
Hist-Sim,TLT,3987,0.25458470056605165,7,False,False
Hist-Sim,USDJPY,4587,0.40354503598021385,10,False,False
Hist-Sim,WTI,4316,0.38269170256314144,9,False,False
EWMA,ASX200,4459,0.49065405761931385,12,False,False
EWMA,AUDUSD,3436,0.5322253149136652,13,False,False
EWMA,BOVESPA,4369,0.41585814003955984,10,False,False
EWMA,BTC,2765,0.41152361220379635,9,False,False
EWMA,CBU0,2460,0.4680289278345146,11,False,False
EWMA,DJCI,1800,0.3056419038026125,7,False,False
EWMA,ETH,1959,0.33204936667871743,7,False,False
EWMA,EURUSD,3873,0.5789791323925786,16,False,False
EWMA,FCHI,4513,0.5029418713421707,13,False,False
EWMA,FTSE100,4459,0.5354878306104307,14,False,False
EWMA,GBPUSD,3881,0.3976170638735894,9,False,False
EWMA,GDAXI,4482,0.5181061807650189,13,False,False
EWMA,GOLD,4311,0.38175920239412703,9,False,False
EWMA,HSI,4344,0.5360572204411886,14,False,False
EWMA,IBGL,3043,0.45301843503789674,11,False,False
EWMA,ICLN,2946,0.462360784119075,11,False,False
EWMA,NATGAS,4314,0.36510976690900265,9,False,False
EWMA,NIFTY,3001,0.6114330184065535,17,False,False
EWMA,NIKKEI,4317,0.4441688124832583,11,False,False
EWMA,SP500,4438,0.5485164010527971,14,False,False
EWMA,STOXX,3678,0.5337461089795711,14,False,False
EWMA,TLT,3987,0.3646363992995438,9,False,False
EWMA,USDJPY,4587,0.5209576815077803,13,False,False
EWMA,WTI,4316,0.4393883214992957,11,False,False
Chronos-Small-A,ASX200,4276,0.35699008827023804,9,False,False
Chronos-Small-A,AUDUSD,3252,0.3300049086420259,8,False,False
Chronos-Small-A,BOVESPA,4186,0.19632561671801874,6,False,False
Chronos-Small-A,BTC,2581,0.15678863368004198,5,False,False
Chronos-Small-A,CBU0,2277,0.2818806425942257,7,False,False
Chronos-Small-A,DJCI,1617,0.02340939298254743,5,False,False
Chronos-Small-A,ETH,1776,0.0644347441432053,5,False,False
Chronos-Small-A,EURUSD,3689,0.17461312549657465,5,False,False
Chronos-Small-A,FCHI,4330,0.3224015461745947,8,False,False
Chronos-Small-A,FTSE100,4275,0.3629012287807932,9,False,False
Chronos-Small-A,GBPUSD,3698,0.21723734522561483,6,False,False
Chronos-Small-A,GDAXI,4299,0.33583404744858436,8,False,False
Chronos-Small-A,GOLD,4127,0.19601467464999595,6,False,False
Chronos-Small-A,HSI,4160,0.38297176058849863,9,False,False
Chronos-Small-A,IBGL,2860,0.07434303533537656,5,False,False
Chronos-Small-A,ICLN,2762,0.24020923002257752,6,False,False
Chronos-Small-A,NATGAS,4131,0.10464031739570405,5,False,False
Chronos-Small-A,NIFTY,2818,0.2596003357939067,6,False,False
Chronos-Small-A,NIKKEI,4134,0.19544452282642513,6,False,False
Chronos-Small-A,SP500,4254,0.4004290634113862,10,False,False
Chronos-Small-A,STOXX,3495,0.3397416081143077,8,False,False
Chronos-Small-A,TLT,3803,0.2135686053805713,6,False,False
Chronos-Small-A,USDJPY,4403,0.10606505638985578,5,False,False
Chronos-Small-A,WTI,4132,0.2467422873474437,6,False,False
Chronos-Mini-A,ASX200,4276,0.3423508488993389,8,False,False
Chronos-Mini-A,AUDUSD,3252,0.3161474162061424,8,False,False
Chronos-Mini-A,BOVESPA,4186,0.17991476343813492,5,False,False
Chronos-Mini-A,BTC,2581,0.149869157044999,5,False,False
Chronos-Mini-A,CBU0,2277,0.34398037328029496,8,False,False
Chronos-Mini-A,DJCI,1617,0.04658694873745442,5,False,False
Chronos-Mini-A,ETH,1776,0.08956527079249287,5,False,False
Chronos-Mini-A,EURUSD,3689,0.15379124368405178,5,False,False
Chronos-Mini-A,FCHI,4330,0.3004503107339941,7,False,False
Chronos-Mini-A,FTSE100,4275,0.3407872537761875,8,False,False
Chronos-Mini-A,GBPUSD,3698,0.22302604836244347,6,False,False
Chronos-Mini-A,GDAXI,4299,0.3173052561338322,8,False,False
Chronos-Mini-A,GOLD,4127,0.15749585191758517,5,False,False
Chronos-Mini-A,HSI,4160,0.35101324806527634,8,False,False
Chronos-Mini-A,IBGL,2860,0.08709732113913742,5,False,False
Chronos-Mini-A,ICLN,2762,0.24167274503296404,6,False,False
Chronos-Mini-A,NATGAS,4131,0.09999945629181516,5,False,False
Chronos-Mini-A,NIFTY,2818,0.23946323013056955,6,False,False
Chronos-Mini-A,NIKKEI,4134,0.19154678445680076,6,False,False
Chronos-Mini-A,SP500,4254,0.36250411509012875,9,False,False
Chronos-Mini-A,STOXX,3495,0.3205610927194313,8,False,False
Chronos-Mini-A,TLT,3803,0.20852792797393488,6,False,False
Chronos-Mini-A,USDJPY,4403,0.08421184148137542,5,False,False
Chronos-Mini-A,WTI,4132,0.2287134047388289,6,False,False
