n_test,qV,pihat_raw,pihat_cp,p_kup_raw,p_kup_cp,QS_raw,QS_cp,TL_raw,TL_cp,dQS,model,asset,w,convergence_failures,n_fits
1911,0.0036501061976578555,0.01674515960230246,0.010465724751439037,0.006889443396465134,0.8390765965150344,0.0004572788921414387,0.00044199433060062296,Yellow,Green,1.5284561540815757e-05,Hist-Sim,FTSE100,250,0,6370
1836,0.004237481067217531,0.014161220043572984,0.00980392156862745,0.09170937002789825,0.9324875827232397,0.00046584595549195774,0.0004590637968540807,Green,Green,6.782158637877022e-06,Hist-Sim,FTSE100,500,0,6120
1687,0.0012938355264538216,0.014226437462951986,0.013040901007705987,0.10089777428408642,0.2304603318532259,0.000523703066727195,0.0005189996566594602,Green,Green,4.703410067734759e-06,Hist-Sim,FTSE100,1000,0,5620
1263,0.005393916589396801,0.010292953285827395,0.007125890736342043,0.9170608870431668,0.2791503449651721,0.0005262775376018941,0.0005364666755101189,Green,Green,-1.0189137908224737e-05,GJR-GARCH,ICLN,250,0,4209
1188,0.003949861233104222,0.010942760942760943,0.010101010101010102,0.7476857029629123,0.972133279914386,0.0005156852477090747,0.0005150715266717462,Green,Green,6.137210373284791e-07,GJR-GARCH,ICLN,500,0,3959
1038,0.004996548120539072,0.011560693641618497,0.008670520231213872,0.6219232149376352,0.6595760577795,0.0005417714389976337,0.000545723569533463,Green,Green,-3.9521305358293166e-06,GJR-GARCH,ICLN,1000,0,3459
1263,0.005742665452273817,0.010292953285827395,0.00791765637371338,0.9170608870431668,0.4402114402674876,0.0005366770843664978,0.0005452230276467942,Green,Green,-8.545943280296423e-06,GARCH-N,ICLN,250,0,4209
1188,0.003989916238704115,0.010942760942760943,0.010101010101010102,0.7476857029629123,0.972133279914386,0.0005187300241010091,0.0005182090121564064,Green,Green,5.210119446027138e-07,GARCH-N,ICLN,500,0,3959
1038,0.00448347802760346,0.012524084778420038,0.008670520231213872,0.43161788006733826,0.6595760577795,0.0005420997084320122,0.0005438479472728563,Green,Green,-1.7482388408441131e-06,GARCH-N,ICLN,1000,0,3459
1263,0.0068851980581034755,0.014251781472684086,0.00791765637371338,0.15343329232641822,0.4402114402674876,0.0005396998708675621,0.000538653738700971,Green,Green,1.0461321665911376e-06,EWMA,ICLN,250,0,4209
1188,0.0068851992299454115,0.015151515151515152,0.008417508417508417,0.09722662961431461,0.5730661521054676,0.0005357052364345684,0.000530246360274532,Green,Green,5.45887616003641e-06,EWMA,ICLN,500,0,3959
1038,0.0069261496194740636,0.015414258188824663,0.007707129094412331,0.10437142625714313,0.43915912652478684,0.0005564536390747605,0.0005478822839764843,Green,Green,8.571355098276165e-06,EWMA,ICLN,1000,0,3459
1263,0.0008832595240586202,0.00870942201108472,0.00870942201108472,0.6373904008233857,0.6373904008233857,0.0005586609534925618,0.0005598008687928116,Green,Green,-1.1399153002498085e-06,Hist-Sim,ICLN,250,0,4209
1188,0.0037253670681563072,0.007575757575757576,0.004208754208754209,0.38031750926017005,0.02330020203152494,0.0005439494057741971,0.0005591530803186591,Green,Green,-1.5203674544462045e-05,Hist-Sim,ICLN,500,0,3959
1038,0.0024969131891948194,0.0038535645472061657,0.0038535645472061657,0.022969152851811114,0.022969152851811114,0.0005860791263629012,0.0006014262421115167,Green,Green,-1.534711574861542e-05,Hist-Sim,ICLN,1000,0,3459
1851,0.005029882830064503,0.02215018908698001,0.010264721772015126,5.936544364870677e-06,0.9092606263751073,0.0004794130963948346,0.00045112524239351935,Yellow,Green,2.8287854001315244e-05,GJR-GARCH,NIKKEI,250,0,6168
1776,0.0036377997787935303,0.021396396396396396,0.012387387387387387,2.7804108104767522e-05,0.3296285714073478,0.00048523150506967226,0.00045957168271371286,Yellow,Green,2.5659822355959404e-05,GJR-GARCH,NIKKEI,500,0,5918
1626,0.004144379847760449,0.02214022140221402,0.010455104551045511,2.2213331338005737e-05,0.8547350280693953,0.0004780192767619777,0.00045653552733103387,Yellow,Green,2.1483749430943827e-05,GJR-GARCH,NIKKEI,1000,0,5418
1851,0.004187573458789114,0.02593192868719611,0.012965964343598054,9.337205009174454e-09,0.22003946216339043,0.0005126734692644058,0.00048118789250812925,Yellow,Green,3.148557675627657e-05,GARCH-N,NIKKEI,250,0,6168
1776,0.004146305356585986,0.02252252252252252,0.010698198198198198,5.214159076394331e-06,0.7699727850839149,0.0005015758894305469,0.000474292005875737,Yellow,Green,2.72838835548099e-05,GARCH-N,NIKKEI,500,0,5918
1626,0.004157433163760625,0.022755227552275523,0.01107011070110701,9.388866377135763e-06,0.6698539467485819,0.0005052993977958207,0.0004746088207462863,Yellow,Green,3.069057704953434e-05,GARCH-N,NIKKEI,1000,0,5418
1851,0.0046829635747311325,0.022690437601296597,0.009724473257698542,2.5235073768392624e-06,0.9047321774651461,0.0005061383611720289,0.00047905421464048456,Yellow,Green,2.7084146531544304e-05,EWMA,NIKKEI,250,0,6168
1776,0.004827842783960003,0.02195945945945946,0.009009009009009009,1.2189102446935607e-05,0.6694546619187791,0.0004993953945598532,0.000475742555189223,Yellow,Green,2.365283937063022e-05,EWMA,NIKKEI,500,0,5918
1626,0.005652897330145904,0.02214022140221402,0.008610086100861008,2.2213331338005737e-05,0.5639273004305635,0.0005041120453354412,0.0004826283183798779,Yellow,Green,2.1483726955563276e-05,EWMA,NIKKEI,1000,0,5418
1851,0.005297441133603083,0.01620745542949757,0.007563479200432199,0.013785783476467861,0.2709394929358042,0.0005509371564144775,0.0005477867370027074,Yellow,Green,3.1504194117701204e-06,Hist-Sim,NIKKEI,250,0,6168
1776,0.005203886892057849,0.012387387387387387,0.007882882882882882,0.3296285714073478,0.3517661748798966,0.0005518198886451519,0.0005536795351046677,Green,Green,-1.8596464595157982e-06,Hist-Sim,NIKKEI,500,0,5918
1626,0.006415844190054774,0.011685116851168511,0.007995079950799507,0.5059472322099297,0.3998191352281151,0.0005633611580025424,0.0005636439600952525,Green,Green,-2.8280209271006225e-07,Hist-Sim,NIKKEI,1000,0,5418
1862,0.004093462249552711,0.018259935553168637,0.01020408163265306,0.0013208716971243595,0.9297088066629412,0.0005226178625027331,0.0005075378696298037,Yellow,Green,1.5079992872929471e-05,GJR-GARCH,HSI,250,0,6206
1787,0.004396261333563713,0.017347509792949075,0.00783435926133184,0.004700396464097256,0.33889379690306043,0.0005121601789084665,0.0005004472521156258,Yellow,Green,1.17129267928407e-05,GJR-GARCH,HSI,500,0,5956
1637,0.0035476474246406986,0.019547953573610263,0.011606597434331093,0.0005956567955622827,0.5240902432171592,0.0005371062354754222,0.0005182580629782119,Yellow,Green,1.884817249721033e-05,GJR-GARCH,HSI,1000,0,5456
1862,0.004485996928348994,0.018796992481203006,0.01020408163265306,0.0006724796726268467,0.9297088066629412,0.0005449315542618802,0.0005224727085090381,Yellow,Green,2.2458845752842157e-05,GARCH-N,HSI,250,0,6206
1787,0.00480992689188043,0.016787912702853944,0.008953553441522105,0.008582037987376223,0.6508194995353644,0.0005420609484623755,0.0005240873995605899,Yellow,Green,1.7973548901785582e-05,GARCH-N,HSI,500,0,5956
1637,0.004064288729731531,0.01832620647525962,0.013439218081857055,0.0024204492111130627,0.18392360384291728,0.0005521260579463466,0.000529048154597335,Yellow,Green,2.3077903349011625e-05,GARCH-N,HSI,1000,0,5456
1862,0.00497055995938143,0.017185821697099892,0.008592910848549946,0.004694999278372691,0.5317739851882423,0.0005177003532283683,0.0005052635156668597,Yellow,Green,1.243683756150854e-05,EWMA,HSI,250,0,6206
1787,0.004933810935660379,0.016787912702853944,0.008953553441522105,0.008582037987376223,0.6508194995353644,0.0005196554628615662,0.0005095479775331873,Yellow,Green,1.0107485328378915e-05,EWMA,HSI,500,0,5956
1637,0.005142678451038701,0.015271838729383017,0.00855222968845449,0.04666825223833193,0.5460404889648529,0.0005359954387782806,0.0005252403235266699,Green,Green,1.0755115251610652e-05,EWMA,HSI,1000,0,5456
1862,0.00345447585696345,0.01342642320085929,0.01020408163265306,0.157914456758373,0.9297088066629412,0.000549942492090992,0.0005449821420167664,Green,Green,4.96035007422561e-06,Hist-Sim,HSI,250,0,6206
1787,0.0038880498506513837,0.010632344711807499,0.00783435926133184,0.7902962249670802,0.33889379690306043,0.0005448571584104159,0.0005501052732498863,Green,Green,-5.248114839470413e-06,Hist-Sim,HSI,500,0,5956
1637,0.0030937253693838866,0.010384850335980453,0.009773976786805132,0.8764142849054039,0.9264951422946012,0.000585250497562927,0.000585899396977608,Green,Green,-6.488994146809819e-07,Hist-Sim,HSI,1000,0,5456
1873,0.0028092360202169875,0.016550987720234916,0.012813667912439935,0.009214694416813995,0.2408686232771038,0.0004534387664648092,0.00044151261471451635,Yellow,Green,1.1926151750292827e-05,GJR-GARCH,BOVESPA,250,0,6242
1798,0.0026596673175882796,0.01668520578420467,0.013348164627363738,0.009334962936954905,0.1746599691484847,0.00047394891849130707,0.00046173210933518047,Yellow,Green,1.2216809156126603e-05,GJR-GARCH,BOVESPA,500,0,5992
1648,0.002180621478793745,0.014563106796116505,0.012742718446601941,0.08132518544149603,0.2830723224123479,0.0004642847383901707,0.0004562447846469503,Green,Green,8.039953743220409e-06,GJR-GARCH,BOVESPA,1000,0,5492
1873,0.003614973357119664,0.017084890549919914,0.012279765082754938,0.005126700128083583,0.3383285383064639,0.0004801143724410992,0.00046425443175235743,Yellow,Green,1.5859940688741758e-05,GARCH-N,BOVESPA,250,0,6242
1798,0.0018468771689178452,0.016129032258064516,0.012791991101223582,0.016447019828439435,0.2540409920963712,0.00049001153067142,0.0004802969749682572,Yellow,Green,9.71455570316287e-06,GARCH-N,BOVESPA,500,0,5992
1648,0.002880432647720456,0.014563106796116505,0.012135922330097087,0.08132518544149603,0.39911541106178894,0.0004959380021223173,0.000486212358120019,Green,Green,9.7256440022983e-06,GARCH-N,BOVESPA,1000,0,5492
