method,reference,block_calendar_days,draws,difference,lower,upper,simultaneous_lower,simultaneous_upper,simultaneous_family_size
Loss-gate,Rolling500,20,999,-0.016326007473626634,-0.11189137866658783,0.0923281605378459,,,
Loss-gate,Selected-rolling,20,999,-0.04994603104730246,-0.16323442669561522,0.06889125495948077,,,
Past-minimum,Raw,20,999,-0.17815288423966316,-0.3256415965815447,-0.044142652955432855,,,
Past-minimum,Vol-ERM,20,999,0.04013191748968893,-0.0011942618376276294,0.08274996320271107,,,
Past-minimum,Rolling500,20,999,-0.07457765029042496,-0.12857920130577688,-0.018145005593160034,,,
Past-minimum,Selected-rolling,20,999,-0.10819767386410079,-0.16066224618894948,-0.045914273521012385,,,
State-L1,Raw,20,999,-0.16526175607247004,-0.3310990132437044,-0.0058442357599654176,,,
State-L1,Vol-ERM,20,999,0.053023045656882054,0.016928319163775796,0.09084760969398908,,,
State-L1,Rolling500,20,999,-0.061686522123231835,-0.14812536457669756,0.021025717795888924,,,
State-L1,Selected-rolling,20,999,-0.09530654569690766,-0.1736165308555626,-0.014093960230817194,,,
POT-Vol,Raw,20,999,-0.20645537513484966,-0.3843470664179703,-0.045505216748203035,,,
POT-Vol,Vol-ERM,20,999,0.011829426594502437,-0.0014776124640779058,0.023708120850051317,,,
POT-Vol,Rolling500,20,999,-0.10288014118561145,-0.18054395120562872,-0.030530180618933946,,,
POT-Vol,Selected-rolling,20,999,-0.13650016475928728,-0.19904824545946329,-0.07696135811957636,,,
POT-Shift,Raw,20,999,-0.19378366627077942,-0.3681408480786059,-0.039652747484790016,,,
POT-Shift,Vol-ERM,20,999,0.024501135458572652,-0.024988801299272362,0.07823567294476501,,,
POT-Shift,Rolling500,20,999,-0.09020843232154124,-0.16899696103866932,-0.0147713988001887,,,
POT-Shift,Selected-rolling,20,999,-0.12382845589521707,-0.20003540535246275,-0.04541830024399597,,,
DtACI-projected-expected,Raw,20,999,-0.06338943783037283,-0.24016751750890844,0.0929575279926942,,,
DtACI-projected-expected,Vol-ERM,20,999,0.15489536389897926,0.08110376305423453,0.2265816617769272,,,
DtACI-projected-expected,Rolling500,20,999,0.040185796118865365,-0.030385756953470133,0.10245181565568486,,,
DtACI-projected-expected,Selected-rolling,20,999,0.006565772545189539,-0.04166853387494259,0.0556583665744924,,,
State-L1-clipped,State-L1,20,999,-0.015495161852268811,-0.031505293895023746,-0.004599459788187602,,,
DtACI-projected-seed,DtACI-projected-expected,20,999,0.005083091434547344,-0.013205123074876942,0.02614712686414835,,,
Raw,Shift-CP,60,999,0.1752389302256879,0.01490698929476251,0.3634647735734729,,,
Shift-ERM,Shift-CP,60,999,-0.006662648884531554,-0.013483247073212617,0.0017733326621295511,,,
Vol-CP,Shift-CP,60,999,-0.025900233829723306,-0.08709690592536218,0.019973706510448268,,,
Vol-ERM,Shift-CP,60,999,-0.04304587150366418,-0.11249334649556204,0.011577919648184087,,,
State2-ERM,Shift-CP,60,999,-0.016094260849983024,-0.07636603287398819,0.0334726542826294,,,
State4-ERM,Shift-CP,60,999,0.01588237386668603,-0.04760685306077534,0.07695387279331972,,,
State-L1,Shift-CP,60,999,0.009977174153217878,-0.039169112374024234,0.05474123507283838,-0.052966385801723456,0.0729207341081592,6.0
State-L1-clipped,Shift-CP,60,999,-0.005517987699050933,-0.05696699821770487,0.0366602151897203,,,
POT-Shift,Shift-CP,60,999,-0.018544736045091527,-0.03380546777364687,-0.0007215639508699129,-0.039831485161899535,0.002742013071716485,6.0
POT-Vol,Shift-CP,60,999,-0.03121644490916174,-0.10376575512503682,0.023851866907204547,-0.11674494592171784,0.05431205610339436,6.0
ACI-existing,Shift-CP,60,999,0.19970455179829985,0.08321907498760689,0.30194040240392284,,,
DtACI-projected-seed,Shift-CP,60,999,0.11693258382986242,-0.02067972064748901,0.22603284422592598,,,
DtACI-projected-expected,Shift-CP,60,999,0.11184949239531508,-0.02269538967269549,0.2161939320007746,-0.04714543241778396,0.2708444172084141,6.0
Rolling250,Shift-CP,60,999,0.2537257504928327,0.09156844989558496,0.40173567448604025,,,
Rolling500,Shift-CP,60,999,0.07166369627644971,-0.01366740697771241,0.16769259036835246,,,
Selected-rolling,Shift-CP,60,999,0.10528371985012554,0.005542334520001859,0.1947340206365286,,,
Gate-selected-rolling,Shift-CP,60,999,0.09307296000965015,-0.008973274761481345,0.18475390347774237,,,
Loss-gate,Shift-CP,60,999,0.055337688802823075,-0.06453579949222563,0.19775580728332315,-0.115237635241706,0.22591301284735216,6.0
Past-minimum,Shift-CP,60,999,-0.0029139540139752444,-0.08156558562846176,0.07358184814076299,-0.1040117545638565,0.098183846535906,6.0
Loss-gate,Raw,60,999,-0.11990124142286483,-0.20435718626270558,-0.05530049312899055,,,
Loss-gate,Vol-ERM,60,999,0.09838356030648725,-0.01048275242452649,0.22606375703231676,,,
Loss-gate,Rolling500,60,999,-0.016326007473626634,-0.12283125958919247,0.10927819287421665,,,
Loss-gate,Selected-rolling,60,999,-0.04994603104730246,-0.1680987493750745,0.10201506831149533,,,
Past-minimum,Raw,60,999,-0.17815288423966316,-0.3581595953451688,-0.035864050213746994,,,
Past-minimum,Vol-ERM,60,999,0.04013191748968893,0.0028536160393672055,0.07869168083436046,,,
Past-minimum,Rolling500,60,999,-0.07457765029042496,-0.13825960674709806,-0.024764361374467032,,,
Past-minimum,Selected-rolling,60,999,-0.10819767386410079,-0.17241596008964705,-0.04392061660114756,,,
State-L1,Raw,60,999,-0.16526175607247004,-0.3675870124331581,-0.003387315876860856,,,
State-L1,Vol-ERM,60,999,0.053023045656882054,0.009638382667775633,0.09895797414185813,,,
State-L1,Rolling500,60,999,-0.061686522123231835,-0.1594392055874529,0.016525523679605712,,,
State-L1,Selected-rolling,60,999,-0.09530654569690766,-0.18793291394918893,-0.010642876296766926,,,
POT-Vol,Raw,60,999,-0.20645537513484966,-0.41657881995091217,-0.03926174485740617,,,
POT-Vol,Vol-ERM,60,999,0.011829426594502437,-0.0007921171267799552,0.022957823258314667,,,
POT-Vol,Rolling500,60,999,-0.10288014118561145,-0.1738612098039144,-0.04464583474257677,,,
POT-Vol,Selected-rolling,60,999,-0.13650016475928728,-0.2008292556525436,-0.08232561107314022,,,
POT-Shift,Raw,60,999,-0.19378366627077942,-0.37749385302465677,-0.0385994090179978,,,
POT-Shift,Vol-ERM,60,999,0.024501135458572652,-0.02347691268321793,0.0867745936023357,,,
POT-Shift,Rolling500,60,999,-0.09020843232154124,-0.17845195612378262,-0.012389791821765164,,,
POT-Shift,Selected-rolling,60,999,-0.12382845589521707,-0.20356992292652343,-0.03179127882398352,,,
DtACI-projected-expected,Raw,60,999,-0.06338943783037283,-0.2894347657468524,0.11222242205478977,,,
DtACI-projected-expected,Vol-ERM,60,999,0.15489536389897926,0.07644105463222135,0.2209242146344353,,,
DtACI-projected-expected,Rolling500,60,999,0.040185796118865365,-0.03540053918468202,0.09387611220456041,,,
DtACI-projected-expected,Selected-rolling,60,999,0.006565772545189539,-0.044598434839267315,0.051536933660529076,,,
State-L1-clipped,State-L1,60,999,-0.015495161852268811,-0.030504230636453095,-0.002108487007872495,,,
DtACI-projected-seed,DtACI-projected-expected,60,999,0.005083091434547344,-0.014847507007903205,0.025831172661857603,,,
