model,asset,gate_selected,past_minimum_selected,state_p,state_penalty,pot_shift_threshold,pot_vol_threshold
GJR-GARCH,EURUSD,Raw,Raw,4,0.0001,0.95,0.95
GJR-GARCH,FCHI,Inner-Shift,Inner-Shift,2,0.0001,0.9,0.9
GJR-GARCH,FTSE100,Raw,Inner-Shift,4,0.001,0.9,0.9
GJR-GARCH,GBPUSD,Raw,Inner-Vol,4,0.0001,0.9,0.9
GJR-GARCH,GDAXI,Inner-Vol,Inner-Shift,2,1.0,0.95,0.95
GJR-GARCH,GLD,Raw,Rolling500,2,0.0001,0.95,0.9
GJR-GARCH,HSI,Inner-Vol,Inner-Shift,4,0.001,0.9,0.9
GJR-GARCH,IBGL,Raw,Raw,2,0.0001,0.95,0.95
GJR-GARCH,ICLN,Inner-Shift,Inner-Shift,4,0.001,0.9,0.9
GJR-GARCH,NIFTY,Rolling500,Rolling500,4,0.0001,0.9,0.9
GJR-GARCH,NIKKEI,Inner-Shift,Rolling500,2,1.0,0.9,0.9
GJR-GARCH,SP500,Inner-Shift,Rolling500,4,0.001,0.95,0.9
GJR-GARCH,STOXX,Raw,Inner-Vol,2,1.0,0.95,0.95
GJR-GARCH,TLT,Raw,Rolling500,4,0.001,0.9,0.95
GJR-GARCH,UNG,Raw,Inner-Shift,2,1.0,0.95,0.9
GJR-GARCH,USDJPY,Raw,Raw,2,0.001,0.95,0.95
GJR-GARCH,USO,Inner-Shift,Rolling500,2,1.0,0.9,0.9
GJR-GARCH-t,ASX200,Raw,Rolling500,4,0.001,0.9,0.9
GJR-GARCH-t,AUDUSD,Raw,Raw,4,0.001,0.95,0.9
GJR-GARCH-t,BOVESPA,Raw,Raw,2,1.0,0.95,0.95
GJR-GARCH-t,BTC,Raw,Inner-Shift,4,0.0001,0.95,0.95
GJR-GARCH-t,CBU0,Raw,Inner-Shift,2,1.0,0.95,0.95
GJR-GARCH-t,DJCI,Inner-Shift,Rolling500,4,0.0,0.9,0.9
GJR-GARCH-t,ETH,Raw,Raw,2,1.0,0.95,0.95
GJR-GARCH-t,EURUSD,Raw,Raw,4,0.0,0.95,0.95
GJR-GARCH-t,FCHI,Inner-Vol,Inner-Shift,2,1.0,0.9,0.95
GJR-GARCH-t,FTSE100,Raw,Inner-Shift,4,0.001,0.9,0.9
GJR-GARCH-t,GBPUSD,Raw,Inner-Vol,4,0.0,0.95,0.95
GJR-GARCH-t,GDAXI,Raw,Inner-Vol,2,1.0,0.95,0.95
GJR-GARCH-t,GLD,Raw,Raw,2,0.0001,0.95,0.95
GJR-GARCH-t,HSI,Raw,Inner-Shift,2,0.001,0.95,0.95
GJR-GARCH-t,IBGL,Raw,Raw,2,0.001,0.95,0.95
GJR-GARCH-t,ICLN,Raw,Inner-Shift,4,0.001,0.95,0.9
GJR-GARCH-t,NIFTY,Inner-Shift,Rolling500,4,0.001,0.9,0.9
GJR-GARCH-t,NIKKEI,Raw,Inner-Shift,2,1.0,0.9,0.95
GJR-GARCH-t,SP500,Inner-Shift,Inner-Shift,4,0.0001,0.95,0.9
GJR-GARCH-t,STOXX,Raw,Inner-Vol,2,1.0,0.95,0.95
GJR-GARCH-t,TLT,Raw,Rolling500,2,0.0,0.9,0.9
GJR-GARCH-t,UNG,Raw,Inner-Vol,2,1.0,0.9,0.95
GJR-GARCH-t,USDJPY,Raw,Raw,4,0.0001,0.95,0.95
GJR-GARCH-t,USO,Inner-Shift,Rolling500,2,1.0,0.9,0.9
GARCH-N,ASX200,Raw,Inner-Shift,4,0.0001,0.95,0.95
GARCH-N,AUDUSD,Raw,Raw,2,0.001,0.95,0.9
GARCH-N,BOVESPA,Raw,Raw,2,1.0,0.95,0.95
GARCH-N,BTC,Raw,Inner-Shift,4,0.001,0.95,0.95
GARCH-N,CBU0,Raw,Inner-Shift,2,1.0,0.9,0.95
GARCH-N,DJCI,Inner-Shift,Inner-Shift,2,1.0,0.9,0.9
GARCH-N,ETH,Raw,Raw,4,0.001,0.95,0.9
GARCH-N,EURUSD,Raw,Raw,4,0.0001,0.95,0.95
GARCH-N,FCHI,Inner-Shift,Inner-Shift,2,1.0,0.95,0.9
GARCH-N,FTSE100,Raw,Inner-Vol,4,0.0,0.95,0.9
GARCH-N,GBPUSD,Raw,Inner-Vol,4,0.0,0.95,0.9
GARCH-N,GDAXI,Inner-Vol,Inner-Shift,2,1.0,0.95,0.95
GARCH-N,GLD,Raw,Rolling500,2,0.0001,0.95,0.95
GARCH-N,HSI,Raw,Inner-Shift,4,0.0,0.95,0.95
GARCH-N,IBGL,Raw,Raw,2,0.0001,0.95,0.95
GARCH-N,ICLN,Inner-Shift,Rolling500,4,0.001,0.9,0.95
GARCH-N,NIFTY,Rolling500,Rolling500,2,1.0,0.9,0.95
GARCH-N,NIKKEI,Inner-Shift,Rolling500,2,1.0,0.9,0.9
GARCH-N,SP500,Inner-Shift,Inner-Shift,4,0.001,0.9,0.9
GARCH-N,STOXX,Raw,Inner-Vol,2,1.0,0.9,0.9
GARCH-N,TLT,Raw,Inner-Shift,2,1.0,0.95,0.95
GARCH-N,UNG,Raw,Inner-Vol,2,1.0,0.95,0.9
GARCH-N,USDJPY,Raw,Raw,2,0.001,0.95,0.95
GARCH-N,USO,Inner-Shift,Rolling500,2,1.0,0.9,0.9
Hist-Sim,ASX200,Raw,Inner-Vol,2,0.0001,0.95,0.9
Hist-Sim,AUDUSD,Raw,Inner-Vol,4,0.01,0.95,0.9
Hist-Sim,BOVESPA,Raw,Inner-Shift,2,0.001,0.95,0.95
Hist-Sim,BTC,Raw,Inner-Vol,4,0.001,0.95,0.95
Hist-Sim,CBU0,Raw,Inner-Vol,2,1.0,0.95,0.95
Hist-Sim,DJCI,Raw,Inner-Shift,2,1.0,0.95,0.9
Hist-Sim,ETH,Raw,Inner-Vol,4,0.001,0.9,0.95
Hist-Sim,EURUSD,Raw,Raw,4,0.001,0.95,0.95
Hist-Sim,FCHI,Raw,Inner-Vol,4,0.001,0.95,0.9
Hist-Sim,FTSE100,Raw,Inner-Vol,2,1.0,0.9,0.95
Hist-Sim,GBPUSD,Raw,Inner-Vol,4,0.0001,0.9,0.9
Hist-Sim,GDAXI,Raw,Inner-Vol,2,1.0,0.95,0.9
Hist-Sim,GLD,Raw,Inner-Vol,2,1.0,0.9,0.95
Hist-Sim,HSI,Raw,Inner-Vol,2,0.001,0.9,0.9
Hist-Sim,IBGL,Raw,Inner-Vol,2,0.001,0.95,0.9
Hist-Sim,ICLN,Raw,Inner-Vol,4,0.0001,0.9,0.9
Hist-Sim,NIFTY,Raw,Inner-Vol,2,0.0001,0.9,0.9
Hist-Sim,NIKKEI,Raw,Inner-Vol,4,0.01,0.95,0.95
Hist-Sim,SP500,Raw,Inner-Vol,4,0.0001,0.95,0.9
Hist-Sim,STOXX,Raw,Inner-Vol,2,0.001,0.95,0.95
Hist-Sim,TLT,Raw,Inner-Vol,2,0.0001,0.9,0.9
Hist-Sim,UNG,Raw,Inner-Vol,2,0.0001,0.9,0.9
Hist-Sim,USDJPY,Raw,Raw,4,0.0,0.95,0.9
Hist-Sim,USO,Raw,Inner-Vol,4,0.0001,0.95,0.9
EWMA,ASX200,Inner-Shift,Inner-Shift,4,0.0,0.9,0.95
EWMA,AUDUSD,Raw,Inner-Vol,2,0.0001,0.95,0.95
EWMA,BOVESPA,Raw,Raw,2,0.001,0.95,0.95
EWMA,BTC,Raw,Inner-Shift,4,0.0001,0.95,0.95
EWMA,CBU0,Raw,Inner-Shift,2,0.0001,0.95,0.95
EWMA,DJCI,Inner-Shift,Inner-Shift,4,0.001,0.9,0.95
EWMA,ETH,Raw,Inner-Vol,2,1.0,0.9,0.95
EWMA,EURUSD,Raw,Raw,4,0.0,0.95,0.95
EWMA,FCHI,Inner-Shift,Inner-Shift,4,0.0001,0.9,0.9
EWMA,FTSE100,Inner-Vol,Inner-Shift,2,1.0,0.9,0.9
EWMA,GBPUSD,Raw,Inner-Shift,2,0.001,0.9,0.95
EWMA,GDAXI,Inner-Vol,Inner-Shift,2,0.001,0.95,0.95
EWMA,GLD,Raw,Inner-Vol,2,0.001,0.95,0.95
EWMA,HSI,Inner-Shift,Inner-Shift,2,0.0001,0.9,0.9
EWMA,IBGL,Raw,Rolling500,2,0.0001,0.95,0.9
EWMA,ICLN,Raw,Inner-Vol,2,1.0,0.95,0.9
EWMA,NIFTY,Raw,Inner-Vol,4,0.0,0.9,0.9
EWMA,NIKKEI,Inner-Shift,Inner-Shift,4,0.0001,0.9,0.9
EWMA,SP500,Inner-Shift,Rolling500,2,0.0,0.9,0.95
EWMA,STOXX,Raw,Rolling500,2,1.0,0.95,0.9
EWMA,TLT,Raw,Raw,2,0.0001,0.95,0.95
EWMA,UNG,Raw,Inner-Shift,4,0.001,0.9,0.9
EWMA,USDJPY,Raw,Raw,2,1.0,0.95,0.95
EWMA,USO,Inner-Shift,Rolling500,2,1.0,0.9,0.9
