model,asset,method,n_test,mean_var_pct,mean_loss_fraction_pct,ratio_to_raw
Hist-Sim,EURUSD,Loss-gate,1617,1.105706988161589,1.099355242153588,1.0
Hist-Sim,EURUSD,Past-minimum,1617,1.3592646870406364,1.3496737292766183,1.2293172618006392
Hist-Sim,FCHI,Raw,1891,3.2100401768486377,3.150991277493942,1.0
Hist-Sim,FCHI,Shift-CP,1891,3.559134969323985,3.488496673869832,1.1087509106562212
Hist-Sim,FCHI,Shift-ERM,1891,3.5524274262030855,3.482022906054647,1.1066613595131312
Hist-Sim,FCHI,Vol-CP,1891,3.4677523760382267,3.3992648349737613,1.0802831693659953
Hist-Sim,FCHI,Vol-ERM,1891,3.5370997260769697,3.4659286325528087,1.101886434813851
Hist-Sim,FCHI,State2-ERM,1891,3.42958000769764,3.3607353260732014,1.068391614669611
Hist-Sim,FCHI,State4-ERM,1891,3.388009200201869,3.320405345865783,1.0554413694372968
Hist-Sim,FCHI,State-L1,1891,3.4140512506520446,3.3464184605928966,1.06355405619991
Hist-Sim,FCHI,POT-Shift,1891,3.5472085159049787,3.476985587963155,1.1050355511086922
Hist-Sim,FCHI,POT-Vol,1891,3.494613450400656,3.425093677881614,1.0886510005713976
Hist-Sim,FCHI,Rolling250,1891,4.514181293292071,4.372949251925486,1.4062694061741419
Hist-Sim,FCHI,Rolling500,1891,4.005178975089417,3.912446501334509,1.2477036904321188
Hist-Sim,FCHI,Selected-rolling,1891,4.005178975089417,3.912446501334509,1.2477036904321188
Hist-Sim,FCHI,Gate-selected-rolling,1891,4.005178975089417,3.912446501334509,1.2477036904321188
Hist-Sim,FCHI,Loss-gate,1891,3.2100401768486377,3.150991277493942,1.0
Hist-Sim,FCHI,Past-minimum,1891,3.542402202782936,3.4710234149933696,1.1035382760413248
Hist-Sim,FTSE100,Raw,1867,2.625061542895326,2.586019176719849,1.0
Hist-Sim,FTSE100,Shift-CP,1867,2.982190059501925,2.933291807508908,1.1360457691261217
Hist-Sim,FTSE100,Shift-ERM,1867,2.96851287672955,2.9200149084861176,1.1308355359377258
Hist-Sim,FTSE100,Vol-CP,1867,2.909352381016433,2.861470433195381,1.1082987326108729
Hist-Sim,FTSE100,Vol-ERM,1867,2.9853185847661425,2.9348927825811493,1.1372375603329545
Hist-Sim,FTSE100,State2-ERM,1867,2.9352338377806766,2.8855018837793014,1.1181581040356274
Hist-Sim,FTSE100,State4-ERM,1867,2.9133475798955386,2.862334780346103,1.1098206774543828
Hist-Sim,FTSE100,State-L1,1867,2.96851287672955,2.9200149084861176,1.1308355359377258
Hist-Sim,FTSE100,POT-Shift,1867,2.930111718142455,2.88272791059341,1.1162068661105262
Hist-Sim,FTSE100,POT-Vol,1867,2.8699394564813865,2.823347159403994,1.0932846371731044
Hist-Sim,FTSE100,Rolling250,1867,3.8932383800103776,3.788873551392222,1.4831036592446165
Hist-Sim,FTSE100,Rolling500,1867,3.0986303069178356,3.04299367074818,1.1804029186684073
Hist-Sim,FTSE100,Selected-rolling,1867,3.0986303069178356,3.04299367074818,1.1804029186684073
Hist-Sim,FTSE100,Gate-selected-rolling,1867,3.0986303069178356,3.04299367074818,1.1804029186684073
Hist-Sim,FTSE100,Loss-gate,1867,2.625061542895326,2.586019176719849,1.0
Hist-Sim,FTSE100,Past-minimum,1867,3.023046897772322,2.972942095011031,1.1516099140434002
Hist-Sim,GBPUSD,Raw,1621,1.2924137659992607,1.2837038026224241,1.0
Hist-Sim,GBPUSD,Shift-CP,1621,1.4477874585060198,1.4369638633903514,1.1202197752719139
Hist-Sim,GBPUSD,Shift-ERM,1621,1.4441398879847787,1.433368641570665,1.1173974821199828
Hist-Sim,GBPUSD,Vol-CP,1621,1.4471293816275097,1.436216983139527,1.1197105909102003
Hist-Sim,GBPUSD,Vol-ERM,1621,1.5023272226268325,1.4905639708324918,1.162419700369929
Hist-Sim,GBPUSD,State2-ERM,1621,1.4728912344463485,1.4613612595254568,1.1396437218444104
Hist-Sim,GBPUSD,State4-ERM,1621,1.4368997909433099,1.4258824909082435,1.1117954858925045
Hist-Sim,GBPUSD,State-L1,1621,1.4728912344463487,1.461361259525457,1.1396437218444107
Hist-Sim,GBPUSD,POT-Shift,1621,1.500175672572521,1.4885857546779382,1.1607549470912855
Hist-Sim,GBPUSD,POT-Vol,1621,1.4745909873628695,1.463259554257208,1.1409588988885104
Hist-Sim,GBPUSD,Rolling250,1621,1.5293611707774384,1.5162402820326082,1.1833371099966397
Hist-Sim,GBPUSD,Rolling500,1621,1.4535981353391965,1.4423038620286552,1.124715763310763
Hist-Sim,GBPUSD,Selected-rolling,1621,1.4535981353391965,1.4423038620286552,1.124715763310763
Hist-Sim,GBPUSD,Gate-selected-rolling,1621,1.4535981353391965,1.4423038620286552,1.124715763310763
Hist-Sim,GBPUSD,Loss-gate,1621,1.2924137659992607,1.2837038026224241,1.0
Hist-Sim,GBPUSD,Past-minimum,1621,1.4617834487567645,1.4506484986097903,1.131049116941703
Hist-Sim,GDAXI,Raw,1878,3.268572665592927,3.209651587690247,1.0
Hist-Sim,GDAXI,Shift-CP,1878,3.5312209422033067,3.463536211975192,1.0803556486215473
Hist-Sim,GDAXI,Shift-ERM,1878,3.519124185460878,3.451857724438138,1.0766547192006515
Hist-Sim,GDAXI,Vol-CP,1878,3.5229670947260794,3.4547127340456014,1.0778304340029121
Hist-Sim,GDAXI,Vol-ERM,1878,3.524794212434031,3.456469885791326,1.0783894295936127
Hist-Sim,GDAXI,State2-ERM,1878,3.457744771533185,3.3909126240069245,1.057876059459104
Hist-Sim,GDAXI,State4-ERM,1878,3.4359755105075966,3.3699397890042926,1.0512158859666358
Hist-Sim,GDAXI,State-L1,1878,3.519124185460878,3.451857724438138,1.0766547192006515
Hist-Sim,GDAXI,POT-Shift,1878,3.637012273220002,3.565609420110382,1.1127218652672173
Hist-Sim,GDAXI,POT-Vol,1878,3.6041127292977566,3.532710821158959,1.102656449170287
Hist-Sim,GDAXI,Rolling250,1878,4.315592660430506,4.189516485526552,1.3203294226434608
Hist-Sim,GDAXI,Rolling500,1878,3.8960863002107065,3.811074342876276,1.1919839938770176
Hist-Sim,GDAXI,Selected-rolling,1878,3.8960863002107065,3.811074342876276,1.1919839938770176
Hist-Sim,GDAXI,Gate-selected-rolling,1878,3.8960863002107065,3.811074342876276,1.1919839938770176
Hist-Sim,GDAXI,Loss-gate,1878,3.4570405780236917,3.391282801390842,1.0576606157221768
Hist-Sim,GDAXI,Past-minimum,1878,3.4570405780236917,3.391282801390842,1.0576606157221768
Hist-Sim,GLD,Raw,1490,2.716146234248977,2.676507104948426,1.0
Hist-Sim,GLD,Shift-CP,1490,3.0571198218439566,3.0077893967222527,1.1255357989549706
Hist-Sim,GLD,Shift-ERM,1490,3.0458765071269847,2.9968836441606266,1.12139636250814
Hist-Sim,GLD,Vol-CP,1490,3.0291057138898276,2.979925290272722,1.1152218815373853
Hist-Sim,GLD,Vol-ERM,1490,3.106520140011855,3.054803891273533,1.143723449363844
Hist-Sim,GLD,State2-ERM,1490,3.0112956555813812,2.9618959402305043,1.1086647757071204
Hist-Sim,GLD,State4-ERM,1490,2.9657249482038384,2.915859826501338,1.0918870680848562
Hist-Sim,GLD,State-L1,1490,3.0458765071269847,2.9968836441606266,1.12139636250814
