model,asset,method,law,n_test,scored_days,qV,FZ0,QS,VaR_mean,ES_mean,violations,pihat,shortfall_gap,es_excess_days
Lag-Llama,AUDUSD,Raw,draws,1430,1430,0.004876360535021048,-3.6726766696160063,0.00023377788604850525,-0.01432978661511406,-0.02256205777312023,34,0.023776223776223775,0.0009154974281720034,10
Lag-Llama,AUDUSD,Static,draws,1430,1430,0.004876360535021048,-3.7971638602694178,0.00022455631318324057,-0.019206147150135106,-0.02743841830814128,9,0.006293706293706294,-0.0014339781814479463,3
GJR-GARCH,AUDUSD,Raw,normal,1430,1430,0.00200182130113892,-3.86297560739274,0.00020648210740248992,-0.0146728525541771,-0.0168097577317632,19,0.013286713286713287,-0.00251776978004309,8
GJR-GARCH,AUDUSD,Static,normal,1430,1430,0.00200182130113892,-3.8777432439773554,0.0002080470651137829,-0.016674673855316017,-0.01881157903290212,8,0.005594405594405594,-0.005441805273330382,5
GJR-GARCH-t,AUDUSD,Raw,student,1430,1430,0.0019233486758538244,-3.88810625997411,0.00020479926091486784,-0.015138218874095825,-0.018184124100032832,15,0.01048951048951049,-0.002560636221511763,5
GJR-GARCH-t,AUDUSD,Static,student,1430,1430,0.0019233486758538244,-3.879511017472232,0.00020893341428657788,-0.01706156754994965,-0.020107472775886655,7,0.0048951048951048955,-0.005213047036851112,5
GARCH-N,AUDUSD,Raw,normal,1430,1430,0.002009977855002924,-3.8830872710662008,0.00020404762339589744,-0.014638257905761851,-0.016765829165436417,20,0.013986013986013986,-0.0021476978032932506,9
GARCH-N,AUDUSD,Static,normal,1430,1430,0.002009977855002924,-3.8973337816878204,0.00020550760678826754,-0.016648235760764775,-0.018775807020439343,9,0.006293706293706294,-0.004235560878154402,5
Hist-Sim,AUDUSD,Raw,window,1430,1430,0.0028112191742757295,-3.747514479393157,0.00021613415778610616,-0.014727006395685497,-0.02152918232092157,18,0.012587412587412588,-0.00043051338307612225,9
Hist-Sim,AUDUSD,Static,window,1430,1430,0.0028112191742757295,-3.7729658614056434,0.00021788787522691617,-0.01753822556996123,-0.024340401495197297,10,0.006993006993006993,-0.001093074024815515,6
EWMA,AUDUSD,Raw,normal,1430,1430,0.002621876015672755,-3.8306769411958443,0.00021054050831284386,-0.0143972316082742,-0.016494397439078327,29,0.02027972027972028,-0.001472603634963432,13
EWMA,AUDUSD,Static,normal,1430,1430,0.002621876015672755,-3.872900750265208,0.00020936130339302506,-0.017019107623946955,-0.01911627345475108,8,0.005594405594405594,-0.004919461104426222,4
Moirai-1.1,BOVESPA,Raw,draws,1829,1829,0.0034528117841090243,-2.943331137506015,0.0005968601796506351,-0.034621430564088215,-0.052299623372885636,26,0.014215418261344996,-0.002149506189183678,8
Moirai-1.1,BOVESPA,Static,draws,1829,1829,0.0034528117841090243,-2.9689284789493025,0.0005921469394419345,-0.038074242348197236,-0.055752435156994656,16,0.008747949699289229,-0.004972562062664804,6
Lag-Llama,BOVESPA,Raw,draws,1829,1829,0.011544224795620783,-2.725039850056552,0.0005765951791170803,-0.028970320844445365,-0.04546619556455207,51,0.027884089666484417,0.002298833268382539,17
Lag-Llama,BOVESPA,Static,draws,1829,1829,0.011544224795620783,-3.0217806119303217,0.0005128812027508068,-0.040514545640066145,-0.057010420360172856,14,0.007654455986878075,0.005119129121591631,6
GJR-GARCH,BOVESPA,Raw,normal,1829,1829,0.00463888376866866,-3.0846685368951454,0.0004513325185405354,-0.028909845602582772,-0.033194282525539534,34,0.018589393110989613,-0.004474087554083462,22
GJR-GARCH,BOVESPA,Static,normal,1829,1829,0.00463888376866866,-3.1951861098902543,0.0004331736260356311,-0.03354872937125143,-0.03783316629420819,19,0.01038819026790596,-0.004837020098086744,11
GJR-GARCH-t,BOVESPA,Raw,student,1829,1829,0.002973458626881989,-3.130646852555226,0.0004519041345909646,-0.030075925218764486,-0.03650523049424542,27,0.014762165117550574,-0.004230223469819114,13
GJR-GARCH-t,BOVESPA,Static,student,1829,1829,0.002973458626881989,-3.1837557508538405,0.0004425894352952586,-0.03304938384564648,-0.03947868912112742,22,0.01202843083652269,-0.002865172005712306,11
GARCH-N,BOVESPA,Raw,normal,1829,1829,0.004678515002263531,-3.011780849385683,0.00047435877620021746,-0.028835557174805317,-0.033131926064485784,32,0.017495899398578457,-0.006546783236075949,21
GARCH-N,BOVESPA,Static,normal,1829,1829,0.004678515002263531,-3.129847983532284,0.0004577095111058914,-0.03351407217706885,-0.03781044106674932,18,0.009841443411700382,-0.008168010281779657,12
Hist-Sim,BOVESPA,Raw,window,1829,1829,0.003487835575226368,-2.9096810538084665,0.0006621636182480106,-0.040718548109994576,-0.051458360310376094,20,0.010934937124111536,-0.004663417383268699,13
Hist-Sim,BOVESPA,Static,window,1829,1829,0.003487835575226368,-2.9294333140482376,0.000660396938249809,-0.044206383685220944,-0.05494619588560248,17,0.009294696555494806,-0.0027665672924001034,8
EWMA,BOVESPA,Raw,normal,1829,1829,0.0033029658715502883,-3.0966136102409987,0.0004848017143783512,-0.02929156605085888,-0.03355830795819192,33,0.018042646254784037,-0.006263135195093313,18
EWMA,BOVESPA,Static,normal,1829,1829,0.0033029658715502883,-3.1635752398310104,0.000473891065773548,-0.03259453192240917,-0.036861273829742205,18,0.009841443411700382,-0.010334764323966208,12
Moirai-1.1,BTC,Raw,draws,1157,1157,0.022615959169785052,-2.3286486305978285,0.0009124074937477611,-0.05807224241997355,-0.08602281101643654,26,0.02247191011235955,0.004179565822667237,8
Moirai-1.1,BTC,Static,draws,1157,1157,0.022615959169785052,-2.444542866630363,0.0008814007113353803,-0.08068820158975859,-0.10863877018622159,5,0.00432152117545376,0.016117403304215995,1
Lag-Llama,BTC,Raw,draws,1157,1157,0.03686595187484931,-2.1549592421614343,0.0009857050675677478,-0.05734184134503635,-0.09489552966409982,27,0.023336214347450302,0.015554250708270215,10
Lag-Llama,BTC,Static,draws,1157,1157,0.03686595187484931,-2.2816169661377312,0.0010086504822327572,-0.09420779321988565,-0.13176148153894912,5,0.00432152117545376,0.007393038963785095,2
GJR-GARCH,BTC,Raw,normal,1157,1157,0.02438574718451586,-2.395136902310639,0.0008626158350575132,-0.05364889238217529,-0.0615964181230018,27,0.023336214347450302,-0.006303485829220618,15
GJR-GARCH,BTC,Static,normal,1157,1157,0.02438574718451586,-2.4882122946085317,0.0008572309975760122,-0.07803463956669116,-0.08598216530751766,4,0.003457216940363008,-0.012524790391645706,4
GJR-GARCH-t,BTC,Raw,student,1157,1157,0.01656075204089323,-2.518822377807523,0.0008350303829916368,-0.06758239376303442,-0.10014720212998227,12,0.010371650821089023,0.014373991526062899,1
GJR-GARCH-t,BTC,Static,student,1157,1157,0.01656075204089323,-2.419095391725134,0.0008983714400893632,-0.08414314580392765,-0.11670795417087551,5,0.00432152117545376,0.020337078579971676,1
GARCH-N,BTC,Raw,normal,1157,1157,0.025419725136944446,-2.323261103242533,0.0008969576644748199,-0.05380034916665657,-0.06180405060332577,31,0.02679343128781331,-0.0058435465144497205,19
GARCH-N,BTC,Static,normal,1157,1157,0.025419725136944446,-2.466473150846988,0.0008717862402342758,-0.07922007430360102,-0.08722377574027021,3,0.0025929127052722557,-0.02040842304883049,3
Hist-Sim,BTC,Raw,window,1157,1157,0.009930128792116966,-2.416487533601234,0.0008538682252050204,-0.06012213037229675,-0.08222484781121606,16,0.013828867761452032,-0.0005522331854825374,6
Hist-Sim,BTC,Static,window,1157,1157,0.009930128792116966,-2.4414931384011713,0.0008515219659424733,-0.07005225916441371,-0.09215497660333302,8,0.006914433880726016,-0.006731461002376397,5
EWMA,BTC,Raw,normal,1157,1157,0.031255280070011465,-2.2846675389450644,0.0008813432809558013,-0.05401370526347577,-0.06188158571131032,25,0.021607605877268798,-0.008326483551616207,16
EWMA,BTC,Static,normal,1157,1157,0.031255280070011465,-2.400327145064633,0.0009270572560290267,-0.08526898533348723,-0.0931368657813218,3,0.0025929127052722557,-0.019327300418579173,2
Moirai-1.1,CBU0,Raw,draws,1010,1010,0.0017485311191558367,-4.16022609439846,0.00015232340518750757,-0.012929618293032198,-0.01856942451720375,7,0.006930693069306931,0.00016557506594297493,4
Moirai-1.1,CBU0,Static,draws,1010,1010,0.0017485311191558367,-4.130024728138181,0.0001592076763572924,-0.014678149412188035,-0.020317955636359585,5,0.0049504950495049506,-0.00024203132782679403,3
Lag-Llama,CBU0,Raw,draws,1010,1010,0.0023487151044527532,-3.979124854225557,0.00016965100539318554,-0.010721894046047351,-0.017158277187574802,24,0.023762376237623763,0.002073702291347257,6
Lag-Llama,CBU0,Static,draws,1010,1010,0.0023487151044527532,-4.144528934956733,0.0001553079526828479,-0.013070609150500104,-0.019506992292027556,10,0.009900990099009901,0.0016757972486989002,2
GJR-GARCH,CBU0,Raw,normal,1010,1010,0.0009797167868971536,-4.322063405231851,0.00013268157309419048,-0.010951167965194152,-0.012544656474982097,15,0.01485148514851485,-0.00025400223268895407,8
GJR-GARCH,CBU0,Static,normal,1010,1010,0.0009797167868971536,-4.367379021924977,0.0001312064754688393,-0.011930884752091305,-0.01352437326187925,10,0.009900990099009901,0.00015348008862958582,3
GJR-GARCH-t,CBU0,Raw,student,1010,1010,0.0009689526970720229,-4.332177354670813,0.00013310709577963443,-0.011527869355063945,-0.013889858305939857,11,0.01089108910891089,0.0001819769985257633,5
GJR-GARCH-t,CBU0,Static,student,1010,1010,0.0009689526970720229,-4.344057024797359,0.00013415803356646243,-0.012496822052135967,-0.01485881100301188,5,0.0049504950495049506,-1.2070851116182877e-05,2
GARCH-N,CBU0,Raw,normal,1010,1010,0.0008719025978752119,-4.327543474808484,0.00013250843073514586,-0.010986923055124396,-0.012581238355500086,14,0.013861386138613862,-0.0002846634593033862,7
GARCH-N,CBU0,Static,normal,1010,1010,0.0008719025978752119,-4.3662951695827426,0.0001310855485251099,-0.011858825652999606,-0.013453140953375301,10,0.009900990099009901,0.00015978677085315012,3
Hist-Sim,CBU0,Raw,window,1010,1010,0.0015942762732092499,-4.26983250781356,0.000137918113893048,-0.011548135837281058,-0.013886556234734587,9,0.00891089108910891,-0.0005572882678775326,5
Hist-Sim,CBU0,Static,window,1010,1010,0.0015942762732092499,-4.239650108029287,0.00014418622991860654,-0.013142412110490312,-0.015480832507943834,5,0.0049504950495049506,-0.0013447305604922198,4
EWMA,CBU0,Raw,normal,1010,1010,0.000953552217514495,-4.269913365285831,0.0001398325361019242,-0.010287695979319878,-0.01178624827552183,18,0.01782178217821782,-0.0006810048470423308,10
EWMA,CBU0,Static,normal,1010,1010,0.000953552217514495,-4.330998871348763,0.0001355237985282488,-0.011241248196834374,-0.012739800493036328,12,0.011881188118811881,-0.0005058586104900143,8
Moirai-1.1,DJCI,Raw,draws,765,765,0.006236567538119572,-2.9914173963795077,0.00042250343107661355,-0.02463274645266044,-0.037437488048221744,11,0.01437908496732026,0.0011713572693272645,5
Moirai-1.1,DJCI,Static,draws,765,765,0.006236567538119572,-3.1777914805877656,0.000398658060904859,-0.030869313990780016,-0.04367405558634132,9,0.011764705882352941,0.007690796911654147,3
Lag-Llama,DJCI,Raw,draws,765,765,0.01148957549145414,-2.878761407447606,0.0004128496854752386,-0.020194303551786186,-0.030179586245806193,22,0.02875816993464052,0.0007889368794414073,7
Lag-Llama,DJCI,Static,draws,765,765,0.01148957549145414,-3.2674363729036355,0.00037828454716234706,-0.03168387904324032,-0.04166916173726033,4,0.00522875816993464,-0.005167373292699807,3
GJR-GARCH,DJCI,Raw,normal,765,765,0.005790209629512627,-3.1164884720073545,0.00036397362414894256,-0.019130359390041176,-0.02196057813710012,15,0.0196078431372549,-0.005690052698686707,11
GJR-GARCH,DJCI,Static,normal,765,765,0.005790209629512627,-3.349836706378555,0.00034519583708595667,-0.0249205690195538,-0.02775078776661274,6,0.00784313725490196,-0.008811401030366654,5
GJR-GARCH-t,DJCI,Raw,student,765,765,0.004358149306233308,-3.1984753712285667,0.00036275055785419617,-0.02011397098955411,-0.024386845245670856,14,0.018300653594771243,-0.0039935168206858464,9
GJR-GARCH-t,DJCI,Static,student,765,765,0.004358149306233308,-3.3658125674586614,0.000344349190176886,-0.02447212029578742,-0.028744994551904164,7,0.009150326797385621,-0.00627558261924043,5
GARCH-N,DJCI,Raw,normal,765,765,0.005590566164652259,-3.169430434116555,0.000364949947255242,-0.019827615645568064,-0.02276064957757682,14,0.018300653594771243,-0.005839338306768021,9
GARCH-N,DJCI,Static,normal,765,765,0.005590566164652259,-3.353780117530706,0.00034585801257292897,-0.025418181810220323,-0.02835121574222908,5,0.006535947712418301,-0.010461267681747068,4
Hist-Sim,DJCI,Raw,window,765,765,0.0023462858191845206,-3.31166956071164,0.00036854746789375775,-0.0228875440321462,-0.030343596231622038,11,0.01437908496732026,0.00016598027548709392,6
Hist-Sim,DJCI,Static,window,765,765,0.0023462858191845206,-3.3401281868531725,0.0003639871453136978,-0.025233829851330724,-0.03268988205080656,9,0.011764705882352941,0.00023341582346887637,5
EWMA,DJCI,Raw,normal,765,765,0.004670991584510686,-3.245942592409942,0.0003504534476539626,-0.020122763587042146,-0.02305393628498229,15,0.0196078431372549,-0.004322096095520437,11
EWMA,DJCI,Static,normal,765,765,0.004670991584510686,-3.4362425930050424,0.00032518522205213885,-0.024793755171552835,-0.027724927869492978,7,0.009150326797385621,-0.004503984572026917,4
Moirai-1.1,ETH,Raw,draws,812,812,0.015849058234102834,-1.9063288496360264,0.0013430140801947556,-0.08633602422772185,-0.12634382712485023,18,0.022167487684729065,0.00018312286091879852,6
Moirai-1.1,ETH,Static,draws,812,812,0.015849058234102834,-2.048130297496731,0.0012580981283335543,-0.1021850824618247,-0.14219288535895305,10,0.012315270935960592,0.009330341963370622,3
Lag-Llama,ETH,Raw,draws,812,812,0.04453995647374273,-1.4847213428784796,0.0015738317580450188,-0.08136083768371015,-0.12995591616358956,28,0.034482758620689655,0.007018062889088931,9
Lag-Llama,ETH,Static,draws,812,812,0.04453995647374273,-1.9355454063798823,0.0013891117877843676,-0.1259007941574529,-0.1744958726373323,4,0.0049261083743842365,-0.00890794761641537,2
GJR-GARCH,ETH,Raw,normal,812,812,0.023798624918001457,-2.0121802055329203,0.001278353503278881,-0.0838491832756443,-0.09611386614224435,13,0.01600985221674877,-0.01642047277717571,8
GJR-GARCH,ETH,Static,normal,812,812,0.023798624918001457,-2.087270133899125,0.0012614493185803299,-0.10764780819364576,-0.11991249106024582,5,0.006157635467980296,-0.018332000104577896,5
GJR-GARCH-t,ETH,Raw,student,812,812,0.001699754749949517,-2.0366920960511616,0.0012797167488903685,-0.10040940629544158,-0.14428725853333602,8,0.009852216748768473,0.007963784224793383,4
GJR-GARCH-t,ETH,Static,student,812,812,0.001699754749949517,-2.0377990299251145,0.0012799679441736125,-0.10210916104539113,-0.14598701328328553,8,0.009852216748768473,0.0096635389747429,4
GARCH-N,ETH,Raw,normal,812,812,0.033337430460484874,-1.9103447618373557,0.0013471073873314243,-0.0830607789549473,-0.09526289077620827,18,0.022167487684729065,-0.012128919172713982,11
GARCH-N,ETH,Static,normal,812,812,0.033337430460484874,-2.0655105698158427,0.001281147801425643,-0.11639820941543219,-0.12860032123669318,6,0.007389162561576354,-0.004042242960481788,3
Hist-Sim,ETH,Raw,window,812,812,0.012226974320976802,-1.987382840473764,0.0013197238559083148,-0.0921316036380168,-0.12740299085600523,13,0.01600985221674877,0.0006649708369235132,4
Hist-Sim,ETH,Static,window,812,812,0.012226974320976802,-2.027540271661,0.0012896480424126771,-0.10435857795899361,-0.139629965176982,8,0.009852216748768473,0.003909652300622943,4
EWMA,ETH,Raw,normal,812,812,0.025180158822611,-1.7378340031420718,0.001441284400954706,-0.08130874476165946,-0.09315254403496755,19,0.023399014778325122,-0.016418551291421456,13
EWMA,ETH,Static,normal,812,812,0.025180158822611,-2.0563893114977416,0.0012788494797325357,-0.10648890358427048,-0.11833270285757852,8,0.009852216748768473,-0.010968996243757025,7
Moirai-1.1,EURUSD,Raw,draws,1617,1617,9.055353342029421e-05,-4.118600899405102,0.00015800823792468227,-0.012779024235717607,-0.018962179989068455,21,0.012987012987012988,0.002311122658586897,6
Moirai-1.1,EURUSD,Static,draws,1617,1617,9.055353342029421e-05,-4.1220562563942895,0.00015773775334433594,-0.012869577769137901,-0.01905273352248875,21,0.012987012987012988,0.002401676192007191,6
Lag-Llama,EURUSD,Raw,draws,1617,1617,0.003313760396643108,-3.8519684628629736,0.00018014371867562103,-0.010374339054044607,-0.016507338352853302,45,0.027829313543599257,0.00181738541659609,11
Lag-Llama,EURUSD,Static,draws,1617,1617,0.003313760396643108,-4.108206281654119,0.0001601971625950704,-0.013688099450687717,-0.01982109874949641,12,0.0074211502782931356,0.0016698056970769783,3
GJR-GARCH,EURUSD,Raw,normal,1617,1617,0.0011376805799971444,-4.227627657652507,0.00014046777702009466,-0.010407840074589093,-0.011924116732013679,25,0.015460729746444033,-0.0009977087331654298,17
GJR-GARCH,EURUSD,Static,normal,1617,1617,0.0011376805799971444,-4.279070167749797,0.0001385286868362463,-0.011545520654586236,-0.013061797312010825,16,0.009894867037724181,-0.0010366186047203456,9
GJR-GARCH-t,EURUSD,Raw,student,1617,1617,0.0005758082990429004,-4.252840229621653,0.0001415012198238819,-0.01116926318643067,-0.01375342181910664,21,0.012987012987012988,-0.00024940472780632215,7
GJR-GARCH-t,EURUSD,Static,student,1617,1617,0.0005758082990429004,-4.272368626870731,0.0001405400704676663,-0.01174507148547357,-0.01432923011814954,17,0.010513296227581941,-4.143379721986695e-05,6
GARCH-N,EURUSD,Raw,normal,1617,1617,0.001178861966459454,-4.240982460827215,0.00013864018182129547,-0.01053157857338077,-0.012065168694363975,22,0.013605442176870748,-0.0011280060781725925,14
GARCH-N,EURUSD,Static,normal,1617,1617,0.001178861966459454,-4.275409453823597,0.000138748068325094,-0.011710440539840224,-0.01324403066082343,14,0.008658008658008658,-0.0012471815315785895,7
Hist-Sim,EURUSD,Raw,window,1617,1617,0.0020480026079692567,-4.220318819966443,0.00014248299721401097,-0.01105706988161589,-0.014431000739482627,21,0.012987012987012988,0.0006974116544369022,7
Hist-Sim,EURUSD,Static,window,1617,1617,0.0020480026079692567,-4.217486168517363,0.00014491440451872202,-0.013105072489585149,-0.016479003347451882,9,0.0055658627087198514,0.0007368667603027178,2
EWMA,EURUSD,Raw,normal,1617,1617,0.001161688375266607,-4.139834499242676,0.0001470488605360301,-0.010249920393349866,-0.011742970126955726,30,0.01855287569573284,-0.001073091321178593,17
EWMA,EURUSD,Static,normal,1617,1617,0.001161688375266607,-4.236980591162558,0.00014173013591087374,-0.011411608768616471,-0.012904658502222333,18,0.011131725417439703,-0.0012216750437270471,11
Moirai-1.1,FCHI,Raw,draws,1891,1891,0.0026687430785957283,-2.9680765602303483,0.0004966690323713329,-0.029889231083101025,-0.047003507473723234,31,0.01639344262295082,-0.0009020799527767455,16
Moirai-1.1,FCHI,Static,draws,1891,1891,0.0026687430785957283,-3.0391045928343394,0.000484194114674532,-0.03255797416169675,-0.04967225055231895,25,0.013220518244315178,-0.0005175835802840288,12
Lag-Llama,FCHI,Raw,draws,1891,1891,0.011473754550927237,-2.4935577912172087,0.0005769433514549662,-0.024632858860078412,-0.03963799081414757,55,0.02908514013749339,0.00047234390354775855,18
Lag-Llama,FCHI,Static,draws,1891,1891,0.011473754550927237,-2.9576810494681225,0.0005044311809277501,-0.03610661341100565,-0.051111745365074804,18,0.009518773135906928,-0.0022296184186268286,8
GJR-GARCH,FCHI,Raw,normal,1891,1891,0.0037917885938070217,-3.0572928450716215,0.0004090958880583279,-0.024338973785269592,-0.02793721369301111,45,0.023796932839767318,-0.0035572715814284283,26
GJR-GARCH,FCHI,Static,normal,1891,1891,0.0037917885938070217,-3.270794846526689,0.00037991980033674994,-0.028130762379076614,-0.03172900228681814,26,0.013749338974087784,-0.0034484421253194323,15
GJR-GARCH-t,FCHI,Raw,student,1891,1891,0.003367686494404269,-3.2287528616968837,0.00038805105707757985,-0.027169261881006067,-0.035767601949389265,31,0.01639344262295082,-0.0004346605812367898,13
GJR-GARCH-t,FCHI,Static,student,1891,1891,0.003367686494404269,-3.307448126467022,0.0003773920197198193,-0.030536948375410336,-0.039135288443793534,19,0.010047593865679535,-5.892354470424025e-05,8
GARCH-N,FCHI,Raw,normal,1891,1891,0.004444379891923238,-2.901056000190268,0.00046709491791905114,-0.02410390282697908,-0.027710735211423948,47,0.024854574299312534,-0.005625812142386456,33
GARCH-N,FCHI,Static,normal,1891,1891,0.004444379891923238,-3.1802642952412907,0.0004249666634398013,-0.028548282718902317,-0.03215511510334719,29,0.015335801163405606,-0.0051790930199561045,20
Hist-Sim,FCHI,Raw,window,1891,1891,0.0034909479247534694,-2.8899436430721446,0.0005453748591946493,-0.03210040176848638,-0.046433563476802345,32,0.016922263352723427,-0.0002705285562788677,14
Hist-Sim,FCHI,Static,window,1891,1891,0.0034909479247534694,-2.968330667057163,0.0005279273546235534,-0.03559134969323985,-0.0499245114015558,24,0.01269169751454257,0.0004105842394698164,11
EWMA,FCHI,Raw,normal,1891,1891,0.004045214724465257,-2.7125535647506354,0.0005099383074910256,-0.024647370770199392,-0.02823761820142888,51,0.026969857218402962,-0.0066255773205306625,40
EWMA,FCHI,Static,normal,1891,1891,0.004045214724465257,-3.0520075695814395,0.0004634042960619509,-0.02869258549466465,-0.032282832925894143,33,0.017451084082496033,-0.006626156536577735,23
Moirai-1.1,FTSE100,Raw,draws,1867,1867,0.0026007913080551767,-3.2897792048559293,0.00039267507015716793,-0.024783812764354634,-0.039067495042776436,30,0.016068559185859668,0.00313961791200733,8
Moirai-1.1,FTSE100,Static,draws,1867,1867,0.0026007913080551767,-3.3160633885827684,0.0003868511190694959,-0.027384604072409814,-0.04166828635083162,18,0.0096411355115158,0.0025274557555023123,8
Lag-Llama,FTSE100,Raw,draws,1867,1867,0.007335534961002081,-2.9515493817760134,0.00045495683696227576,-0.02042112222991646,-0.03274397701690952,55,0.02945902517407606,0.0005063935987401398,16
Lag-Llama,FTSE100,Static,draws,1867,1867,0.007335534961002081,-3.2662941099086362,0.0003995347306693643,-0.027756657190918545,-0.04007951197791161,18,0.0096411355115158,-0.0018063070828886736,9
GJR-GARCH,FTSE100,Raw,normal,1867,1867,0.0041582940495613445,-3.266235239512365,0.0003652244915084387,-0.0196695364066568,-0.022570749603376176,44,0.023567220139260846,-0.004007727933780738,26
GJR-GARCH,FTSE100,Static,normal,1867,1867,0.0041582940495613445,-3.4527937233236647,0.00033862769344740067,-0.02382783045621814,-0.02672904365293752,20,0.010712372790573112,-0.005646327299575664,13
GJR-GARCH-t,FTSE100,Raw,student,1867,1867,0.003231881794197875,-3.399240758985008,0.0003418057958332701,-0.021649887726664062,-0.02799690287847884,31,0.016604177825388325,-0.0009818872144328205,13
GJR-GARCH-t,FTSE100,Static,student,1867,1867,0.003231881794197875,-3.458159929440878,0.000334848128375023,-0.024881769520861942,-0.031228784672676712,16,0.00856989823245849,-0.002098438394087709,8
GARCH-N,FTSE100,Raw,normal,1867,1867,0.004564949567890915,-3.1714088622670045,0.00038484522035101926,-0.019835988011908327,-0.02279240318879302,47,0.025174076057846814,-0.004249883996699303,31
GARCH-N,FTSE100,Static,normal,1867,1867,0.004564949567890915,-3.4266057571649573,0.0003466503860426246,-0.024400937579799244,-0.027357352756683936,21,0.011247991430101767,-0.005533972899186582,13
Hist-Sim,FTSE100,Raw,window,1867,1867,0.0035712851660659843,-3.064389728505823,0.00045533474149116843,-0.026250615428953263,-0.04139369792827752,32,0.01713979646491698,0.0030162818609207167,12
Hist-Sim,FTSE100,Static,window,1867,1867,0.0035712851660659843,-3.133918999316425,0.000441377538344766,-0.029821900595019248,-0.0449649830943435,20,0.010712372790573112,0.0018104050411487291,9
EWMA,FTSE100,Raw,normal,1867,1867,0.00422610796102995,-3.014279220273225,0.00042007192009312576,-0.020371886845391717,-0.023339347963167313,41,0.02196036422067488,-0.006947133976913478,32
EWMA,FTSE100,Static,normal,1867,1867,0.00422610796102995,-3.2882055201137654,0.00038741966612159523,-0.024597994806421664,-0.02756545592419726,27,0.0144617032672737,-0.006721380228370088,19
Moirai-1.1,GBPUSD,Raw,draws,1621,1621,0.0004990875901830939,-4.033670190354256,0.00017851189421921767,-0.014940556009313844,-0.022956636195420932,17,0.010487353485502776,0.002941945085601896,1
Moirai-1.1,GBPUSD,Static,draws,1621,1621,0.0004990875901830939,-4.037188118515482,0.00017868951025171162,-0.015439643599496936,-0.023455723785604028,12,0.007402837754472548,0.0032318612387493974,1
