model,asset,n,frac_positive,frac_increasing,frac_decreasing,recon_as_negppf,recon_as_ppf,negation_recovers_ppf,median_|mu|/sigma,pihat_stored,pihat_corrected,scale_corrected
TimesFM-2.5,CBU0,3253,1.0,0.0,1.0,1.2846193553350815e-10,0.14427531004025332,1.2846193553350815e-10,0.07345326892150886,0.9864740239778665,0.011374116200430372,-2.4975857658498244
TimesFM-2.5,TLT,5434,1.0,0.0,1.0,1.5162035515992045e-10,0.2607302092124897,1.5162035515992045e-10,0.0432136987618216,0.9904306220095693,0.008649245491350755,-2.5465496161827716
TimesFM-2.5,IBGL,4086,1.0,0.0,1.0,1.0536889416545847e-10,0.3229761833768023,1.0536889416545847e-10,0.06908848654450411,0.9902104747919726,0.012726382770435633,-2.4706866567870707
TimesFM-2.5,DJCI,2310,1.0,0.0,1.0,9.820391722037414e-11,0.1408723202919516,9.820391722037414e-11,0.061806656854746095,0.9913419913419913,0.01341991341991342,-2.466688916647199
TimesFM-2.5,GOLD,5897,1.0,0.0,1.0,1.3620080757670294e-10,0.1906560882598447,1.3620080757670294e-10,0.08054432753922487,0.9866033576394777,0.017466508394098693,-2.4340760924006712
TimesFM-2.5,WTI,5904,1.0,0.0,1.0,4.917083962219237e-10,0.6541466943830475,4.917083962219237e-10,0.06765856530357463,0.9913617886178862,0.013719512195121951,-2.413421072652471
TimesFM-2.5,NATGAS,5902,1.0,0.0,1.0,4.498157679666548e-10,0.5725661334825247,4.498157679666548e-10,0.06881632141980606,0.9849203659776347,0.008980006777363606,-2.4156035589102904
TimesFM-2.5,BTC,3688,1.0,0.0,1.0,4.545185339210889e-10,0.5399330721764207,4.545185339210889e-10,0.1312043778081118,0.9883405639913232,0.011117136659436009,-2.7352581223847463
TimesFM-2.5,ETH,2538,1.0,0.0,1.0,5.569394390114724e-10,0.5086600532292518,5.569394390114724e-10,0.10708601086186258,0.9901497241922774,0.01024428684003152,-2.6456763433059387
TimesFM-2.5,EURUSD,5271,1.0,0.0,1.0,6.264733176664095e-11,0.1523436066792409,6.264733176664095e-11,0.05463188545831117,0.9884272434073231,0.011193321950294061,-2.41427784476779
TimesFM-2.5,GBPUSD,5283,1.0,0.0,1.0,8.681046853586949e-11,0.14314848561528914,8.681046853586949e-11,0.05047616886633082,0.9890213893621048,0.013817906492523187,-2.4280136655500737
TimesFM-2.5,USDJPY,6291,1.0,0.0,1.0,6.771968055763189e-11,0.16365129463239042,6.771968055763189e-11,0.06524042367356477,0.9876013352408202,0.013670322683198219,-2.468848812094021
TimesFM-2.5,AUDUSD,4647,1.0,0.0,1.0,1.4740286768955002e-10,0.19867875418382092,1.4740286768955002e-10,0.05639313502723706,0.9920378738971379,0.01312674843985367,-2.4416883037484656
