model,method,QS,violation_rate
GJR-GARCH,State-L1-clipped,0.0004453649528922,0.010593593682221479
GJR-GARCH,State2-ERM,0.0004464219674992417,0.010677727677521974
GJR-GARCH,State4-ERM,0.0004499087809753208,0.010658904987477279
GJR-GARCH,Vol-CP,0.00044781947865162915,0.009924104219772783
GJR-GARCH,Vol-ERM,0.00044516457702178746,0.011420004805065616
GJR-GARCH-t,ACI-existing,0.00046357336326665,0.012130723113859508
GJR-GARCH-t,DtACI-projected-expected,0.0004645003714711917,0.012273319344450896
GJR-GARCH-t,DtACI-projected-seed,0.0004648543602212417,0.012219906429765571
GJR-GARCH-t,Gate-selected-rolling,0.0004499084428581125,0.010271082235687333
GJR-GARCH-t,Loss-gate,0.000449515314867975,0.014271267433851341
GJR-GARCH-t,POT-Shift,0.000445246116510675,0.009485929551925338
GJR-GARCH-t,POT-Vol,0.0004515965247410541,0.009492011680991341
GJR-GARCH-t,Past-minimum,0.00044798378713829166,0.010755341328436993
GJR-GARCH-t,Raw,0.00045026856117822914,0.014636533156966216
GJR-GARCH-t,Rolling250,0.000474435212518575,0.0084443888081112
GJR-GARCH-t,Rolling500,0.00045239765337847914,0.010031825385767074
GJR-GARCH-t,Selected-rolling,0.00045231193591645415,0.01009892146735591
GJR-GARCH-t,Shift-CP,0.00044701873280949585,0.009526091035860178
GJR-GARCH-t,Shift-ERM,0.0004466990982016917,0.009790779461886055
GJR-GARCH-t,State-L1,0.00044659703663047504,0.01004488592991872
GJR-GARCH-t,State-L1-clipped,0.0004465800166237917,0.01004488592991872
GJR-GARCH-t,State2-ERM,0.000449999318505825,0.010300474814426204
GJR-GARCH-t,State4-ERM,0.00045283125406740416,0.010625116167412704
GJR-GARCH-t,Vol-CP,0.00045076474302042083,0.009695788771409267
GJR-GARCH-t,Vol-ERM,0.000446385582906975,0.010843080176185313
Hist-Sim,ACI-existing,0.0005606677070114833,0.01424517867682888
Hist-Sim,DtACI-projected-expected,0.0005227267278264667,0.014920234667476261
Hist-Sim,DtACI-projected-seed,0.0005200060368932875,0.014594322065945435
Hist-Sim,Gate-selected-rolling,0.0005346218343705709,0.011776701069347216
Hist-Sim,Loss-gate,0.0005143669382493542,0.014334864578554445
Hist-Sim,POT-Shift,0.0005088279780281292,0.009072948477332555
Hist-Sim,POT-Vol,0.0005036297628919,0.00889379316471737
Hist-Sim,Past-minimum,0.0005062973183988708,0.009875113733624246
Hist-Sim,Raw,0.0005149574236724541,0.014401424748948483
Hist-Sim,Rolling250,0.0005567601841279833,0.012868910402741613
Hist-Sim,Rolling500,0.000531228220710425,0.011260180746789179
Hist-Sim,Selected-rolling,0.000538982295081475,0.011285176795816873
Hist-Sim,Shift-CP,0.0005088468083189083,0.009399739360166541
Hist-Sim,Shift-ERM,0.0005084408694037292,0.009833189604893234
Hist-Sim,State-L1,0.0005038432034680167,0.011414606080410375
Hist-Sim,State-L1-clipped,0.000502303734938675,0.010999582189496657
Hist-Sim,State2-ERM,0.0005052795644798125,0.011187410458237533
Hist-Sim,State4-ERM,0.0005041112459083,0.011541546407314992
Hist-Sim,Vol-CP,0.0005019049265691458,0.009472519955708374
Hist-Sim,Vol-ERM,0.0005019621020167791,0.008268196857159613
Lag-Llama,ACI-existing,0.0005111248308433209,0.01242948822765715
Lag-Llama,DtACI-projected-expected,0.0005104646989723417,0.01272646000530813
Lag-Llama,DtACI-projected-seed,0.0005115297244500333,0.012987109353686422
Lag-Llama,Gate-selected-rolling,0.000517966975384125,0.009377939909569812
Lag-Llama,Loss-gate,0.0005090045887417041,0.015418367752323017
Lag-Llama,POT-Shift,0.0005015244829681584,0.008968313610134863
Lag-Llama,POT-Vol,0.0004846113815823292,0.009467212899297958
Lag-Llama,Past-minimum,0.000497707105247625,0.010682872920884372
Lag-Llama,Raw,0.0005656346819635209,0.028454909942031457
Lag-Llama,Rolling250,0.0005147889157786333,0.008740234676446162
Lag-Llama,Rolling500,0.0005095407114436584,0.009987989503387062
Lag-Llama,Selected-rolling,0.000517966975384125,0.009377939909569812
Lag-Llama,Shift-CP,0.0005052307553950291,0.009106887777675007
Lag-Llama,Shift-ERM,0.0005042521941290666,0.009346901224261675
Lag-Llama,State-L1,0.0005093000186896709,0.011563249309292938
Lag-Llama,State-L1-clipped,0.0005031961234301499,0.011162093160058442
Lag-Llama,State2-ERM,0.0004955605539574791,0.010990440263632592
Lag-Llama,State4-ERM,0.0005041884278215042,0.011802534564811546
Lag-Llama,Vol-CP,0.00048594419231715,0.009746424229691382
Lag-Llama,Vol-ERM,0.0004847836068821542,0.009138704273986333
Moirai-1.1,ACI-existing,0.0005184864084556209,0.012087883676858596
Moirai-1.1,DtACI-projected-expected,0.0005130533558574792,0.012469615516401975
Moirai-1.1,DtACI-projected-seed,0.000512944187929925,0.012322989570187709
Moirai-1.1,Gate-selected-rolling,0.00051369411696335,0.009881245577203174
Moirai-1.1,Loss-gate,0.0005097166236008667,0.013419230191973863
Moirai-1.1,POT-Shift,0.0005024021070977625,0.00902503186015693
Moirai-1.1,POT-Vol,0.0004968701597649417,0.00887595110624959
Moirai-1.1,Past-minimum,0.0004985498307353792,0.010215013923572845
Moirai-1.1,Raw,0.0005112614974651083,0.013806611864215529
Moirai-1.1,Rolling250,0.000522400777261525,0.00799427718759812
Moirai-1.1,Rolling500,0.0005128841246104166,0.01032923445672075
Moirai-1.1,Selected-rolling,0.0005165782990837125,0.009031498736640392
Moirai-1.1,Shift-CP,0.0005029645706593209,0.009143086567474258
Moirai-1.1,Shift-ERM,0.0005026132193694958,0.00942698410741388
Moirai-1.1,State-L1,0.0005008722782800374,0.01019359987259443
Moirai-1.1,State-L1-clipped,0.0005000889131229291,0.010068474747469304
Moirai-1.1,State2-ERM,0.0004998171286356166,0.010079245044443458
Moirai-1.1,State4-ERM,0.0004959977622192792,0.010643621804292742
Moirai-1.1,Vol-CP,0.0004971226954460042,0.00956089514430667
Moirai-1.1,Vol-ERM,0.0004968445317052084,0.008677061520954396
PatchTST-FM,ACI-existing,0.0004955525713432542,0.01259320484806465
PatchTST-FM,DtACI-projected-expected,0.0004895170718249208,0.013306265875914854
PatchTST-FM,DtACI-projected-seed,0.0004893904190736958,0.013485210706059346
PatchTST-FM,Gate-selected-rolling,0.0004898345616818834,0.01082691691376072
PatchTST-FM,Loss-gate,0.000490978857469925,0.016240149845822588
PatchTST-FM,POT-Shift,0.00047366801633155417,0.009010915720632813
PatchTST-FM,POT-Vol,0.00047007470571792503,0.008655970258919428
PatchTST-FM,Past-minimum,0.0004819235119135083,0.010659476454017679
PatchTST-FM,Raw,0.0004957841437729833,0.018215495703363532
PatchTST-FM,Rolling250,0.0005013939386750416,0.009421021735409305
PatchTST-FM,Rolling500,0.0004861059727719708,0.011129894331749683
PatchTST-FM,Selected-rolling,0.0004900192593751292,0.010310369968642345
PatchTST-FM,Shift-CP,0.0004756216879103917,0.009152325979537397
PatchTST-FM,Shift-ERM,0.0004738282775557125,0.009604818414452683
PatchTST-FM,State-L1,0.0004761005063114708,0.009883883500396847
PatchTST-FM,State-L1-clipped,0.00047576935192820833,0.009807603933836418
PatchTST-FM,State2-ERM,0.0004745013255064542,0.0099672908000166
PatchTST-FM,State4-ERM,0.00048022940936068336,0.01069868643763282
PatchTST-FM,Vol-CP,0.00047012410684950417,0.00913947055542453
PatchTST-FM,Vol-ERM,0.0004700281030390917,0.009115934735002983
TS-ICL,ACI-existing,0.0004932693677885959,0.01264658052795837
TS-ICL,DtACI-projected-expected,0.0004878880871917041,0.01340261843891447
TS-ICL,DtACI-projected-seed,0.00048692503698199166,0.01319534212413172
TS-ICL,Gate-selected-rolling,0.0004715163163041833,0.010982505633278962
TS-ICL,Loss-gate,0.00046918613347518334,0.011394160797230197
TS-ICL,POT-Shift,0.0004698992990888042,0.009234715599544458
TS-ICL,POT-Vol,0.000471738030545225,0.008769321126542058
TS-ICL,Past-minimum,0.00047047174677879584,0.010174803409857122
TS-ICL,Raw,0.00046918613347518334,0.011394160797230197
TS-ICL,Rolling250,0.0005014330122354583,0.0091799070117442
TS-ICL,Rolling500,0.000480894446943725,0.011530820352139546
TS-ICL,Selected-rolling,0.00048174481194673753,0.011072215172293412
TS-ICL,Shift-CP,0.0004702049506376833,0.009330884397385834
TS-ICL,Shift-ERM,0.00047002940941705414,0.009690306614659592
TS-ICL,State-L1,0.0004780037379754167,0.010285911771915962
TS-ICL,State-L1-clipped,0.00047740261262384584,0.01018805557783232
TS-ICL,State2-ERM,0.0004738142996080375,0.010106495960623229
TS-ICL,State4-ERM,0.00047853062770555004,0.00963778669014765
TS-ICL,Vol-CP,0.0004699992876710125,0.00947018647964033
TS-ICL,Vol-ERM,0.00047016474689495004,0.00985108676632764
