item,value,definition
bootstrap_variance_contrast1_block20_x1e8,0.0052506905508674494,variance (ddof=1) of the 999 contrast-1 draws
bootstrap_variance_contrast1_block20_without_top10_abs_date_sum_x1e8,0.001942030798310116,same draws with those ten dates removed from every pair
fraction_of_bootstrap_variance_from_top10_abs_date_sum_block20,0.6301380209905383,1 - leave-out variance / full variance
point_contrast1_block20_without_top10_abs_date_sum_x1e4,-0.03640467765424171,contrast 1 point with those ten dates removed
bootstrap_variance_contrast1_block60_x1e8,0.005962609016520045,variance (ddof=1) of the 999 contrast-1 draws
bootstrap_variance_contrast1_block60_without_top10_abs_date_sum_x1e8,0.0023808198391847245,same draws with those ten dates removed from every pair
fraction_of_bootstrap_variance_from_top10_abs_date_sum_block60,0.6007083757146563,1 - leave-out variance / full variance
point_contrast1_block60_without_top10_abs_date_sum_x1e4,-0.03640467765424171,contrast 1 point with those ten dates removed
top10_dates_max_abs_dit,2024-08-27;2025-10-10;2026-02-05;2025-04-06;2025-03-03;2024-03-19;2024-01-12;2023-08-17;2026-06-05;2025-02-24,"ten calendar dates, descending"
top10_dates_max_abs_dit_share_of_pooled_sum,0.4421327359886061,sum of d_it on those dates / sum over all observations
bootstrap_variance_contrast1_block20_x1e8,0.0052506905508674494,variance (ddof=1) of the 999 contrast-1 draws
bootstrap_variance_contrast1_block20_without_top10_max_abs_dit_x1e8,0.003072328109149687,same draws with those ten dates removed from every pair
fraction_of_bootstrap_variance_from_top10_max_abs_dit_block20,0.41487160986051297,1 - leave-out variance / full variance
point_contrast1_block20_without_top10_max_abs_dit_x1e4,-0.05202687713989343,contrast 1 point with those ten dates removed
bootstrap_variance_contrast1_block60_x1e8,0.005962609016520045,variance (ddof=1) of the 999 contrast-1 draws
bootstrap_variance_contrast1_block60_without_top10_max_abs_dit_x1e8,0.003413271467470682,same draws with those ten dates removed from every pair
fraction_of_bootstrap_variance_from_top10_max_abs_dit_block60,0.4275540358232699,1 - leave-out variance / full variance
point_contrast1_block60_without_top10_max_abs_dit_x1e4,-0.05202687713989343,contrast 1 point with those ten dates removed
