key,model,asset,n_cal,calibration_first,calibration_last,calibration_sd,test_first,test_last,high_days,other_days,matched,input_folder
EWMA__IBGL,EWMA,IBGL,3122,2008-12-29,2021-05-06,0.0085959294829464437,2021-05-07,2026-08-28,205,1134,True,artifacts/review_20260909/controlled/EWMA__IBGL/full
EWMA__ICLN,EWMA,ICLN,3026,2009-06-24,2021-06-30,0.017175942859077271,2021-07-01,2026-08-31,119,1178,True,artifacts/review_20260909/controlled/EWMA__ICLN/full
EWMA__NIFTY,EWMA,NIFTY,3079,2008-09-19,2021-04-29,0.013422230950065141,2021-04-30,2026-08-31,32,1288,True,artifacts/review_20260909/controlled/EWMA__NIFTY/full
EWMA__NIKKEI,EWMA,NIKKEI,4395,2001-01-10,2018-12-04,0.015087051807810366,2018-12-05,2026-08-31,162,1722,True,artifacts/review_20260909/controlled/EWMA__NIKKEI/full
EWMA__SP500,EWMA,SP500,4517,2000-12-29,2018-12-13,0.011924161967515268,2018-12-14,2026-08-31,181,1756,True,artifacts/review_20260909/controlled/EWMA__SP500/full
EWMA__STOXX,EWMA,STOXX,3757,2005-04-19,2020-04-02,0.012103871162914845,2020-04-03,2026-08-31,83,1528,True,artifacts/review_20260909/controlled/EWMA__STOXX/full
EWMA__TLT,EWMA,TLT,4066,2003-07-29,2019-09-20,0.0084244348906587132,2019-09-23,2026-08-31,371,1373,True,artifacts/review_20260909/controlled/EWMA__TLT/full
EWMA__UNG,EWMA,UNG,3236,2008-04-16,2021-02-22,0.027200628865590267,2021-02-23,2026-08-31,495,892,True,artifacts/r8_commodity_etp/controlled/EWMA__UNG/full
EWMA__USDJPY,EWMA,USDJPY,4669,2000-12-19,2018-12-19,0.0076089857532242334,2018-12-20,2026-08-31,121,1881,True,artifacts/review_20260909/controlled/EWMA__USDJPY/full
EWMA__USO,EWMA,USO,3415,2007-04-11,2020-10-29,0.024312870721231863,2020-10-30,2026-08-31,199,1265,True,artifacts/r8_commodity_etp/controlled/EWMA__USO/full
GARCH-N__ASX200,GARCH-N,ASX200,4540,2001-01-02,2018-12-18,0.0098357904587164143,2018-12-19,2026-08-31,110,1836,True,artifacts/review_20260909/controlled/GARCH-N__ASX200/full
GARCH-N__AUDUSD,GARCH-N,AUDUSD,3518,2007-05-02,2020-11-10,0.008427105549073154,2020-11-11,2026-08-31,31,1478,True,artifacts/review_20260909/controlled/GARCH-N__AUDUSD/full
GARCH-N__BOVESPA,GARCH-N,BOVESPA,4449,2001-01-05,2019-01-02,0.017528004025414844,2019-01-03,2026-08-31,53,1854,True,artifacts/review_20260909/controlled/GARCH-N__BOVESPA/full
GARCH-N__BTC,GARCH-N,BTC,2881,2015-05-26,2023-04-14,0.038218245845250652,2023-04-15,2026-08-31,0,1235,False,artifacts/review_20260909/controlled/GARCH-N__BTC/full
GARCH-N__CBU0,GARCH-N,CBU0,2539,2012-03-06,2022-05-04,0.0033644226827288818,2022-05-05,2026-08-28,538,551,True,artifacts/review_20260909/controlled/GARCH-N__CBU0/full
GARCH-N__DJCI,GARCH-N,DJCI,1966,2015-07-02,2023-04-21,0.01013542878987566,2023-04-24,2026-08-31,77,766,True,artifacts/review_20260909/controlled/GARCH-N__DJCI/full
GARCH-N__ETH,GARCH-N,ETH,2076,2018-07-18,2024-03-23,0.045771015804729302,2024-03-24,2026-08-31,4,887,True,artifacts/review_20260909/controlled/GARCH-N__ETH/full
GARCH-N__EURUSD,GARCH-N,EURUSD,3955,2004-11-17,2020-02-21,0.0076578790555231185,2020-02-24,2026-08-31,38,1658,True,artifacts/review_20260909/controlled/GARCH-N__EURUSD/full
GARCH-N__FCHI,GARCH-N,FCHI,4594,2000-12-28,2018-12-18,0.014301397997656036,2018-12-19,2026-08-31,104,1865,True,artifacts/review_20260909/controlled/GARCH-N__FCHI/full
GARCH-N__FTSE100,GARCH-N,FTSE100,4538,2000-12-29,2018-12-12,0.011743188843602927,2018-12-13,2026-08-28,89,1856,True,artifacts/review_20260909/controlled/GARCH-N__FTSE100/full
GARCH-N__GBPUSD,GARCH-N,GBPUSD,3964,2004-11-17,2020-02-18,0.0059392857683799108,2020-02-19,2026-08-31,133,1566,True,artifacts/review_20260909/controlled/GARCH-N__GBPUSD/full
GARCH-N__GDAXI,GARCH-N,GDAXI,4563,2000-12-27,2018-12-13,0.014785545563910903,2018-12-14,2026-08-31,83,1873,True,artifacts/review_20260909/controlled/GARCH-N__GDAXI/full
GARCH-N__GLD,GARCH-N,GLD,3659,2005-11-16,2020-06-02,0.011737321865328405,2020-06-03,2026-08-31,148,1421,True,artifacts/r8_commodity_etp/controlled/GARCH-N__GLD/full
GARCH-N__HSI,GARCH-N,HSI,4421,2001-01-08,2018-12-11,0.014435830583005438,2018-12-12,2026-08-31,138,1758,True,artifacts/review_20260909/controlled/GARCH-N__HSI/full
GARCH-N__IBGL,GARCH-N,IBGL,3122,2008-12-29,2021-05-06,0.0085959294829464437,2021-05-07,2026-08-28,205,1134,True,artifacts/review_20260909/controlled/GARCH-N__IBGL/full
GARCH-N__ICLN,GARCH-N,ICLN,3026,2009-06-24,2021-06-30,0.017175942859077271,2021-07-01,2026-08-31,119,1178,True,artifacts/review_20260909/controlled/GARCH-N__ICLN/full
GARCH-N__NIFTY,GARCH-N,NIFTY,3079,2008-09-19,2021-04-29,0.013422230950065141,2021-04-30,2026-08-31,32,1288,True,artifacts/review_20260909/controlled/GARCH-N__NIFTY/full
GARCH-N__NIKKEI,GARCH-N,NIKKEI,4395,2001-01-10,2018-12-04,0.015087051807810366,2018-12-05,2026-08-31,162,1722,True,artifacts/review_20260909/controlled/GARCH-N__NIKKEI/full
GARCH-N__SP500,GARCH-N,SP500,4517,2000-12-29,2018-12-13,0.011924161967515268,2018-12-14,2026-08-31,181,1756,True,artifacts/review_20260909/controlled/GARCH-N__SP500/full
GARCH-N__STOXX,GARCH-N,STOXX,3757,2005-04-19,2020-04-02,0.012103871162914845,2020-04-03,2026-08-31,83,1528,True,artifacts/review_20260909/controlled/GARCH-N__STOXX/full
GARCH-N__TLT,GARCH-N,TLT,4066,2003-07-29,2019-09-20,0.0084244348906587132,2019-09-23,2026-08-31,371,1373,True,artifacts/review_20260909/controlled/GARCH-N__TLT/full
GARCH-N__UNG,GARCH-N,UNG,3236,2008-04-16,2021-02-22,0.027200628865590267,2021-02-23,2026-08-31,495,892,True,artifacts/r8_commodity_etp/controlled/GARCH-N__UNG/full
GARCH-N__USDJPY,GARCH-N,USDJPY,4669,2000-12-19,2018-12-19,0.0076089857532242334,2018-12-20,2026-08-31,121,1881,True,artifacts/review_20260909/controlled/GARCH-N__USDJPY/full
GARCH-N__USO,GARCH-N,USO,3415,2007-04-11,2020-10-29,0.024312870721231863,2020-10-30,2026-08-31,199,1265,True,artifacts/r8_commodity_etp/controlled/GARCH-N__USO/full
GJR-GARCH__ASX200,GJR-GARCH,ASX200,4540,2001-01-02,2018-12-18,0.0098357904587164143,2018-12-19,2026-08-31,110,1836,True,artifacts/review_20260909/controlled/GJR-GARCH__ASX200/full
GJR-GARCH__AUDUSD,GJR-GARCH,AUDUSD,3518,2007-05-02,2020-11-10,0.008427105549073154,2020-11-11,2026-08-31,31,1478,True,artifacts/review_20260909/controlled/GJR-GARCH__AUDUSD/full
GJR-GARCH__BOVESPA,GJR-GARCH,BOVESPA,4449,2001-01-05,2019-01-02,0.017528004025414844,2019-01-03,2026-08-31,53,1854,True,artifacts/review_20260909/controlled/GJR-GARCH__BOVESPA/full
GJR-GARCH__BTC,GJR-GARCH,BTC,2881,2015-05-26,2023-04-14,0.038218245845250652,2023-04-15,2026-08-31,0,1235,False,artifacts/review_20260909/controlled/GJR-GARCH__BTC/full
GJR-GARCH__CBU0,GJR-GARCH,CBU0,2539,2012-03-06,2022-05-04,0.0033644226827288818,2022-05-05,2026-08-28,538,551,True,artifacts/review_20260909/controlled/GJR-GARCH__CBU0/full
GJR-GARCH__DJCI,GJR-GARCH,DJCI,1966,2015-07-02,2023-04-21,0.01013542878987566,2023-04-24,2026-08-31,77,766,True,artifacts/review_20260909/controlled/GJR-GARCH__DJCI/full
GJR-GARCH__ETH,GJR-GARCH,ETH,2076,2018-07-18,2024-03-23,0.045771015804729302,2024-03-24,2026-08-31,4,887,True,artifacts/review_20260909/controlled/GJR-GARCH__ETH/full
GJR-GARCH__EURUSD,GJR-GARCH,EURUSD,3955,2004-11-17,2020-02-21,0.0076578790555231185,2020-02-24,2026-08-31,38,1658,True,artifacts/review_20260909/controlled/GJR-GARCH__EURUSD/full
GJR-GARCH__FCHI,GJR-GARCH,FCHI,4594,2000-12-28,2018-12-18,0.014301397997656036,2018-12-19,2026-08-31,104,1865,True,artifacts/review_20260909/controlled/GJR-GARCH__FCHI/full
GJR-GARCH__FTSE100,GJR-GARCH,FTSE100,4538,2000-12-29,2018-12-12,0.011743188843602927,2018-12-13,2026-08-28,89,1856,True,artifacts/review_20260909/controlled/GJR-GARCH__FTSE100/full
GJR-GARCH__GBPUSD,GJR-GARCH,GBPUSD,3964,2004-11-17,2020-02-18,0.0059392857683799108,2020-02-19,2026-08-31,133,1566,True,artifacts/review_20260909/controlled/GJR-GARCH__GBPUSD/full
GJR-GARCH__GDAXI,GJR-GARCH,GDAXI,4563,2000-12-27,2018-12-13,0.014785545563910903,2018-12-14,2026-08-31,83,1873,True,artifacts/review_20260909/controlled/GJR-GARCH__GDAXI/full
GJR-GARCH__GLD,GJR-GARCH,GLD,3659,2005-11-16,2020-06-02,0.011737321865328405,2020-06-03,2026-08-31,148,1421,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH__GLD/full
GJR-GARCH__HSI,GJR-GARCH,HSI,4421,2001-01-08,2018-12-11,0.014435830583005438,2018-12-12,2026-08-31,138,1758,True,artifacts/review_20260909/controlled/GJR-GARCH__HSI/full
GJR-GARCH__IBGL,GJR-GARCH,IBGL,3122,2008-12-29,2021-05-06,0.0085959294829464437,2021-05-07,2026-08-28,205,1134,True,artifacts/review_20260909/controlled/GJR-GARCH__IBGL/full
GJR-GARCH__ICLN,GJR-GARCH,ICLN,3026,2009-06-24,2021-06-30,0.017175942859077271,2021-07-01,2026-08-31,119,1178,True,artifacts/review_20260909/controlled/GJR-GARCH__ICLN/full
GJR-GARCH__NIFTY,GJR-GARCH,NIFTY,3079,2008-09-19,2021-04-29,0.013422230950065141,2021-04-30,2026-08-31,32,1288,True,artifacts/review_20260909/controlled/GJR-GARCH__NIFTY/full
GJR-GARCH__NIKKEI,GJR-GARCH,NIKKEI,4395,2001-01-10,2018-12-04,0.015087051807810366,2018-12-05,2026-08-31,162,1722,True,artifacts/review_20260909/controlled/GJR-GARCH__NIKKEI/full
GJR-GARCH__SP500,GJR-GARCH,SP500,4517,2000-12-29,2018-12-13,0.011924161967515268,2018-12-14,2026-08-31,181,1756,True,artifacts/review_20260909/controlled/GJR-GARCH__SP500/full
GJR-GARCH__STOXX,GJR-GARCH,STOXX,3757,2005-04-19,2020-04-02,0.012103871162914845,2020-04-03,2026-08-31,83,1528,True,artifacts/review_20260909/controlled/GJR-GARCH__STOXX/full
GJR-GARCH__TLT,GJR-GARCH,TLT,4066,2003-07-29,2019-09-20,0.0084244348906587132,2019-09-23,2026-08-31,371,1373,True,artifacts/review_20260909/controlled/GJR-GARCH__TLT/full
GJR-GARCH__UNG,GJR-GARCH,UNG,3236,2008-04-16,2021-02-22,0.027200628865590267,2021-02-23,2026-08-31,495,892,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH__UNG/full
GJR-GARCH__USDJPY,GJR-GARCH,USDJPY,4669,2000-12-19,2018-12-19,0.0076089857532242334,2018-12-20,2026-08-31,121,1881,True,artifacts/review_20260909/controlled/GJR-GARCH__USDJPY/full
GJR-GARCH__USO,GJR-GARCH,USO,3415,2007-04-11,2020-10-29,0.024312870721231863,2020-10-30,2026-08-31,199,1265,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH__USO/full
GJR-GARCH-t__ASX200,GJR-GARCH-t,ASX200,4540,2001-01-02,2018-12-18,0.0098357904587164143,2018-12-19,2026-08-31,110,1836,True,artifacts/review_20260909/controlled/GJR-GARCH-t__ASX200/full
GJR-GARCH-t__AUDUSD,GJR-GARCH-t,AUDUSD,3518,2007-05-02,2020-11-10,0.008427105549073154,2020-11-11,2026-08-31,31,1478,True,artifacts/review_20260909/controlled/GJR-GARCH-t__AUDUSD/full
GJR-GARCH-t__BOVESPA,GJR-GARCH-t,BOVESPA,4449,2001-01-05,2019-01-02,0.017528004025414844,2019-01-03,2026-08-31,53,1854,True,artifacts/review_20260909/controlled/GJR-GARCH-t__BOVESPA/full
GJR-GARCH-t__BTC,GJR-GARCH-t,BTC,2881,2015-05-26,2023-04-14,0.038218245845250652,2023-04-15,2026-08-31,0,1235,False,artifacts/review_20260909/controlled/GJR-GARCH-t__BTC/full
GJR-GARCH-t__CBU0,GJR-GARCH-t,CBU0,2539,2012-03-06,2022-05-04,0.0033644226827288818,2022-05-05,2026-08-28,538,551,True,artifacts/review_20260909/controlled/GJR-GARCH-t__CBU0/full
GJR-GARCH-t__DJCI,GJR-GARCH-t,DJCI,1966,2015-07-02,2023-04-21,0.01013542878987566,2023-04-24,2026-08-31,77,766,True,artifacts/review_20260909/controlled/GJR-GARCH-t__DJCI/full
GJR-GARCH-t__ETH,GJR-GARCH-t,ETH,2076,2018-07-18,2024-03-23,0.045771015804729302,2024-03-24,2026-08-31,4,887,True,artifacts/review_20260909/controlled/GJR-GARCH-t__ETH/full
GJR-GARCH-t__EURUSD,GJR-GARCH-t,EURUSD,3955,2004-11-17,2020-02-21,0.0076578790555231185,2020-02-24,2026-08-31,38,1658,True,artifacts/review_20260909/controlled/GJR-GARCH-t__EURUSD/full
GJR-GARCH-t__FCHI,GJR-GARCH-t,FCHI,4594,2000-12-28,2018-12-18,0.014301397997656036,2018-12-19,2026-08-31,104,1865,True,artifacts/review_20260909/controlled/GJR-GARCH-t__FCHI/full
GJR-GARCH-t__FTSE100,GJR-GARCH-t,FTSE100,4538,2000-12-29,2018-12-12,0.011743188843602927,2018-12-13,2026-08-28,89,1856,True,artifacts/review_20260909/controlled/GJR-GARCH-t__FTSE100/full
GJR-GARCH-t__GBPUSD,GJR-GARCH-t,GBPUSD,3964,2004-11-17,2020-02-18,0.0059392857683799108,2020-02-19,2026-08-31,133,1566,True,artifacts/review_20260909/controlled/GJR-GARCH-t__GBPUSD/full
GJR-GARCH-t__GDAXI,GJR-GARCH-t,GDAXI,4563,2000-12-27,2018-12-13,0.014785545563910903,2018-12-14,2026-08-31,83,1873,True,artifacts/review_20260909/controlled/GJR-GARCH-t__GDAXI/full
GJR-GARCH-t__GLD,GJR-GARCH-t,GLD,3659,2005-11-16,2020-06-02,0.011737321865328405,2020-06-03,2026-08-31,148,1421,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH-t__GLD/full
GJR-GARCH-t__HSI,GJR-GARCH-t,HSI,4421,2001-01-08,2018-12-11,0.014435830583005438,2018-12-12,2026-08-31,138,1758,True,artifacts/review_20260909/controlled/GJR-GARCH-t__HSI/full
GJR-GARCH-t__IBGL,GJR-GARCH-t,IBGL,3122,2008-12-29,2021-05-06,0.0085959294829464437,2021-05-07,2026-08-28,205,1134,True,artifacts/review_20260909/controlled/GJR-GARCH-t__IBGL/full
GJR-GARCH-t__ICLN,GJR-GARCH-t,ICLN,3026,2009-06-24,2021-06-30,0.017175942859077271,2021-07-01,2026-08-31,119,1178,True,artifacts/review_20260909/controlled/GJR-GARCH-t__ICLN/full
GJR-GARCH-t__NIFTY,GJR-GARCH-t,NIFTY,3079,2008-09-19,2021-04-29,0.013422230950065141,2021-04-30,2026-08-31,32,1288,True,artifacts/review_20260909/controlled/GJR-GARCH-t__NIFTY/full
GJR-GARCH-t__NIKKEI,GJR-GARCH-t,NIKKEI,4395,2001-01-10,2018-12-04,0.015087051807810366,2018-12-05,2026-08-31,162,1722,True,artifacts/review_20260909/controlled/GJR-GARCH-t__NIKKEI/full
GJR-GARCH-t__SP500,GJR-GARCH-t,SP500,4517,2000-12-29,2018-12-13,0.011924161967515268,2018-12-14,2026-08-31,181,1756,True,artifacts/review_20260909/controlled/GJR-GARCH-t__SP500/full
GJR-GARCH-t__STOXX,GJR-GARCH-t,STOXX,3757,2005-04-19,2020-04-02,0.012103871162914845,2020-04-03,2026-08-31,83,1528,True,artifacts/review_20260909/controlled/GJR-GARCH-t__STOXX/full
GJR-GARCH-t__TLT,GJR-GARCH-t,TLT,4066,2003-07-29,2019-09-20,0.0084244348906587132,2019-09-23,2026-08-31,371,1373,True,artifacts/review_20260909/controlled/GJR-GARCH-t__TLT/full
GJR-GARCH-t__UNG,GJR-GARCH-t,UNG,3236,2008-04-16,2021-02-22,0.027200628865590267,2021-02-23,2026-08-31,495,892,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH-t__UNG/full
GJR-GARCH-t__USDJPY,GJR-GARCH-t,USDJPY,4669,2000-12-19,2018-12-19,0.0076089857532242334,2018-12-20,2026-08-31,121,1881,True,artifacts/review_20260909/controlled/GJR-GARCH-t__USDJPY/full
GJR-GARCH-t__USO,GJR-GARCH-t,USO,3415,2007-04-11,2020-10-29,0.024312870721231863,2020-10-30,2026-08-31,199,1265,True,artifacts/r8_commodity_etp/controlled/GJR-GARCH-t__USO/full
Hist-Sim__ASX200,Hist-Sim,ASX200,4540,2001-01-02,2018-12-18,0.0098357904587164143,2018-12-19,2026-08-31,110,1836,True,artifacts/review_20260909/controlled/Hist-Sim__ASX200/full
Hist-Sim__AUDUSD,Hist-Sim,AUDUSD,3518,2007-05-02,2020-11-10,0.008427105549073154,2020-11-11,2026-08-31,31,1478,True,artifacts/review_20260909/controlled/Hist-Sim__AUDUSD/full
Hist-Sim__BOVESPA,Hist-Sim,BOVESPA,4449,2001-01-05,2019-01-02,0.017528004025414844,2019-01-03,2026-08-31,53,1854,True,artifacts/review_20260909/controlled/Hist-Sim__BOVESPA/full
Hist-Sim__BTC,Hist-Sim,BTC,2881,2015-05-26,2023-04-14,0.038218245845250652,2023-04-15,2026-08-31,0,1235,False,artifacts/review_20260909/controlled/Hist-Sim__BTC/full
Hist-Sim__CBU0,Hist-Sim,CBU0,2539,2012-03-06,2022-05-04,0.0033644226827288818,2022-05-05,2026-08-28,538,551,True,artifacts/review_20260909/controlled/Hist-Sim__CBU0/full
Hist-Sim__DJCI,Hist-Sim,DJCI,1966,2015-07-02,2023-04-21,0.01013542878987566,2023-04-24,2026-08-31,77,766,True,artifacts/review_20260909/controlled/Hist-Sim__DJCI/full
Hist-Sim__ETH,Hist-Sim,ETH,2076,2018-07-18,2024-03-23,0.045771015804729302,2024-03-24,2026-08-31,4,887,True,artifacts/review_20260909/controlled/Hist-Sim__ETH/full
Hist-Sim__EURUSD,Hist-Sim,EURUSD,3955,2004-11-17,2020-02-21,0.0076578790555231185,2020-02-24,2026-08-31,38,1658,True,artifacts/review_20260909/controlled/Hist-Sim__EURUSD/full
Hist-Sim__FCHI,Hist-Sim,FCHI,4594,2000-12-28,2018-12-18,0.014301397997656036,2018-12-19,2026-08-31,104,1865,True,artifacts/review_20260909/controlled/Hist-Sim__FCHI/full
Hist-Sim__FTSE100,Hist-Sim,FTSE100,4538,2000-12-29,2018-12-12,0.011743188843602927,2018-12-13,2026-08-28,89,1856,True,artifacts/review_20260909/controlled/Hist-Sim__FTSE100/full
Hist-Sim__GBPUSD,Hist-Sim,GBPUSD,3964,2004-11-17,2020-02-18,0.0059392857683799108,2020-02-19,2026-08-31,133,1566,True,artifacts/review_20260909/controlled/Hist-Sim__GBPUSD/full
Hist-Sim__GDAXI,Hist-Sim,GDAXI,4563,2000-12-27,2018-12-13,0.014785545563910903,2018-12-14,2026-08-31,83,1873,True,artifacts/review_20260909/controlled/Hist-Sim__GDAXI/full
Hist-Sim__GLD,Hist-Sim,GLD,3659,2005-11-16,2020-06-02,0.011737321865328405,2020-06-03,2026-08-31,148,1421,True,artifacts/r8_commodity_etp/controlled/Hist-Sim__GLD/full
Hist-Sim__HSI,Hist-Sim,HSI,4421,2001-01-08,2018-12-11,0.014435830583005438,2018-12-12,2026-08-31,138,1758,True,artifacts/review_20260909/controlled/Hist-Sim__HSI/full
Hist-Sim__IBGL,Hist-Sim,IBGL,3122,2008-12-29,2021-05-06,0.0085959294829464437,2021-05-07,2026-08-28,205,1134,True,artifacts/review_20260909/controlled/Hist-Sim__IBGL/full
Hist-Sim__ICLN,Hist-Sim,ICLN,3026,2009-06-24,2021-06-30,0.017175942859077271,2021-07-01,2026-08-31,119,1178,True,artifacts/review_20260909/controlled/Hist-Sim__ICLN/full
Hist-Sim__NIFTY,Hist-Sim,NIFTY,3079,2008-09-19,2021-04-29,0.013422230950065141,2021-04-30,2026-08-31,32,1288,True,artifacts/review_20260909/controlled/Hist-Sim__NIFTY/full
Hist-Sim__NIKKEI,Hist-Sim,NIKKEI,4395,2001-01-10,2018-12-04,0.015087051807810366,2018-12-05,2026-08-31,162,1722,True,artifacts/review_20260909/controlled/Hist-Sim__NIKKEI/full
Hist-Sim__SP500,Hist-Sim,SP500,4517,2000-12-29,2018-12-13,0.011924161967515268,2018-12-14,2026-08-31,181,1756,True,artifacts/review_20260909/controlled/Hist-Sim__SP500/full
Hist-Sim__STOXX,Hist-Sim,STOXX,3757,2005-04-19,2020-04-02,0.012103871162914845,2020-04-03,2026-08-31,83,1528,True,artifacts/review_20260909/controlled/Hist-Sim__STOXX/full
Hist-Sim__TLT,Hist-Sim,TLT,4066,2003-07-29,2019-09-20,0.0084244348906587132,2019-09-23,2026-08-31,371,1373,True,artifacts/review_20260909/controlled/Hist-Sim__TLT/full
Hist-Sim__UNG,Hist-Sim,UNG,3236,2008-04-16,2021-02-22,0.027200628865590267,2021-02-23,2026-08-31,495,892,True,artifacts/r8_commodity_etp/controlled/Hist-Sim__UNG/full
Hist-Sim__USDJPY,Hist-Sim,USDJPY,4669,2000-12-19,2018-12-19,0.0076089857532242334,2018-12-20,2026-08-31,121,1881,True,artifacts/review_20260909/controlled/Hist-Sim__USDJPY/full
Hist-Sim__USO,Hist-Sim,USO,3415,2007-04-11,2020-10-29,0.024312870721231863,2020-10-30,2026-08-31,199,1265,True,artifacts/r8_commodity_etp/controlled/Hist-Sim__USO/full
Lag-Llama__ASX200,Lag-Llama,ASX200,4356,2002-01-16,2019-04-11,0.0098791339619696411,2019-04-12,2026-08-31,110,1758,True,artifacts/review_20260909/controlled/Lag-Llama__ASX200/full
Lag-Llama__AUDUSD,Lag-Llama,AUDUSD,3335,2008-05-09,2021-03-01,0.0083684135156670454,2021-03-02,2026-08-31,34,1396,True,artifacts/review_20260909/controlled/Lag-Llama__AUDUSD/full
Lag-Llama__BOVESPA,Lag-Llama,BOVESPA,4265,2002-01-31,2019-04-26,0.017260150807810605,2019-04-29,2026-08-31,55,1774,True,artifacts/review_20260909/controlled/Lag-Llama__BOVESPA/full
Lag-Llama__BTC,Lag-Llama,BTC,2697,2016-02-12,2023-07-01,0.038355187763913827,2023-07-02,2026-08-31,0,1157,False,artifacts/review_20260909/controlled/Lag-Llama__BTC/full
Lag-Llama__CBU0,Lag-Llama,CBU0,2356,2013-05-01,2022-08-25,0.0035368502012146472,2022-08-26,2026-08-28,406,604,True,artifacts/review_20260909/controlled/Lag-Llama__CBU0/full
Lag-Llama__DJCI,Lag-Llama,DJCI,1782,2016-07-18,2023-08-14,0.010006511364515591,2023-08-15,2026-08-31,77,688,True,artifacts/review_20260909/controlled/Lag-Llama__DJCI/full
Lag-Llama__ETH,Lag-Llama,ETH,1893,2019-04-06,2024-06-10,0.044609604145017967,2024-06-11,2026-08-31,15,797,True,artifacts/review_20260909/controlled/Lag-Llama__ETH/full
Lag-Llama__EURUSD,Lag-Llama,EURUSD,3772,2005-11-21,2020-06-11,0.0077506781122502295,2020-06-12,2026-08-31,5,1612,True,artifacts/review_20260909/controlled/Lag-Llama__EURUSD/full
Lag-Llama__FCHI,Lag-Llama,FCHI,4410,2002-01-11,2019-04-10,0.014093699343033643,2019-04-11,2026-08-31,109,1782,True,artifacts/review_20260909/controlled/Lag-Llama__FCHI/full
Lag-Llama__FTSE100,Lag-Llama,FTSE100,4354,2002-01-14,2019-04-04,0.011569364617824283,2019-04-05,2026-08-28,93,1774,True,artifacts/review_20260909/controlled/Lag-Llama__FTSE100/full
Lag-Llama__GBPUSD,Lag-Llama,GBPUSD,3780,2005-11-21,2020-06-05,0.0060802286644251495,2020-06-08,2026-08-31,86,1535,True,artifacts/review_20260909/controlled/Lag-Llama__GBPUSD/full
Lag-Llama__GDAXI,Lag-Llama,GDAXI,4379,2002-01-10,2019-04-09,0.014478995016093022,2019-04-10,2026-08-31,94,1784,True,artifacts/review_20260909/controlled/Lag-Llama__GDAXI/full
Lag-Llama__GLD,Lag-Llama,GLD,3476,2006-12-01,2020-09-23,0.011436955926163951,2020-09-24,2026-08-31,136,1354,True,artifacts/r8_commodity_etp/controlled/Lag-Llama__GLD/full
