model,asset,original_n,common_n,original_n_cal,common_n_cal,original_first,common_first,original_test_first,common_test_first,common_calibration_last,last
Moirai-1.1,GLD,4966,4966,3476,3476,2006-12-01,2006-12-01,2020-09-24,2020-09-24,2020-09-23,2026-08-31
Lag-Llama,GLD,4966,4966,3476,3476,2006-12-01,2006-12-01,2020-09-24,2020-09-24,2020-09-23,2026-08-31
GJR-GARCH,GLD,5228,4966,3659,3476,2005-11-16,2006-12-01,2020-06-03,2020-09-24,2020-09-23,2026-08-31
GJR-GARCH-t,GLD,5228,4966,3659,3476,2005-11-16,2006-12-01,2020-06-03,2020-09-24,2020-09-23,2026-08-31
GARCH-N,GLD,5228,4966,3659,3476,2005-11-16,2006-12-01,2020-06-03,2020-09-24,2020-09-23,2026-08-31
Hist-Sim,GLD,5228,4966,3659,3476,2005-11-16,2006-12-01,2020-06-03,2020-09-24,2020-09-23,2026-08-31
EWMA,GLD,5228,4966,3659,3476,2005-11-16,2006-12-01,2020-06-03,2020-09-24,2020-09-23,2026-08-31
PatchTST-FM,HSI,6055,6055,4238,4238,2002-02-04,2002-02-04,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Chronos-2,HSI,6055,6055,4238,4238,2002-02-04,2002-02-04,2019-04-11,2019-04-11,2019-04-10,2026-08-31
TS-ICL,HSI,6055,6055,4238,4238,2002-02-04,2002-02-04,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Moirai-1.1,HSI,6055,6055,4238,4238,2002-02-04,2002-02-04,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Lag-Llama,HSI,6055,6055,4238,4238,2002-02-04,2002-02-04,2019-04-11,2019-04-11,2019-04-10,2026-08-31
GJR-GARCH,HSI,6317,6055,4421,4238,2001-01-08,2002-02-04,2018-12-12,2019-04-11,2019-04-10,2026-08-31
GJR-GARCH-t,HSI,6317,6055,4421,4238,2001-01-08,2002-02-04,2018-12-12,2019-04-11,2019-04-10,2026-08-31
GARCH-N,HSI,6317,6055,4421,4238,2001-01-08,2002-02-04,2018-12-12,2019-04-11,2019-04-10,2026-08-31
Hist-Sim,HSI,6317,6055,4421,4238,2001-01-08,2002-02-04,2018-12-12,2019-04-11,2019-04-10,2026-08-31
EWMA,HSI,6317,6055,4421,4238,2001-01-08,2002-02-04,2018-12-12,2019-04-11,2019-04-10,2026-08-31
PatchTST-FM,IBGL,4199,4199,2939,2939,2010-01-12,2010-01-12,2021-08-27,2021-08-27,2021-08-26,2026-08-28
Chronos-2,IBGL,4199,4199,2939,2939,2010-01-12,2010-01-12,2021-08-27,2021-08-27,2021-08-26,2026-08-28
TS-ICL,IBGL,4199,4199,2939,2939,2010-01-12,2010-01-12,2021-08-27,2021-08-27,2021-08-26,2026-08-28
Moirai-1.1,IBGL,4199,4199,2939,2939,2010-01-12,2010-01-12,2021-08-27,2021-08-27,2021-08-26,2026-08-28
Lag-Llama,IBGL,4199,4199,2939,2939,2010-01-12,2010-01-12,2021-08-27,2021-08-27,2021-08-26,2026-08-28
GJR-GARCH,IBGL,4461,4199,3122,2939,2008-12-29,2010-01-12,2021-05-07,2021-08-27,2021-08-26,2026-08-28
GJR-GARCH-t,IBGL,4461,4199,3122,2939,2008-12-29,2010-01-12,2021-05-07,2021-08-27,2021-08-26,2026-08-28
GARCH-N,IBGL,4461,4199,3122,2939,2008-12-29,2010-01-12,2021-05-07,2021-08-27,2021-08-26,2026-08-28
Hist-Sim,IBGL,4461,4199,3122,2939,2008-12-29,2010-01-12,2021-05-07,2021-08-27,2021-08-26,2026-08-28
EWMA,IBGL,4461,4199,3122,2939,2008-12-29,2010-01-12,2021-05-07,2021-08-27,2021-08-26,2026-08-28
PatchTST-FM,ICLN,4061,4061,2842,2842,2010-07-09,2010-07-09,2021-10-21,2021-10-21,2021-10-20,2026-08-31
Chronos-2,ICLN,4061,4061,2842,2842,2010-07-09,2010-07-09,2021-10-21,2021-10-21,2021-10-20,2026-08-31
TS-ICL,ICLN,4061,4061,2842,2842,2010-07-09,2010-07-09,2021-10-21,2021-10-21,2021-10-20,2026-08-31
Moirai-1.1,ICLN,4061,4061,2842,2842,2010-07-09,2010-07-09,2021-10-21,2021-10-21,2021-10-20,2026-08-31
Lag-Llama,ICLN,4061,4061,2842,2842,2010-07-09,2010-07-09,2021-10-21,2021-10-21,2021-10-20,2026-08-31
GJR-GARCH,ICLN,4323,4061,3026,2842,2009-06-24,2010-07-09,2021-07-01,2021-10-21,2021-10-20,2026-08-31
GJR-GARCH-t,ICLN,4323,4061,3026,2842,2009-06-24,2010-07-09,2021-07-01,2021-10-21,2021-10-20,2026-08-31
GARCH-N,ICLN,4323,4061,3026,2842,2009-06-24,2010-07-09,2021-07-01,2021-10-21,2021-10-20,2026-08-31
Hist-Sim,ICLN,4323,4061,3026,2842,2009-06-24,2010-07-09,2021-07-01,2021-10-21,2021-10-20,2026-08-31
EWMA,ICLN,4323,4061,3026,2842,2009-06-24,2010-07-09,2021-07-01,2021-10-21,2021-10-20,2026-08-31
PatchTST-FM,NIFTY,4137,4137,2895,2895,2009-10-27,2009-10-27,2021-08-23,2021-08-23,2021-08-20,2026-08-31
Chronos-2,NIFTY,4137,4137,2895,2895,2009-10-27,2009-10-27,2021-08-23,2021-08-23,2021-08-20,2026-08-31
TS-ICL,NIFTY,4137,4137,2895,2895,2009-10-27,2009-10-27,2021-08-23,2021-08-23,2021-08-20,2026-08-31
Moirai-1.1,NIFTY,4137,4137,2895,2895,2009-10-27,2009-10-27,2021-08-23,2021-08-23,2021-08-20,2026-08-31
Lag-Llama,NIFTY,4137,4137,2895,2895,2009-10-27,2009-10-27,2021-08-23,2021-08-23,2021-08-20,2026-08-31
GJR-GARCH,NIFTY,4399,4137,3079,2895,2008-09-19,2009-10-27,2021-04-30,2021-08-23,2021-08-20,2026-08-31
GJR-GARCH-t,NIFTY,4399,4137,3079,2895,2008-09-19,2009-10-27,2021-04-30,2021-08-23,2021-08-20,2026-08-31
GARCH-N,NIFTY,4399,4137,3079,2895,2008-09-19,2009-10-27,2021-04-30,2021-08-23,2021-08-20,2026-08-31
Hist-Sim,NIFTY,4399,4137,3079,2895,2008-09-19,2009-10-27,2021-04-30,2021-08-23,2021-08-20,2026-08-31
EWMA,NIFTY,4399,4137,3079,2895,2008-09-19,2009-10-27,2021-04-30,2021-08-23,2021-08-20,2026-08-31
PatchTST-FM,NIKKEI,6017,6017,4211,4211,2002-02-01,2002-02-01,2019-04-04,2019-04-04,2019-04-03,2026-08-31
Chronos-2,NIKKEI,6017,6017,4211,4211,2002-02-01,2002-02-01,2019-04-04,2019-04-04,2019-04-03,2026-08-31
TS-ICL,NIKKEI,6017,6017,4211,4211,2002-02-01,2002-02-01,2019-04-04,2019-04-04,2019-04-03,2026-08-31
Moirai-1.1,NIKKEI,6017,6017,4211,4211,2002-02-01,2002-02-01,2019-04-04,2019-04-04,2019-04-03,2026-08-31
Lag-Llama,NIKKEI,6017,6017,4211,4211,2002-02-01,2002-02-01,2019-04-04,2019-04-04,2019-04-03,2026-08-31
GJR-GARCH,NIKKEI,6279,6017,4395,4211,2001-01-10,2002-02-01,2018-12-05,2019-04-04,2019-04-03,2026-08-31
GJR-GARCH-t,NIKKEI,6279,6017,4395,4211,2001-01-10,2002-02-01,2018-12-05,2019-04-04,2019-04-03,2026-08-31
GARCH-N,NIKKEI,6279,6017,4395,4211,2001-01-10,2002-02-01,2018-12-05,2019-04-04,2019-04-03,2026-08-31
Hist-Sim,NIKKEI,6279,6017,4395,4211,2001-01-10,2002-02-01,2018-12-05,2019-04-04,2019-04-03,2026-08-31
EWMA,NIKKEI,6279,6017,4395,4211,2001-01-10,2002-02-01,2018-12-05,2019-04-04,2019-04-03,2026-08-31
PatchTST-FM,SP500,6192,6192,4334,4334,2002-01-22,2002-01-22,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Chronos-2,SP500,6192,6192,4334,4334,2002-01-22,2002-01-22,2019-04-10,2019-04-10,2019-04-09,2026-08-31
TS-ICL,SP500,6192,6192,4334,4334,2002-01-22,2002-01-22,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Moirai-1.1,SP500,6192,6192,4334,4334,2002-01-22,2002-01-22,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Lag-Llama,SP500,6192,6192,4334,4334,2002-01-22,2002-01-22,2019-04-10,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH,SP500,6454,6192,4517,4334,2000-12-29,2002-01-22,2018-12-14,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH-t,SP500,6454,6192,4517,4334,2000-12-29,2002-01-22,2018-12-14,2019-04-10,2019-04-09,2026-08-31
GARCH-N,SP500,6454,6192,4517,4334,2000-12-29,2002-01-22,2018-12-14,2019-04-10,2019-04-09,2026-08-31
Hist-Sim,SP500,6454,6192,4517,4334,2000-12-29,2002-01-22,2018-12-14,2019-04-10,2019-04-09,2026-08-31
EWMA,SP500,6454,6192,4517,4334,2000-12-29,2002-01-22,2018-12-14,2019-04-10,2019-04-09,2026-08-31
PatchTST-FM,STOXX,5106,5106,3574,3574,2006-04-25,2006-04-25,2020-07-30,2020-07-30,2020-07-29,2026-08-31
Chronos-2,STOXX,5106,5106,3574,3574,2006-04-25,2006-04-25,2020-07-30,2020-07-30,2020-07-29,2026-08-31
TS-ICL,STOXX,5106,5106,3574,3574,2006-04-25,2006-04-25,2020-07-30,2020-07-30,2020-07-29,2026-08-31
Moirai-1.1,STOXX,5106,5106,3574,3574,2006-04-25,2006-04-25,2020-07-30,2020-07-30,2020-07-29,2026-08-31
Lag-Llama,STOXX,5106,5106,3574,3574,2006-04-25,2006-04-25,2020-07-30,2020-07-30,2020-07-29,2026-08-31
GJR-GARCH,STOXX,5368,5106,3757,3574,2005-04-19,2006-04-25,2020-04-03,2020-07-30,2020-07-29,2026-08-31
GJR-GARCH-t,STOXX,5368,5106,3757,3574,2005-04-19,2006-04-25,2020-04-03,2020-07-30,2020-07-29,2026-08-31
GARCH-N,STOXX,5368,5106,3757,3574,2005-04-19,2006-04-25,2020-04-03,2020-07-30,2020-07-29,2026-08-31
Hist-Sim,STOXX,5368,5106,3757,3574,2005-04-19,2006-04-25,2020-04-03,2020-07-30,2020-07-29,2026-08-31
EWMA,STOXX,5368,5106,3757,3574,2005-04-19,2006-04-25,2020-04-03,2020-07-30,2020-07-29,2026-08-31
PatchTST-FM,TLT,5548,5548,3883,3883,2004-08-12,2004-08-12,2020-01-15,2020-01-15,2020-01-14,2026-08-31
Chronos-2,TLT,5548,5548,3883,3883,2004-08-12,2004-08-12,2020-01-15,2020-01-15,2020-01-14,2026-08-31
TS-ICL,TLT,5548,5548,3883,3883,2004-08-12,2004-08-12,2020-01-15,2020-01-15,2020-01-14,2026-08-31
Moirai-1.1,TLT,5548,5548,3883,3883,2004-08-12,2004-08-12,2020-01-15,2020-01-15,2020-01-14,2026-08-31
Lag-Llama,TLT,5548,5548,3883,3883,2004-08-12,2004-08-12,2020-01-15,2020-01-15,2020-01-14,2026-08-31
GJR-GARCH,TLT,5810,5548,4066,3883,2003-07-29,2004-08-12,2019-09-23,2020-01-15,2020-01-14,2026-08-31
